NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP27A1	cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]	140	0.8911981582641602	0.032485146	Yes	
row_1	SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	279	0.77278071641922	0.06006723	Yes	
row_2	NHEJ1	non-homologous end joining factor 1 [Source:HGNC Symbol;Acc:HGNC:25737]	594	0.6395469307899475	0.07583463	Yes	
row_3	CATIP-AS1	CATIP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41080]	621	0.6310356855392456	0.10142051	Yes	
row_4	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	687	0.6096276640892029	0.124729216	Yes	
row_5	TMEM169	transmembrane protein 169 [Source:HGNC Symbol;Acc:HGNC:25130]	1128	0.5149736404418945	0.13081235	Yes	
row_6	RUFY4	RUN and FYVE domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24804]	1167	0.5091833472251892	0.15085623	Yes	
row_7	PNKD	PNKD metallo-beta-lactamase domain containing [Source:HGNC Symbol;Acc:HGNC:9153]	1191	0.5053095817565918	0.1712674	Yes	
row_8	GPBAR1	G protein-coupled bile acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:19680]	1194	0.5049256682395935	0.19240445	Yes	
row_9	OBSL1	obscurin like cytoskeletal adaptor 1 [Source:HGNC Symbol;Acc:HGNC:29092]	1733	0.43382975459098816	0.19161676	Yes	
row_10	IGFBP5	insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]	2182	0.3934779465198517	0.19231421	Yes	
row_11	CATIP	ciliogenesis associated TTC17 interacting protein [Source:HGNC Symbol;Acc:HGNC:25062]	2247	0.38763824105262756	0.20633432	Yes	
row_12	CXCR1	C-X-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:6026]	2319	0.38102614879608154	0.2198294	Yes	
row_13	RETREG2	reticulophagy regulator family member 2 [Source:HGNC Symbol;Acc:HGNC:28450]	2831	0.3419370949268341	0.21613605	Yes	
row_14	ATG9A	autophagy related 9A [Source:HGNC Symbol;Acc:HGNC:22408]	3058	0.3281470835208893	0.22193347	Yes	
row_15	DNPEP-AS1	DNPEP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55789]	3222	0.31986185908317566	0.22960888	Yes	
row_16	CFAP65	cilia and flagella associated protein 65 [Source:HGNC Symbol;Acc:HGNC:25325]	3406	0.31193503737449646	0.2362447	Yes	
row_17	SLC4A3	solute carrier family 4 member 3 [Source:HGNC Symbol;Acc:HGNC:11029]	3492	0.30755817890167236	0.24615933	Yes	
row_18	PTPRN	protein tyrosine phosphatase receptor type N [Source:HGNC Symbol;Acc:HGNC:9676]	3675	0.2974969148635864	0.25222406	Yes	
row_19	ABCA12	ATP binding cassette subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:14637]	4010	0.28188738226890564	0.2522625	Yes	
row_20	DNAJB2	DnaJ heat shock protein family (Hsp40) member B2 [Source:HGNC Symbol;Acc:HGNC:5228]	4096	0.277859628200531	0.26092973	Yes	
row_21	CXCR2P1	C-X-C motif chemokine receptor 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:6028]	4251	0.2701699733734131	0.26683602	Yes	
row_22	SPEGNB	SPEG neighbor [Source:HGNC Symbol;Acc:HGNC:51251]	4411	0.2637900710105896	0.27229765	Yes	
row_23	SMARCAL1-AS1	SMARCAL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40555]	5127	0.23490570485591888	0.25690085	Yes	
row_24	STK16	serine/threonine kinase 16 [Source:HGNC Symbol;Acc:HGNC:11394]	5611	0.21781449019908905	0.24898347	Yes	
row_25	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	5787	0.21129655838012695	0.25167498	Yes	
row_26	ARPC2	actin related protein 2/3 complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:705]	5855	0.20803743600845337	0.25804555	Yes	
row_27	PECR	peroxisomal trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:18281]	5938	0.20429207384586334	0.26372886	Yes	
row_28	SNORA70I	small nucleolar RNA, H/ACA box 70I [Source:HGNC Symbol;Acc:HGNC:52215]	5952	0.20374125242233276	0.27182698	Yes	
row_29	XRCC5	X-ray repair cross complementing 5 [Source:HGNC Symbol;Acc:HGNC:12833]	6103	0.19988729059696198	0.2749226	Yes	
row_30	IHH	Indian hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:5956]	6199	0.19621554017066956	0.27980733	Yes	
row_31	INHA	inhibin subunit alpha [Source:HGNC Symbol;Acc:HGNC:6065]	6302	0.19279219210147858	0.28430092	Yes	
row_32	MIR6810	microRNA 6810 [Source:HGNC Symbol;Acc:HGNC:49987]	6348	0.19279219210147858	0.29080853	Yes	
row_33	CNPPD1	cyclin Pas1/PHO80 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25220]	6556	0.18792694807052612	0.2913878	Yes	
row_34	DNPEP	aspartyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:2981]	8163	0.144413024187088	0.24070826	No	
row_35	WNT6	Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]	8599	0.12801159918308258	0.23071502	No	
row_36	ZFAND2B	zinc finger AN1-type containing 2B [Source:HGNC Symbol;Acc:HGNC:25206]	8809	0.11985913664102554	0.22836468	No	
row_37	AAMP	angio associated migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]	8834	0.11832769960165024	0.23248664	No	
row_38	IGFBP2	insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471]	8837	0.11826465278863907	0.23738328	No	
row_39	DES	desmin [Source:HGNC Symbol;Acc:HGNC:2770]	9465	0.09747649729251862	0.21932355	No	
row_40	TMBIM1	transmembrane BAX inhibitor motif containing 1 [Source:HGNC Symbol;Acc:HGNC:23410]	9490	0.09653875231742859	0.22253034	No	
