NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
MT	37	35		
CHR10P11	127	81		
CHR10P12	141	83		
CHR10P13	66	46		
CHR10P14	49	31		
CHR10P15	89	64		
CHR10Q11	188	135		
CHR10Q21	119	77		
CHR10Q22	208	142		
CHR10Q23	194	117		
CHR10Q24	189	157		
CHR10Q25	131	74		
CHR10Q26	207	136		
CHR11P11	153	87		
CHR11P12	19		Rejected!	
CHR11P13	65	45		
CHR11P14	60	30		
CHR11P15	564	354		
CHR11Q11	40		Rejected!	
CHR11Q12	344	170		
CHR11Q13	454	353		
CHR11Q14	156	95		
CHR11Q21	63	48		
CHR11Q22	107	66		
CHR11Q23	219	154		
CHR11Q24	190	102		
CHR11Q25	31	18		
CHR12P11	86	63		
CHR12P12	114	77		
CHR12P13	351	281		
CHR12Q12	64	43		
CHR12Q13	421	291		
CHR12Q14	115	71		
CHR12Q15	56	43		
CHR12Q21	140	86		
CHR12Q22	57	39		
CHR12Q23	150	114		
CHR12Q24	413	316		
CHR13Q11	25		Rejected!	
CHR13Q12	235	140		
CHR13Q13	81	46		
CHR13Q14	245	169		
CHR13Q21	117	33		
CHR13Q22	63	33		
CHR13Q31	99	30		
CHR13Q32	95	59		
CHR13Q33	57	26		
CHR13Q34	88	59		
CHR14Q11	330	241		
CHR14Q12	105	74		
CHR14Q13	60	36		
CHR14Q21	97	61		
CHR14Q22	94	72		
CHR14Q23	131	96		
CHR14Q24	201	157		
CHR14Q31	59	35		
CHR14Q32	565	320		
CHR15Q11	217	62		
CHR15Q12	18		Rejected!	
CHR15Q13	103	73		
CHR15Q14	61	47		
CHR15Q15	146	114		
CHR15Q21	177	130		
CHR15Q22	132	93		
CHR15Q23	68	54		
CHR15Q24	122	89		
CHR15Q25	161	106		
CHR15Q26	205	148		
CHR16P11	278	173		
CHR16P12	173	134		
CHR16P13	424	323		
CHR16Q11	12		Rejected!	
CHR16Q12	102	61		
CHR16Q13	41	28		
CHR16Q21	79	54		
CHR16Q22	183	156		
CHR16Q23	116	91		
CHR16Q24	132	111		
CHR17P11	202	134		
CHR17P12	65	40		
CHR17P13	347	293		
CHR17Q11	170	122		
CHR17Q12	148	114		
CHR17Q21	476	330		
CHR17Q22	88	59		
CHR17Q23	118	87		
CHR17Q24	98	71		
CHR17Q25	307	258		
CHR18P11	210	131		
CHR18Q11	85	44		
CHR18Q12	104	58		
CHR18Q21	205	122		
CHR18Q22	65	40		
CHR18Q23	40	26		
CHR19P12	114	65		
CHR19P13	785		Rejected!	
CHR19Q11	5		Rejected!	
CHR19Q12	30	17		
CHR19Q13	1190		Rejected!	
CHR1P11	21	19		
CHR1P12	53	33		
CHR1P13	214	157		
CHR1P21	108	71		
CHR1P22	137	103		
CHR1P31	224	140		
CHR1P32	156	107		
CHR1P33	61	35		
CHR1P34	294	233		
CHR1P35	137	121		
CHR1P36	683	484		
CHR1Q21	405	277		
CHR1Q22	71	67		
CHR1Q23	226	158		
CHR1Q24	129	85		
CHR1Q25	167	122		
CHR1Q31	74	50		
CHR1Q32	289	212		
CHR1Q41	95	65		
CHR1Q42	242	155		
CHR1Q43	62	37		
CHR1Q44	128	97		
CHR20P11	150	89		
CHR20P12	108	68		
CHR20P13	120	95		
CHR20Q11	244	174		
CHR20Q12	25	15		
CHR20Q13	412	288		
CHR21P11	39	22		
CHR21P12	16		Rejected!	
CHR21Q11	47	15		
CHR21Q21	121	65		
CHR21Q22	376	220		
CHR22Q11	401	269		
CHR22Q12	222	160		
CHR22Q13	323	265		
CHR2P11	213	144		
CHR2P12	56	22		
CHR2P13	140	109		
CHR2P14	63	51		
CHR2P15	44	34		
CHR2P16	120	67		
CHR2P21	80	63		
CHR2P22	104	77		
CHR2P23	149	122		
CHR2P24	78	45		
CHR2P25	126	88		
CHR2Q11	152	105		
CHR2Q12	82	46		
CHR2Q13	59	41		
CHR2Q14	164	116		
CHR2Q21	150	77		
CHR2Q22	70	33		
CHR2Q23	53	32		
CHR2Q24	127	84		
CHR2Q31	178	115		
CHR2Q32	111	77		
CHR2Q33	205	148		
CHR2Q34	45	19		
CHR2Q35	131	92		
CHR2Q36	85	45		
CHR2Q37	226	159		
CHR3P11	26		Rejected!	
CHR3P12	73	36		
CHR3P13	47	24		
CHR3P14	141	97		
CHR3P21	317	249		
CHR3P22	185	136		
CHR3P23	10		Rejected!	
CHR3P24	113	70		
CHR3P25	155	111		
CHR3P26	48	25		
CHR3Q11	54	23		
CHR3Q12	53	38		
CHR3Q13	222	143		
CHR3Q21	161	111		
CHR3Q22	135	96		
CHR3Q23	63	45		
CHR3Q24	47	29		
CHR3Q25	181	122		
