NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MT	MT	Details ...	35	-0.84645575	-1.7160735	0.021442495	0.56921816	0.316	3074	tags=86%, list=11%, signal=96%	
CHR19P12	CHR19P12	Details ...	65	-0.4542183	-1.6729428	0.013157895	0.46002293	0.424	4384	tags=35%, list=15%, signal=42%	
CHR1Q44	CHR1Q44	Details ...	97	-0.38576764	-1.6525797	0.012552301	0.3717867	0.475	6567	tags=42%, list=23%, signal=55%	
CHR3Q29	CHR3Q29	Details ...	106	-0.38024706	-1.6380043	0.0046620048	0.31971106	0.508	7198	tags=40%, list=25%, signal=53%	
CHR7Q35	CHR7Q35	Details ...	37	-0.529801	-1.5887126	0.030991735	0.40104932	0.643	4721	tags=41%, list=17%, signal=49%	
CHR3Q28	CHR3Q28	Details ...	15	-0.4973195	-1.5221964	0.05232558	0.59908736	0.807	3395	tags=40%, list=12%, signal=45%	
CHR2P15	CHR2P15	Details ...	34	-0.3960799	-1.5210066	0.029850746	0.51829135	0.809	3811	tags=29%, list=13%, signal=34%	
CHR15Q25	CHR15Q25	Details ...	106	-0.33315167	-1.5177587	0.022371365	0.46450567	0.816	7675	tags=39%, list=27%, signal=53%	
CHRXQ25	CHRXQ25	Details ...	26	-0.42479604	-1.4814514	0.06315789	0.552099	0.88	9342	tags=50%, list=33%, signal=74%	
CHR6Q16	CHR6Q16	Details ...	32	-0.407465	-1.4710029	0.059080962	0.5402276	0.895	11113	tags=66%, list=39%, signal=108%	
CHR12Q22	CHR12Q22	Details ...	39	-0.38672206	-1.4578121	0.036324788	0.54110146	0.913	5740	tags=38%, list=20%, signal=48%	
CHR8Q11	CHR8Q11	Details ...	34	-0.38766754	-1.4495599	0.043763675	0.53033644	0.922	9276	tags=56%, list=33%, signal=83%	
CHR4Q23	CHR4Q23	Details ...	29	-0.42714325	-1.4489408	0.09496124	0.49142948	0.922	9213	tags=59%, list=32%, signal=87%	
CHR4Q26	CHR4Q26	Details ...	32	-0.38099483	-1.4388046	0.04989605	0.49318522	0.933	9229	tags=50%, list=33%, signal=74%	
CHR6Q14	CHR6Q14	Details ...	56	-0.33477527	-1.4382942	0.05106383	0.46229786	0.934	5540	tags=32%, list=20%, signal=40%	
CHR4Q24	CHR4Q24	Details ...	46	-0.34819278	-1.3887345	0.09393346	0.62656915	0.972	4380	tags=26%, list=15%, signal=31%	
CHR3P14	CHR3P14	Details ...	97	-0.30184767	-1.3878373	0.079822615	0.59327424	0.972	10367	tags=51%, list=37%, signal=79%	
CHRXQ22	CHRXQ22	Details ...	123	-0.30962604	-1.3809826	0.087866105	0.5853581	0.974	5650	tags=29%, list=20%, signal=36%	
CHR5Q13	CHR5Q13	Details ...	101	-0.28072158	-1.3784946	0.06365503	0.5633354	0.975	5424	tags=28%, list=19%, signal=34%	
