NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPP1R14B-AS1	PPP1R14B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:54233]	72	1.007445216178894	0.008759131	Yes	
row_1	CTSW	cathepsin W [Source:HGNC Symbol;Acc:HGNC:2546]	112	0.9220389127731323	0.017734878	Yes	
row_2	BATF2	basic leucine zipper ATF-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:25163]	200	0.83481365442276	0.024018165	Yes	
row_3	CDK2AP2	cyclin dependent kinase 2 associated protein 2 [Source:HGNC Symbol;Acc:HGNC:30833]	291	0.7630802392959595	0.02938796	Yes	
row_4	NUDT22	nudix hydrolase 22 [Source:HGNC Symbol;Acc:HGNC:28189]	330	0.7455476522445679	0.036415063	Yes	
row_5	FOLR1	folate receptor alpha [Source:HGNC Symbol;Acc:HGNC:3791]	388	0.7130427360534668	0.04239913	Yes	
row_6	CDC42EP2	CDC42 effector protein 2 [Source:HGNC Symbol;Acc:HGNC:16263]	472	0.6805240511894226	0.047090374	Yes	
row_7	FIBP	FGF1 intracellular binding protein [Source:HGNC Symbol;Acc:HGNC:3705]	508	0.6658188700675964	0.053328063	Yes	
row_8	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16925]	511	0.6647700667381287	0.06073081	Yes	
row_9	DGAT2	diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16940]	530	0.6589463949203491	0.06749749	Yes	
row_10	INPPL1	inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]	539	0.6568373441696167	0.074597076	Yes	
row_11	ARL2	ADP ribosylation factor like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:693]	567	0.6475972533226013	0.0809152	Yes	
row_12	RNASEH2C	ribonuclease H2 subunit C [Source:HGNC Symbol;Acc:HGNC:24116]	595	0.6392492055892944	0.08713946	Yes	
row_13	NDUFS8	NADH:ubiquinone oxidoreductase core subunit S8 [Source:HGNC Symbol;Acc:HGNC:7715]	670	0.6145371794700623	0.091409765	Yes	
row_14	MYO7A	myosin VIIA [Source:HGNC Symbol;Acc:HGNC:7606]	719	0.6002891063690186	0.09644709	Yes	
row_15	ALDH3B1	aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]	788	0.5851636528968811	0.100601114	Yes	
row_16	SCYL1	SCY1 like pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:14372]	989	0.5421040058135986	0.09956363	Yes	
row_17	KLHL35	kelch like family member 35 [Source:HGNC Symbol;Acc:HGNC:26597]	1000	0.5402399301528931	0.10528097	Yes	
row_18	MIR6752	microRNA 6752 [Source:HGNC Symbol;Acc:HGNC:50020]	1357	0.4805106520652771	0.097987704	Yes	
row_19	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	1363	0.4799825847148895	0.10320588	Yes	
row_20	P2RY2	purinergic receptor P2Y2 [Source:HGNC Symbol;Acc:HGNC:8541]	1472	0.4630281329154968	0.10456025	Yes	
row_21	EFEMP2	EGF containing fibulin extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3219]	1525	0.4562828242778778	0.10783585	Yes	
