NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL3P12	ribosomal protein L3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:36298]	3579	0.3027772009372711	-0.069382936	No	
row_1	PRR32	proline rich 32 [Source:HGNC Symbol;Acc:HGNC:34498]	4297	0.26823416352272034	-0.044355467	No	
row_2	MRRFP1	mitochondrial ribosome recycling factor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:35238]	7341	0.16913241147994995	-0.11990652	No	
row_3	TPT1P13	TPT1 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:49304]	7379	0.16913241147994995	-0.0894931	No	
row_4	TEX13D	TEX13 family member D [Source:HGNC Symbol;Acc:HGNC:52278]	10712	0.05587516352534294	-0.19647104	No	
row_5	STAG2-AS1	STAG2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55727]	11421	0.033514656126499176	-0.21514367	No	
row_6	RNU6-122P	RNA, U6 small nuclear 122, pseudogene [Source:HGNC Symbol;Acc:HGNC:47085]	12251	0.009147732518613338	-0.24265125	No	
row_7	RPS26P57	ribosomal protein S26 pseudogene 57 [Source:HGNC Symbol;Acc:HGNC:36537]	12984	-0.011221889406442642	-0.2663505	No	
row_8	XIAP-AS1	XIAP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40078]	13696	-0.031264081597328186	-0.28555095	No	
row_9	ZIK1P1	zinc finger protein interacting with K protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38031]	13829	-0.034953560680150986	-0.28364918	No	
row_10	H3P47	H3 histone pseudogene 47 [Source:HGNC Symbol;Acc:HGNC:54475]	14339	-0.0485699437558651	-0.29248354	No	
row_11	MTND4P24	MT-ND4 pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:42220]	15353	-0.07805339246988297	-0.3135553	No	
row_12	TENM1	teneurin transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:8117]	16253	-0.10194211453199387	-0.32612854	No	
row_13	THOC2	THO complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19073]	19053	-0.18223562836647034	-0.3906211	Yes	
row_14	NPM1P34	nucleophosmin 1 pseudogene 34 [Source:HGNC Symbol;Acc:HGNC:45213]	19614	-0.18817706406116486	-0.37507245	Yes	
row_15	MTND4LP1	MT-ND4L pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31347]	19970	-0.19475407898426056	-0.35106397	Yes	
row_16	TEX13C	TEX13 family member C [Source:HGNC Symbol;Acc:HGNC:52277]	21296	-0.22479645907878876	-0.35561505	Yes	
row_17	STAG2	stromal antigen 2 [Source:HGNC Symbol;Acc:HGNC:11355]	22500	-0.2555440664291382	-0.35009935	Yes	
row_18	MTCO1P53	MT-CO1 pseudogene 53 [Source:HGNC Symbol;Acc:HGNC:52118]	22902	-0.2670426368713379	-0.31415603	Yes	
row_19	RPS26P56	ribosomal protein S26 pseudogene 56 [Source:HGNC Symbol;Acc:HGNC:35858]	23021	-0.26983222365379333	-0.26771352	Yes	
row_20	GRIA3	glutamate ionotropic receptor AMPA type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4573]	23105	-0.27248308062553406	-0.21954012	Yes	
row_21	ENSG00000237208	novel transcript	24662	-0.3313339650630951	-0.21225502	Yes	
row_22	FERP1	FER tyrosine kinase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:26443]	25616	-0.3723146319389343	-0.17602839	Yes	
row_23	XIAP	X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592]	25732	-0.37826964259147644	-0.10914466	Yes	
row_24	RN7SL190P	RNA, 7SL, cytoplasmic 190, pseudogene [Source:HGNC Symbol;Acc:HGNC:46206]	27192	-0.48734572529792786	-0.06918304	Yes	
row_25	SH2D1A	SH2 domain containing 1A [Source:HGNC Symbol;Acc:HGNC:10820]	27855	-0.5944817066192627	0.01896502	Yes	
