NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CHR20P13	CHR20P13	Details ...	95	0.40219113	1.8492402	0.002020202	0.058529805	0.079	5936	tags=34%, list=21%, signal=42%	
CHR3Q24	CHR3Q24	Details ...	29	0.4595172	1.6463307	0.008163265	0.32505345	0.536	6581	tags=52%, list=23%, signal=67%	
CHR16Q13	CHR16Q13	Details ...	28	0.4424244	1.6372023	0.018656716	0.23637205	0.556	4747	tags=39%, list=17%, signal=47%	
CHR3P21	CHR3P21	Details ...	249	0.30707112	1.5252733	0.0019305019	0.4780986	0.83	4715	tags=27%, list=17%, signal=32%	
CHR1Q21	CHR1Q21	Details ...	277	0.30415282	1.460624	0.030425964	0.6530075	0.929	4778	tags=27%, list=17%, signal=32%	
CHR11Q12	CHR11Q12	Details ...	170	0.33479977	1.4466435	0.045889102	0.6038371	0.939	5214	tags=31%, list=18%, signal=38%	
CHR22Q13	CHR22Q13	Details ...	265	0.3008897	1.4399666	0.023483366	0.54409736	0.944	5028	tags=25%, list=18%, signal=30%	
CHR11P11	CHR11P11	Details ...	87	0.29367125	1.4141134	0.017077798	0.57569855	0.965	4472	tags=26%, list=16%, signal=31%	
CHR16P11	CHR16P11	Details ...	173	0.2983625	1.4006819	0.01904762	0.56246406	0.973	4430	tags=25%, list=16%, signal=30%	
CHR4Q32	CHR4Q32	Details ...	57	0.34457928	1.3401119	0.11328125	0.7751132	0.994	6967	tags=40%, list=25%, signal=53%	
CHR2Q35	CHR2Q35	Details ...	92	0.2913878	1.3355967	0.05905512	0.7242567	0.994	6556	tags=37%, list=23%, signal=48%	
CHR11Q13	CHR11Q13	Details ...	353	0.247343	1.3093178	0.031496063	0.7849908	0.995	5098	tags=27%, list=18%, signal=32%	
CHR9Q34	CHR9Q34	Details ...	259	0.28492066	1.3061988	0.092843324	0.7395416	0.995	5800	tags=29%, list=20%, signal=37%	
CHR4Q21	CHR4Q21	Details ...	92	0.29416054	1.3061107	0.07635009	0.6870949	0.995	5066	tags=28%, list=18%, signal=34%	
CHR17P13	CHR17P13	Details ...	293	0.25164855	1.2936875	0.044609666	0.6920256	0.995	4723	tags=22%, list=17%, signal=26%	
CHR5Q35	CHR5Q35	Details ...	176	0.25457478	1.2896811	0.035315987	0.6656769	0.996	5786	tags=27%, list=20%, signal=34%	
CHR1Q22	CHR1Q22	Details ...	67	0.27785635	1.2685668	0.09908257	0.71274304	0.999	8888	tags=43%, list=31%, signal=63%	
CHRXQ28	CHRXQ28	Details ...	132	0.290634	1.2625821	0.14897959	0.6975076	0.999	5875	tags=33%, list=21%, signal=41%	
CHRXP21	CHRXP21	Details ...	33	0.39207178	1.2543496	0.18398269	0.69435155	0.999	7123	tags=52%, list=25%, signal=69%	
CHR1P12	CHR1P12	Details ...	33	0.35127687	1.2496655	0.1932271	0.67876965	0.999	6731	tags=45%, list=24%, signal=60%	
CHR17Q25	CHR17Q25		258	0.26889554	1.2198535	0.17092338	0.7685726	0.999	7209	tags=34%, list=25%, signal=45%	
CHR16Q12	CHR16Q12		61	0.3117501	1.1923239	0.22242647	0.851907	1.0	6404	tags=33%, list=23%, signal=42%	
CHR1Q23	CHR1Q23		158	0.2762855	1.1843522	0.19760479	0.8494692	1.0	5486	tags=26%, list=19%, signal=32%	
CHR1P35	CHR1P35		121	0.25040993	1.171506	0.1754386	0.8704635	1.0	7548	tags=36%, list=27%, signal=49%	
