NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FCGR1A	Fc gamma receptor Ia [Source:HGNC Symbol;Acc:HGNC:3613]	1	1.9109654426574707	0.02226478	Yes	
row_1	SIRPA	signal regulatory protein alpha [Source:HGNC Symbol;Acc:HGNC:9662]	14	1.3044480085372925	0.037061162	Yes	
row_2	LILRB3	leukocyte immunoglobulin like receptor B3 [Source:HGNC Symbol;Acc:HGNC:6607]	19	1.215416669845581	0.051102623	Yes	
row_3	CEBPD	CCAAT enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835]	24	1.1802425384521484	0.06473361	Yes	
row_4	TYMP	thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]	27	1.1570619344711304	0.0781651	Yes	
row_5	LMNB1	lamin B1 [Source:HGNC Symbol;Acc:HGNC:6637]	51	1.0689648389816284	0.089822926	Yes	
row_6	CCR1	C-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1602]	56	1.0481491088867188	0.10191243	Yes	
row_7	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	66	1.021483063697815	0.113513224	Yes	
row_8	FCN1	ficolin 1 [Source:HGNC Symbol;Acc:HGNC:3623]	76	1.0009900331497192	0.124874875	Yes	
row_9	FCAR	Fc alpha receptor [Source:HGNC Symbol;Acc:HGNC:3608]	88	0.9736595153808594	0.13584659	Yes	
row_10	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	92	0.9667132496833801	0.14702126	Yes	
row_11	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	105	0.9311515688896179	0.15746142	Yes	
row_12	FPR1	formyl peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:3826]	113	0.921749472618103	0.16796936	Yes	
row_13	CYP1B1	cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]	131	0.9004718661308289	0.17787397	Yes	
row_14	CD93	CD93 molecule [Source:HGNC Symbol;Acc:HGNC:15855]	136	0.8974055051803589	0.18820435	Yes	
row_15	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	139	0.8958185911178589	0.19858722	Yes	
row_16	S100A8	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]	159	0.8730252981185913	0.20810051	Yes	
row_17	MS4A6A	membrane spanning 4-domains A6A [Source:HGNC Symbol;Acc:HGNC:13375]	186	0.8470426797866821	0.21706207	Yes	
row_18	NCF2	neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:HGNC:7661]	187	0.8464646935462952	0.22694002	Yes	
row_19	CLEC5A	C-type lectin domain containing 5A [Source:HGNC Symbol;Acc:HGNC:2054]	204	0.8330981731414795	0.2360939	Yes	
row_20	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	205	0.8318812847137451	0.24580164	Yes	
row_21	LYZ	lysozyme [Source:HGNC Symbol;Acc:HGNC:6740]	223	0.8133917450904846	0.25469005	Yes	
row_22	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	225	0.8120447993278503	0.26413083	Yes	
row_23	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	264	0.7844880819320679	0.27193633	Yes	
row_24	PILRA	paired immunoglobin like type 2 receptor alpha [Source:HGNC Symbol;Acc:HGNC:20396]	277	0.7751340270042419	0.2805558	Yes	
row_25	SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	279	0.77278071641922	0.28953838	Yes	
row_26	S100A12	S100 calcium binding protein A12 [Source:HGNC Symbol;Acc:HGNC:10489]	284	0.7705978155136108	0.29838896	Yes	
row_27	IGSF6	immunoglobulin superfamily member 6 [Source:HGNC Symbol;Acc:HGNC:5953]	288	0.7659240961074829	0.3072205	Yes	
row_28	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	309	0.7546647191047668	0.31531706	Yes	
row_29	IL1RN	interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]	313	0.7532545328140259	0.32400078	Yes	
row_30	MS4A3	membrane spanning 4-domains A3 [Source:HGNC Symbol;Acc:HGNC:7317]	333	0.7442466020584106	0.33201125	Yes	
row_31	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	348	0.7343818545341492	0.34008417	Yes	
row_32	LILRA2	leukocyte immunoglobulin like receptor A2 [Source:HGNC Symbol;Acc:HGNC:6603]	349	0.7342387437820435	0.34865248	Yes	
row_33	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	381	0.7146223187446594	0.3558912	Yes	
row_34	LILRB4	leukocyte immunoglobulin like receptor B4 [Source:HGNC Symbol;Acc:HGNC:6608]	390	0.7118735909461975	0.36391446	Yes	
row_35	FCGR2A	Fc gamma receptor IIa [Source:HGNC Symbol;Acc:HGNC:3616]	399	0.7085782885551453	0.37189928	Yes	
row_36	SECTM1	secreted and transmembrane 1 [Source:HGNC Symbol;Acc:HGNC:10707]	475	0.6795588731765747	0.37716663	Yes	
row_37	GTSE1	G2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]	484	0.6764289736747742	0.38477626	Yes	
