NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BAHCC1	BAH domain and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:29279]	555	0.6529274582862854	0.031056017	No	
row_1	SLC2A9	solute carrier family 2 member 9 [Source:HGNC Symbol;Acc:HGNC:13446]	1855	0.4216189682483673	0.017924285	No	
row_2	C10orf67	chromosome 10 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:28716]	1872	0.41980937123298645	0.049917527	No	
row_3	RPH3A	rabphilin 3A [Source:HGNC Symbol;Acc:HGNC:17056]	2164	0.3951019048690796	0.07029238	No	
row_4	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	3476	0.3084075450897217	0.047957327	No	
row_5	PALMD	palmdelphin [Source:HGNC Symbol;Acc:HGNC:15846]	4774	0.2484767735004425	0.021468354	No	
row_6	TEX101	testis expressed 101 [Source:HGNC Symbol;Acc:HGNC:30722]	4868	0.24515648186206818	0.037200008	No	
row_7	RIIAD1	regulatory subunit of type II PKA R-subunit domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26686]	6004	0.20374125242233276	0.012957129	No	
row_8	SLITRK2	SLIT and NTRK like family member 2 [Source:HGNC Symbol;Acc:HGNC:13449]	6585	0.18685382604599	0.0069854334	No	
row_9	RHO	rhodopsin [Source:HGNC Symbol;Acc:HGNC:10012]	7262	0.16913241147994995	-0.0037475817	No	
row_10	PCDHB10	protocadherin beta 10 [Source:HGNC Symbol;Acc:HGNC:8681]	7403	0.16913241147994995	0.0044299304	No	
row_11	JPH2	junctophilin 2 [Source:HGNC Symbol;Acc:HGNC:14202]	8168	0.14404138922691345	-0.011353697	No	
row_12	SPIRE1	spire type actin nucleation factor 1 [Source:HGNC Symbol;Acc:HGNC:30622]	8830	0.11855226010084152	-0.025480172	No	
row_13	CAMK2A	calcium/calmodulin dependent protein kinase II alpha [Source:HGNC Symbol;Acc:HGNC:1460]	9421	0.0989624634385109	-0.038620967	No	
row_14	TEX11	testis expressed 11 [Source:HGNC Symbol;Acc:HGNC:11733]	9694	0.08963634818792343	-0.041265734	No	
row_15	IL20RB	interleukin 20 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6004]	11788	0.022681398317217827	-0.1133495	No	
row_16	RCVRN	recoverin [Source:HGNC Symbol;Acc:HGNC:9937]	11848	0.020962076261639595	-0.11380538	No	
row_17	SLC26A5	solute carrier family 26 member 5 [Source:HGNC Symbol;Acc:HGNC:9359]	12019	0.016356011852622032	-0.118534654	No	
row_18	BRDT	bromodomain testis associated [Source:HGNC Symbol;Acc:HGNC:1105]	12614	-8.266564691439271E-4	-0.13942736	No	
row_19	DPEP3	dipeptidase 3 [Source:HGNC Symbol;Acc:HGNC:23029]	12898	-0.00845508836209774	-0.14875612	No	
row_20	PSD3	pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19093]	13102	-0.014297732152044773	-0.15480928	No	
