NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZNF461	zinc finger protein 461 [Source:HGNC Symbol;Acc:HGNC:21629]	6836	0.18107353150844574	-0.22091652	No	
row_1	ZNF382	zinc finger protein 382 [Source:HGNC Symbol;Acc:HGNC:17409]	13616	-0.029197825118899345	-0.45662022	No	
row_2	ZNF383	zinc finger protein 383 [Source:HGNC Symbol;Acc:HGNC:18609]	14713	-0.05955803394317627	-0.48866323	No	
row_3	ZNF585A	zinc finger protein 585A [Source:HGNC Symbol;Acc:HGNC:26305]	15291	-0.07616138458251953	-0.50057733	No	
row_4	ZNF568	zinc finger protein 568 [Source:HGNC Symbol;Acc:HGNC:25392]	18965	-0.179294615983963	-0.61020744	No	
row_5	ZNF420	zinc finger protein 420 [Source:HGNC Symbol;Acc:HGNC:20649]	19865	-0.19426901638507843	-0.6204091	No	
row_6	ZFP30	ZFP30 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:29555]	24133	-0.3107623755931854	-0.73643607	No	
row_7	ZNF527	zinc finger protein 527 [Source:HGNC Symbol;Acc:HGNC:29385]	25551	-0.3684098720550537	-0.7456366	Yes	
row_8	ZNF540	zinc finger protein 540 [Source:HGNC Symbol;Acc:HGNC:25331]	26008	-0.394456148147583	-0.71808517	Yes	
row_9	ZNF875	zinc finger protein 875 [Source:HGNC Symbol;Acc:HGNC:4928]	26342	-0.41591954231262207	-0.6838248	Yes	
row_10	ZNF569	zinc finger protein 569 [Source:HGNC Symbol;Acc:HGNC:24737]	26538	-0.4311298131942749	-0.64301836	Yes	
row_11	ZNF829	zinc finger protein 829 [Source:HGNC Symbol;Acc:HGNC:34032]	26692	-0.44372230768203735	-0.59933895	Yes	
row_12	ZNF567	zinc finger protein 567 [Source:HGNC Symbol;Acc:HGNC:28696]	26715	-0.4448850750923157	-0.55091375	Yes	
row_13	ZNF571	zinc finger protein 571 [Source:HGNC Symbol;Acc:HGNC:25000]	27026	-0.47115224599838257	-0.50973445	Yes	
row_14	ZNF570	zinc finger protein 570 [Source:HGNC Symbol;Acc:HGNC:26416]	27047	-0.4727192223072052	-0.4581605	Yes	
row_15	ZNF793	zinc finger protein 793 [Source:HGNC Symbol;Acc:HGNC:33115]	27408	-0.5117153525352478	-0.41425756	Yes	
row_16	ZNF529	zinc finger protein 529 [Source:HGNC Symbol;Acc:HGNC:29328]	27539	-0.5336386561393738	-0.3598235	Yes	
row_17	ZNF345	zinc finger protein 345 [Source:HGNC Symbol;Acc:HGNC:16367]	27620	-0.5463064312934875	-0.3022262	Yes	
row_18	ZNF790	zinc finger protein 790 [Source:HGNC Symbol;Acc:HGNC:33114]	27690	-0.5587291121482849	-0.24286732	Yes	
row_19	ZNF585B	zinc finger protein 585B [Source:HGNC Symbol;Acc:HGNC:30948]	27741	-0.5693423748016357	-0.18166503	Yes	
row_20	ZNF781	zinc finger protein 781 [Source:HGNC Symbol;Acc:HGNC:26745]	28192	-0.7148938775062561	-0.11846436	Yes	
row_21	ZNF260	zinc finger protein 260 [Source:HGNC Symbol;Acc:HGNC:13499]	28386	-1.1349271535873413	2.4675595E-4	Yes	
