NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RADAEVA_RESPONSE_TO_IFNA1_UP	RADAEVA_RESPONSE_TO_IFNA1_UP	Details ...	46	0.7609324	2.3280087	0.0	0.0	0.0	3201	tags=59%, list=11%, signal=66%	
RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN	RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN	Details ...	316	0.57873523	2.31474	0.0	0.0	0.0	4461	tags=45%, list=16%, signal=52%	
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	Details ...	120	0.7119353	2.3136964	0.0	0.0	0.0	3321	tags=52%, list=12%, signal=58%	
GALINDO_IMMUNE_RESPONSE_TO_ENTEROTOXIN	GALINDO_IMMUNE_RESPONSE_TO_ENTEROTOXIN	Details ...	78	0.67448753	2.2978742	0.0	8.2509086E-4	0.002	3953	tags=47%, list=14%, signal=55%	
MARKEY_RB1_ACUTE_LOF_DN	MARKEY_RB1_ACUTE_LOF_DN	Details ...	223	0.6232305	2.2974665	0.0	6.600727E-4	0.002	2785	tags=37%, list=10%, signal=40%	
VERHAAK_GLIOBLASTOMA_MESENCHYMAL	VERHAAK_GLIOBLASTOMA_MESENCHYMAL	Details ...	215	0.60339737	2.2783682	0.0	0.0011397742	0.004	4052	tags=41%, list=14%, signal=48%	
HECKER_IFNB1_TARGETS	HECKER_IFNB1_TARGETS	Details ...	92	0.7192102	2.275583	0.0	9.769493E-4	0.004	2798	tags=50%, list=10%, signal=55%	
RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP	RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP	Details ...	408	0.5414052	2.2720482	0.0	8.5483067E-4	0.004	4670	tags=41%, list=16%, signal=49%	
BROCKE_APOPTOSIS_REVERSED_BY_IL6	BROCKE_APOPTOSIS_REVERSED_BY_IL6	Details ...	144	0.53107625	2.2651777	0.0	0.001035976	0.006	2733	tags=31%, list=10%, signal=34%	
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	Details ...	451	0.5028638	2.2639346	0.0	9.3237835E-4	0.006	2798	tags=29%, list=10%, signal=31%	
HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN	HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN	Details ...	82	0.77043647	2.2624862	0.0	8.476167E-4	0.006	1922	tags=50%, list=7%, signal=53%	
NEMETH_INFLAMMATORY_RESPONSE_LPS_UP	NEMETH_INFLAMMATORY_RESPONSE_LPS_UP	Details ...	84	0.6256317	2.2589953	0.0	9.014608E-4	0.007	3461	tags=43%, list=12%, signal=49%	
HIRSCH_CELLULAR_TRANSFORMATION_SIGNATURE_UP	HIRSCH_CELLULAR_TRANSFORMATION_SIGNATURE_UP	Details ...	235	0.49327606	2.2546945	0.0	8.321177E-4	0.007	3307	tags=31%, list=12%, signal=35%	
BROWN_MYELOID_CELL_DEVELOPMENT_UP	BROWN_MYELOID_CELL_DEVELOPMENT_UP	Details ...	157	0.64695936	2.2532048	0.0	7.7268074E-4	0.007	3549	tags=49%, list=12%, signal=56%	
VERHAAK_AML_WITH_NPM1_MUTATED_UP	VERHAAK_AML_WITH_NPM1_MUTATED_UP	Details ...	183	0.70199865	2.2507918	0.0	7.2116865E-4	0.007	3616	tags=55%, list=13%, signal=63%	
OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_UP	OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_UP	Details ...	220	0.4758673	2.2497685	0.0	6.760956E-4	0.007	2793	tags=26%, list=10%, signal=29%	
JOHNSTONE_PARVB_TARGETS_3_UP	JOHNSTONE_PARVB_TARGETS_3_UP	Details ...	429	0.4770411	2.2495863	0.0	6.363253E-4	0.007	4966	tags=36%, list=17%, signal=43%	
GAL_LEUKEMIC_STEM_CELL_DN	GAL_LEUKEMIC_STEM_CELL_DN	Details ...	229	0.5566537	2.2452204	0.0	6.009739E-4	0.007	2481	tags=34%, list=9%, signal=37%	
HOWLIN_PUBERTAL_MAMMARY_GLAND	HOWLIN_PUBERTAL_MAMMARY_GLAND	Details ...	56	0.5826293	2.2234602	0.0	7.035289E-4	0.009	3654	tags=34%, list=13%, signal=39%	
BOYAULT_LIVER_CANCER_SUBCLASS_G5_DN	BOYAULT_LIVER_CANCER_SUBCLASS_G5_DN	Details ...	28	0.7420181	2.2131026	0.0	7.354032E-4	0.01	2798	tags=46%, list=10%, signal=51%	
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP	JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP		63	0.5951064	2.1923923	0.0	0.0011323121	0.015	1392	tags=30%, list=5%, signal=32%	
LENAOUR_DENDRITIC_CELL_MATURATION_DN	LENAOUR_DENDRITIC_CELL_MATURATION_DN		130	0.62845194	2.1890528	0.0	0.0012156621	0.016	2992	tags=40%, list=11%, signal=45%	
SHAFFER_IRF4_TARGETS_IN_PLASMA_CELL_VS_MATURE_B_LYMPHOCYTE	SHAFFER_IRF4_TARGETS_IN_PLASMA_CELL_VS_MATURE_B_LYMPHOCYTE		67	0.55720365	2.1871033	0.0	0.0012125814	0.017	3761	tags=39%, list=13%, signal=45%	
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN		195	0.5402767	2.1814914	0.0	0.0013290485	0.018	2954	tags=34%, list=10%, signal=38%	
LEE_AGING_CEREBELLUM_UP	LEE_AGING_CEREBELLUM_UP		83	0.5472815	2.180847	0.0	0.0012758867	0.018	1951	tags=30%, list=7%, signal=32%	
RASHI_RESPONSE_TO_IONIZING_RADIATION_1	RASHI_RESPONSE_TO_IONIZING_RADIATION_1		38	0.5493424	2.1722128	0.0	0.0014014633	0.021	2244	tags=26%, list=8%, signal=29%	
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP	BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP		168	0.6193941	2.171761	0.0	0.0013495573	0.021	1709	tags=37%, list=6%, signal=39%	
MANNE_COVID19_ICU_VS_HEALTHY_DONOR_PLATELETS_UP	MANNE_COVID19_ICU_VS_HEALTHY_DONOR_PLATELETS_UP		126	0.7832332	2.1608293	0.0	0.0016795474	0.028	3348	tags=66%, list=12%, signal=74%	
