NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FCGR1A	Fc gamma receptor Ia [Source:HGNC Symbol;Acc:HGNC:3613]	1	1.9109654426574707	0.027872944	Yes	
row_1	GNS	glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]	9	1.3683887720108032	0.047609437	Yes	
row_2	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	13	1.329020380973816	0.066912636	Yes	
row_3	SIRPA	signal regulatory protein alpha [Source:HGNC Symbol;Acc:HGNC:9662]	14	1.3044480085372925	0.08596322	Yes	
row_4	CEBPD	CCAAT enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835]	24	1.1802425384521484	0.10288113	Yes	
row_5	NFAM1	NFAT activating protein with ITAM motif 1 [Source:HGNC Symbol;Acc:HGNC:29872]	34	1.1245609521865845	0.118985854	Yes	
row_6	LILRA6	leukocyte immunoglobulin like receptor A6 [Source:HGNC Symbol;Acc:HGNC:15495]	50	1.0735752582550049	0.13413347	Yes	
row_7	GRN	granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]	54	1.0564426183700562	0.14945586	Yes	
row_8	CCR1	C-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1602]	56	1.0481491088867188	0.16472796	Yes	
row_9	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	65	1.025398850440979	0.1794199	Yes	
row_10	FPR2	formyl peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:3827]	78	1.000705599784851	0.19360955	Yes	
row_11	CLEC6A	C-type lectin domain containing 6A [Source:HGNC Symbol;Acc:HGNC:14556]	90	0.9706721305847168	0.207396	Yes	
row_12	CSF2RA	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]	98	0.9427409768104553	0.2209162	Yes	
row_13	ATP6V1B2	ATPase H+ transporting V1 subunit B2 [Source:HGNC Symbol;Acc:HGNC:854]	100	0.938636302947998	0.23458894	Yes	
row_14	FPR1	formyl peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:3826]	113	0.921749472618103	0.24762549	Yes	
row_15	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	139	0.8958185911178589	0.25982296	Yes	
row_16	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	144	0.8861271739006042	0.2726226	Yes	
row_17	SIGLEC9	sialic acid binding Ig like lectin 9 [Source:HGNC Symbol;Acc:HGNC:10878]	149	0.8820210695266724	0.28536224	Yes	
row_18	HLX	H2.0 like homeobox [Source:HGNC Symbol;Acc:HGNC:4978]	189	0.8455548882484436	0.29632983	Yes	
row_19	BCL2A1	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	197	0.8354628086090088	0.3082833	Yes	
row_20	CLEC5A	C-type lectin domain containing 5A [Source:HGNC Symbol;Acc:HGNC:2054]	204	0.8330981731414795	0.32023767	Yes	
row_21	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	210	0.8298792839050293	0.3321804	Yes	
row_22	CD33	CD33 molecule [Source:HGNC Symbol;Acc:HGNC:1659]	211	0.8293985724449158	0.3442932	Yes	
row_23	C5AR1	complement C5a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1338]	256	0.7909632921218872	0.35428646	Yes	
row_24	CYBB	cytochrome b-245 beta chain [Source:HGNC Symbol;Acc:HGNC:2578]	262	0.7858151793479919	0.36558568	Yes	
row_25	ANPEP	alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]	263	0.7846868634223938	0.3770455	Yes	
row_26	TYROBP	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]	280	0.7723680138587952	0.3877588	Yes	
row_27	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	309	0.7546647191047668	0.39778855	Yes	
row_28	IL1RN	interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]	313	0.7532545328140259	0.4086831	Yes	
row_29	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	368	0.7239489555358887	0.41734347	Yes	
row_30	GRINA	glutamate ionotropic receptor NMDA type subunit associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4589]	387	0.7130461931228638	0.42711958	Yes	
row_31	LILRB4	leukocyte immunoglobulin like receptor B4 [Source:HGNC Symbol;Acc:HGNC:6608]	390	0.7118735909461975	0.4374452	Yes	
row_32	FCGR2A	Fc gamma receptor IIa [Source:HGNC Symbol;Acc:HGNC:3616]	399	0.7085782885551453	0.44751018	Yes	
row_33	SLC31A2	solute carrier family 31 member 2 [Source:HGNC Symbol;Acc:HGNC:11017]	430	0.6969714164733887	0.45662653	Yes	
row_34	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	452	0.6898419857025146	0.4659575	Yes	
row_35	MMP8	matrix metallopeptidase 8 [Source:HGNC Symbol;Acc:HGNC:7175]	478	0.6774468421936035	0.47496578	Yes	
row_36	CCR2	C-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1603]	490	0.6746372580528259	0.48442885	Yes	
row_37	CSTA	cystatin A [Source:HGNC Symbol;Acc:HGNC:2481]	519	0.6619986295700073	0.4931053	Yes	
row_38	DGAT2	diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16940]	530	0.6589463949203491	0.5023746	Yes	
row_39	HCK	HCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4840]	581	0.6428957581520081	0.50999296	Yes	
row_40	MSRB1	methionine sulfoxide reductase B1 [Source:HGNC Symbol;Acc:HGNC:14133]	612	0.6339472532272339	0.5181889	Yes	
row_41	SCARB2	scavenger receptor class B member 2 [Source:HGNC Symbol;Acc:HGNC:1665]	817	0.5773069858551025	0.5193955	Yes	
row_42	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	821	0.5767756700515747	0.52771264	Yes	
row_43	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	828	0.5753816962242126	0.5359032	Yes	
row_44	IL1R2	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	839	0.5736286044120789	0.54392654	Yes	
row_45	GYG1	glycogenin 1 [Source:HGNC Symbol;Acc:HGNC:4699]	845	0.572746753692627	0.55211407	Yes	
row_46	SGMS2	sphingomyelin synthase 2 [Source:HGNC Symbol;Acc:HGNC:28395]	850	0.5720892548561096	0.5603274	Yes	
row_47	S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	975	0.5446587204933167	0.56389034	Yes	
row_48	MCEMP1	mast cell expressed membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:27291]	979	0.543612539768219	0.5717232	Yes	
row_49	TRPM2	transient receptor potential cation channel subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:12339]	980	0.5434616804122925	0.5796601	Yes	
row_50	SLC15A3	solute carrier family 15 member 3 [Source:HGNC Symbol;Acc:HGNC:18068]	1021	0.5379723906517029	0.5861002	Yes	
row_51	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	1054	0.5295168161392212	0.5927002	Yes	
row_52	PLK3	polo like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2154]	1070	0.5261046290397644	0.5998524	Yes	
