NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	10	1.3656831979751587	0.08461124	Yes	
row_1	KLF4	KLF transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	97	0.9507949352264404	0.14072885	Yes	
row_2	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	225	0.8120447993278503	0.18676749	Yes	
row_3	EVI2A	ecotropic viral integration site 2A [Source:HGNC Symbol;Acc:HGNC:3499]	308	0.7548231482505798	0.23083414	Yes	
row_4	COMT	catechol-O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:2228]	359	0.730108916759491	0.27449247	Yes	
row_5	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	491	0.672667920589447	0.31171882	Yes	
row_6	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	579	0.6435246467590332	0.34868473	Yes	
row_7	TWIST1	twist family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:12428]	636	0.6245601177215576	0.38556474	Yes	
row_8	IL1R2	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	839	0.5736286044120789	0.41412404	Yes	
row_9	MARCO	macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:HGNC:6895]	958	0.5479600429534912	0.4440506	Yes	
row_10	HAL	histidine ammonia-lyase [Source:HGNC Symbol;Acc:HGNC:4806]	1028	0.5348866581916809	0.47489294	Yes	
row_11	NPR3	natriuretic peptide receptor 3 [Source:HGNC Symbol;Acc:HGNC:7945]	1161	0.5103288292884827	0.5019843	Yes	
row_12	MYCL	MYCL proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7555]	1200	0.5034335255622864	0.53196377	Yes	
row_13	MSR1	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]	1569	0.45149660110473633	0.5470669	Yes	
row_14	ELOVL6	ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]	1869	0.4199744164943695	0.5626439	Yes	
row_15	VEGFD	vascular endothelial growth factor D [Source:HGNC Symbol;Acc:HGNC:3708]	2450	0.36988964676856995	0.5651888	Yes	
row_16	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	2782	0.34553682804107666	0.5750055	Yes	
row_17	AOX1	aldehyde oxidase 1 [Source:HGNC Symbol;Acc:HGNC:553]	3274	0.3174680769443512	0.5774298	Yes	
row_18	RSPH3	radial spoke head 3 [Source:HGNC Symbol;Acc:HGNC:21054]	3654	0.29854923486709595	0.5826293	Yes	
row_19	SMS	spermine synthase [Source:HGNC Symbol;Acc:HGNC:11123]	4190	0.27309316396713257	0.5807402	No	
row_20	IGHV4-28	immunoglobulin heavy variable 4-28 [Source:HGNC Symbol;Acc:HGNC:5645]	5017	0.23854652047157288	0.5664329	No	
row_21	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	5822	0.20981480181217194	0.55111444	No	
row_22	PI4KA	phosphatidylinositol 4-kinase alpha [Source:HGNC Symbol;Acc:HGNC:8983]	7115	0.17281313240528107	0.5162733	No	
