NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	240	0.8002263307571411	0.04083358	No	
row_1	FUT8	fucosyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4019]	1048	0.5307571887969971	0.045054	No	
row_2	MGAT5	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7049]	1516	0.4574076533317566	0.05675449	No	
row_3	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	1874	0.4193499684333801	0.06999229	No	
row_4	ATP1B1	ATPase Na+/K+ transporting subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:804]	2908	0.3369033634662628	0.05429295	No	
row_5	VNN2	vanin 2 [Source:HGNC Symbol;Acc:HGNC:12706]	3138	0.3234277367591858	0.066138156	No	
row_6	ADAMDEC1	ADAM like decysin 1 [Source:HGNC Symbol;Acc:HGNC:16299]	3848	0.28920865058898926	0.058934864	No	
row_7	ZNF280D	zinc finger protein 280D [Source:HGNC Symbol;Acc:HGNC:25953]	3940	0.2847963273525238	0.07327021	No	
row_8	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	5815	0.21006107330322266	0.020075234	No	
row_9	GLIPR1	GLI pathogenesis related 1 [Source:HGNC Symbol;Acc:HGNC:17001]	6573	0.18725863099098206	0.0048965653	No	
row_10	EAF2	ELL associated factor 2 [Source:HGNC Symbol;Acc:HGNC:23115]	6577	0.18700730800628662	0.016312614	No	
row_11	STAG3	stromal antigen 3 [Source:HGNC Symbol;Acc:HGNC:11356]	6847	0.18046879768371582	0.017938126	No	
row_12	ADARB1	adenosine deaminase RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]	7973	0.15235939621925354	-0.012378232	No	
row_13	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta [Source:HGNC Symbol;Acc:HGNC:8995]	8112	0.1464836150407791	-0.008223361	No	
row_14	ATP10D	ATPase phospholipid transporting 10D (putative) [Source:HGNC Symbol;Acc:HGNC:13549]	8975	0.11328168213367462	-0.031665575	No	
row_15	USP6NL	USP6 N-terminal like [Source:HGNC Symbol;Acc:HGNC:16858]	9656	0.0907246544957161	-0.05007442	No	
row_16	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	9984	0.079522505402565	-0.056715365	No	
row_17	METTL8	methyltransferase 8, methylcytidine [Source:HGNC Symbol;Acc:HGNC:25856]	10019	0.07843858748674393	-0.053082526	No	
row_18	EIF4G3	eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]	10085	0.0764218121767044	-0.050667994	No	
row_19	MTSS1	MTSS I-BAR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20443]	11719	0.024837322533130646	-0.10676962	No	
row_20	NUCB2	nucleobindin 2 [Source:HGNC Symbol;Acc:HGNC:8044]	12169	0.011773394420742989	-0.121890366	No	
row_21	ADAM10	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]	13489	-0.025547094643115997	-0.16686656	No	
row_22	DGKG	diacylglycerol kinase gamma [Source:HGNC Symbol;Acc:HGNC:2853]	13641	-0.02986016869544983	-0.1703559	No	
row_23	PDE8A	phosphodiesterase 8A [Source:HGNC Symbol;Acc:HGNC:8793]	13911	-0.037177618592977524	-0.17755887	No	
row_24	SLAMF1	signaling lymphocytic activation molecule family member 1 [Source:HGNC Symbol;Acc:HGNC:10903]	14415	-0.05100962892174721	-0.19216795	No	
row_25	SYNJ2	synaptojanin 2 [Source:HGNC Symbol;Acc:HGNC:11504]	15007	-0.06756290793418884	-0.20886286	No	
row_26	FRS2	fibroblast growth factor receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:16971]	15446	-0.08041935414075851	-0.21936595	No	
row_27	MEF2C	myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]	17396	-0.13373354077339172	-0.27991053	No	
