NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FHIT	fragile histidine triad diadenosine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3701]	1858	0.42105990648269653	-0.011982701	No	
row_1	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]	1964	0.41237378120422363	0.036727767	No	
row_2	GSTP1	glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:HGNC:4638]	2776	0.34626954793930054	0.052148435	No	
row_3	PITX2	paired like homeodomain 2 [Source:HGNC Symbol;Acc:HGNC:9005]	7707	0.1625809520483017	-0.10098132	No	
row_4	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	8184	0.14348356425762177	-0.09952488	No	
row_5	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	11537	0.030473334714770317	-0.21381725	No	
row_6	TP73	tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]	12294	0.007747312542051077	-0.23948327	No	
row_7	RBP1	retinol binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9919]	13276	-0.018866151571273804	-0.27166784	No	
row_8	TFAP2A	transcription factor AP-2 alpha [Source:HGNC Symbol;Acc:HGNC:11742]	15838	-0.09117928147315979	-0.3503601	No	
row_9	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	16703	-0.11447522044181824	-0.36626843	No	
row_10	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	17042	-0.12365569174289703	-0.36246726	No	
row_11	SORBS3	sorbin and SH3 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30907]	17193	-0.128021240234375	-0.35148382	No	
row_12	GATA3	GATA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4172]	17220	-0.12883219122886658	-0.33602604	No	
row_13	MLH1	mutL homolog 1 [Source:HGNC Symbol;Acc:HGNC:7127]	17287	-0.13076996803283691	-0.32173207	No	
row_14	RUNX3	RUNX family transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473]	20528	-0.20586617290973663	-0.40978408	No	
row_15	MSH6	mutS homolog 6 [Source:HGNC Symbol;Acc:HGNC:7329]	20721	-0.21231086552143097	-0.3895682	No	
row_16	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	23476	-0.28448447585105896	-0.4504954	No	
row_17	EBF3	EBF transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:19087]	25333	-0.358255535364151	-0.4703899	Yes	
row_18	TSHR	thyroid stimulating hormone receptor [Source:HGNC Symbol;Acc:HGNC:12373]	25811	-0.3826443552970886	-0.4385718	Yes	
row_19	EPM2AIP1	EPM2A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:19735]	25925	-0.38982996344566345	-0.39300865	Yes	
row_20	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	26402	-0.42080992460250854	-0.35630453	Yes	
row_21	RPA3	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	26813	-0.4528713524341583	-0.31319883	Yes	
row_22	BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	27214	-0.4896286725997925	-0.26506883	Yes	
row_23	TERT	telomerase reverse transcriptase [Source:HGNC Symbol;Acc:HGNC:11730]	27355	-0.5047131180763245	-0.20585601	Yes	
row_24	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	27753	-0.5708179473876953	-0.14730124	Yes	
row_25	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B [Source:HGNC Symbol;Acc:HGNC:4586]	27830	-0.5878187417984009	-0.07526972	Yes	
row_26	THRB	thyroid hormone receptor beta [Source:HGNC Symbol;Acc:HGNC:11799]	28239	-0.7480952739715576	0.005428905	Yes	
