NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	41	1.096213936805725	0.012194922	No	
row_1	ACVRL1	activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]	162	0.868624210357666	0.018751431	No	
row_2	CPVL	carboxypeptidase vitellogenic like [Source:HGNC Symbol;Acc:HGNC:14399]	235	0.8023824095726013	0.026187018	No	
row_3	MYOF	myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]	238	0.8016046285629272	0.036097832	No	
row_4	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	316	0.7518308758735657	0.042726442	No	
row_5	TBX3	T-box transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11602]	396	0.7106736898422241	0.048771553	No	
row_6	KCTD12	potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]	529	0.6591806411743164	0.052294027	No	
row_7	PID1	phosphotyrosine interaction domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26084]	619	0.6317107677459717	0.057000883	No	
row_8	SLC37A2	solute carrier family 37 member 2 [Source:HGNC Symbol;Acc:HGNC:20644]	650	0.6197222471237183	0.06365288	No	
row_9	CLEC10A	C-type lectin domain containing 10A [Source:HGNC Symbol;Acc:HGNC:16916]	724	0.5989584922790527	0.068519875	No	
row_10	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	821	0.5767756700515747	0.07229417	No	
row_11	MS4A7	membrane spanning 4-domains A7 [Source:HGNC Symbol;Acc:HGNC:13378]	829	0.5752385854721069	0.07920872	No	
row_12	ARPIN	actin related protein 2/3 complex inhibitor [Source:HGNC Symbol;Acc:HGNC:28782]	864	0.5677933096885681	0.085072085	No	
row_13	SHTN1	shootin 1 [Source:HGNC Symbol;Acc:HGNC:29319]	1179	0.5071348547935486	0.08024046	No	
row_14	PF4V1	platelet factor 4 variant 1 [Source:HGNC Symbol;Acc:HGNC:8862]	1291	0.49009186029434204	0.08240286	No	
row_15	MPEG1	macrophage expressed 1 [Source:HGNC Symbol;Acc:HGNC:29619]	1312	0.4877203106880188	0.087766126	No	
row_16	LILRA4	leukocyte immunoglobulin like receptor A4 [Source:HGNC Symbol;Acc:HGNC:15503]	1336	0.48299846053123474	0.09296409	No	
row_17	CLEC4C	C-type lectin domain family 4 member C [Source:HGNC Symbol;Acc:HGNC:13258]	2016	0.40708696842193604	0.07392959	No	
