NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	316	0.7518308758735657	0.001615809	No	
row_1	TBX3	T-box transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11602]	396	0.7106736898422241	0.010924335	No	
row_2	PID1	phosphotyrosine interaction domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26084]	619	0.6317107677459717	0.013823075	No	
row_3	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	821	0.5767756700515747	0.016529743	No	
row_4	MS4A7	membrane spanning 4-domains A7 [Source:HGNC Symbol;Acc:HGNC:13378]	829	0.5752385854721069	0.02608113	No	
row_5	H2AC13	H2A clustered histone 13 [Source:HGNC Symbol;Acc:HGNC:4725]	834	0.5746250152587891	0.035728317	No	
row_6	PF4V1	platelet factor 4 variant 1 [Source:HGNC Symbol;Acc:HGNC:8862]	1291	0.49009186029434204	0.027926963	No	
row_7	LILRA4	leukocyte immunoglobulin like receptor A4 [Source:HGNC Symbol;Acc:HGNC:15503]	1336	0.48299846053123474	0.034596592	No	
row_8	NANOS1	nanos C2HC-type zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:23044]	1564	0.45265626907348633	0.034268014	No	
row_9	IGFBP5	insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]	2182	0.3934779465198517	0.019118682	No	
row_10	H4C9	H4 clustered histone 9 [Source:HGNC Symbol;Acc:HGNC:4793]	2477	0.3675229549407959	0.014966901	No	
row_11	IL3RA	interleukin 3 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6012]	2829	0.3420605957508087	0.008362593	No	
row_12	ENSG00000285976	novel protein	3336	0.3149683177471161	-0.004192878	No	
row_13	H2BC13	H2B clustered histone 13 [Source:HGNC Symbol;Acc:HGNC:4748]	3799	0.2918270230293274	-0.0155842155	No	
row_14	LGALS2	galectin 2 [Source:HGNC Symbol;Acc:HGNC:6562]	4449	0.2617577910423279	-0.034110777	No	
row_15	WLS	Wnt ligand secretion mediator [Source:HGNC Symbol;Acc:HGNC:30238]	4661	0.2538911998271942	-0.03725868	No	
row_16	SEPTIN10	septin 10 [Source:HGNC Symbol;Acc:HGNC:14349]	7013	0.1774328052997589	-0.117501535	No	
row_17	HLA-DRB5	major histocompatibility complex, class II, DR beta 5 [Source:HGNC Symbol;Acc:HGNC:4953]	7025	0.17700262367725372	-0.114875846	No	
row_18	ENTREP2	endosomal transmembrane epsin interactor 2 [Source:HGNC Symbol;Acc:HGNC:29075]	7521	0.16577954590320587	-0.1295832	No	
row_19	SASH1	SAM and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19182]	8258	0.1407373696565628	-0.15325263	No	
row_20	H2AC15	H2A clustered histone 15 [Source:HGNC Symbol;Acc:HGNC:4726]	8812	0.1197083592414856	-0.170799	No	
row_21	FTO	FTO alpha-ketoglutarate dependent dioxygenase [Source:HGNC Symbol;Acc:HGNC:24678]	9059	0.11066652089357376	-0.17762637	No	
row_22	FAM241A	family with sequence similarity 241 member A [Source:HGNC Symbol;Acc:HGNC:26813]	9243	0.10551799833774567	-0.18231016	No	
row_23	SETD7	SET domain containing 7, histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:30412]	10561	0.06080520898103714	-0.22791857	No	
row_24	PLD4	phospholipase D family member 4 [Source:HGNC Symbol;Acc:HGNC:23792]	11460	0.0323491096496582	-0.259172	No	
row_25	YAP1	Yes1 associated transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:16262]	11500	0.03134918957948685	-0.2600192	No	
row_26	ENAH	ENAH actin regulator [Source:HGNC Symbol;Acc:HGNC:18271]	11576	0.029492773115634918	-0.2621731	No	
row_27	KDR	kinase insert domain receptor [Source:HGNC Symbol;Acc:HGNC:6307]	11750	0.023974061012268066	-0.26789182	No	
row_28	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	11917	0.019134510308504105	-0.2734451	No	
row_29	WNT9A	Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]	12295	0.007696525193750858	-0.2866662	No	
row_30	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	12492	0.002712540328502655	-0.29356173	No	
row_31	PDCD1LG2	programmed cell death 1 ligand 2 [Source:HGNC Symbol;Acc:HGNC:18731]	12610	-7.022843929007649E-4	-0.29769358	No	
row_32	COL25A1	collagen type XXV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:18603]	12701	-0.0034459400922060013	-0.3008224	No	
row_33	DLK1	delta like non-canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2907]	12727	-0.004194327630102634	-0.30163637	No	
row_34	RAMP3	receptor activity modifying protein 3 [Source:HGNC Symbol;Acc:HGNC:9845]	12748	-0.004652436822652817	-0.30226547	No	
row_35	NRN1	neuritin 1 [Source:HGNC Symbol;Acc:HGNC:17972]	12967	-0.010738723911345005	-0.30980343	No	
row_36	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	13021	-0.012052293866872787	-0.31147522	No	
row_37	REG1B	regenerating family member 1 beta [Source:HGNC Symbol;Acc:HGNC:9952]	13065	-0.01315289456397295	-0.3127741	No	
row_38	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	13618	-0.02921099215745926	-0.3318267	No	
row_39	H2BC9	H2B clustered histone 9 [Source:HGNC Symbol;Acc:HGNC:4755]	13731	-0.03231222555041313	-0.33524296	No	
row_40	ZNF367	zinc finger protein 367 [Source:HGNC Symbol;Acc:HGNC:18320]	14148	-0.04325038567185402	-0.34923965	No	
row_41	TNFRSF21	TNF receptor superfamily member 21 [Source:HGNC Symbol;Acc:HGNC:13469]	14181	-0.04397498816251755	-0.3496239	No	
row_42	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	15502	-0.08213790506124496	-0.39497513	No	
row_43	CAVIN2	caveolae associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10690]	15522	-0.08300645649433136	-0.39423403	No	
row_44	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	16063	-0.0971863642334938	-0.41170365	No	
row_45	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]	16114	-0.09851854294538498	-0.4117962	No	
row_46	SPC25	SPC25 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:24031]	16131	-0.09900348633527756	-0.41067633	No	
row_47	LEPR	leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]	16397	-0.10602051019668579	-0.41825578	No	
row_48	EFNA5	ephrin A5 [Source:HGNC Symbol;Acc:HGNC:3225]	16581	-0.11104626953601837	-0.4228454	No	
row_49	CEP128	centrosomal protein 128 [Source:HGNC Symbol;Acc:HGNC:20359]	16827	-0.11750532686710358	-0.42952085	No	
row_50	KRT5	keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]	16876	-0.11863332241773605	-0.4291999	No	
row_51	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	16918	-0.12010964006185532	-0.4286059	No	
row_52	CDYL	chromodomain Y like [Source:HGNC Symbol;Acc:HGNC:1811]	17550	-0.1373501867055893	-0.44861427	No	
row_53	STXBP6	syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]	17552	-0.1373610496520996	-0.44630972	No	
row_54	ST8SIA6	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:23317]	17561	-0.1375868320465088	-0.44424924	No	
row_55	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	17816	-0.1452765166759491	-0.45077035	No	
row_56	SCIN	scinderin [Source:HGNC Symbol;Acc:HGNC:21695]	17885	-0.14725932478904724	-0.45067012	No	
row_57	MACROD2	mono-ADP ribosylhydrolase 2 [Source:HGNC Symbol;Acc:HGNC:16126]	18420	-0.1624988466501236	-0.4668146	No	
row_58	AGBL3	AGBL carboxypeptidase 3 [Source:HGNC Symbol;Acc:HGNC:27981]	18727	-0.1728309541940689	-0.47470802	No	
row_59	LPL	lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677]	18923	-0.17828479409217834	-0.47857723	No	
row_60	SMIM36	small integral membrane protein 36 [Source:HGNC Symbol;Acc:HGNC:53654]	18941	-0.17870914936065674	-0.47613496	No	
row_61	UGT2B28	UDP glucuronosyltransferase family 2 member B28 [Source:HGNC Symbol;Acc:HGNC:13479]	19413	-0.18692126870155334	-0.48963213	No	
row_62	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]	20405	-0.2022600919008255	-0.5212849	No	
row_63	STK26	serine/threonine kinase 26 [Source:HGNC Symbol;Acc:HGNC:18174]	20511	-0.20543548464775085	-0.52150404	No	
row_64	TTPAL	alpha tocopherol transfer protein like [Source:HGNC Symbol;Acc:HGNC:16114]	20680	-0.21108466386795044	-0.52385825	No	
row_65	HLA-DOA	major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]	20716	-0.21213549375534058	-0.5214841	No	
row_66	BTLA	B and T lymphocyte associated [Source:HGNC Symbol;Acc:HGNC:21087]	20907	-0.21595732867717743	-0.5245344	No	
row_67	KIF26A	kinesin family member 26A [Source:HGNC Symbol;Acc:HGNC:20226]	21077	-0.22022958099842072	-0.5267682	No	
row_68	ZNF660	zinc finger protein 660 [Source:HGNC Symbol;Acc:HGNC:26720]	21455	-0.22845962643623352	-0.5362286	No	
row_69	CXCL5	C-X-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10642]	21534	-0.23049598932266235	-0.5350646	No	
row_70	P2RY12	purinergic receptor P2Y12 [Source:HGNC Symbol;Acc:HGNC:18124]	21625	-0.2334708720445633	-0.5342749	No	
row_71	ANKDD1B	ankyrin repeat and death domain containing 1B [Source:HGNC Symbol;Acc:HGNC:32525]	21869	-0.23766890168190002	-0.5388325	No	
row_72	SLFN14	schlafen family member 14 [Source:HGNC Symbol;Acc:HGNC:32689]	22649	-0.25974389910697937	-0.5619976	No	
row_73	VWA8	von Willebrand factor A domain containing 8 [Source:HGNC Symbol;Acc:HGNC:29071]	22963	-0.26867520809173584	-0.5685062	No	
row_74	SPIB	Spi-B transcription factor [Source:HGNC Symbol;Acc:HGNC:11242]	23104	-0.2724779546260834	-0.56882286	No	
row_75	GPR88	G protein-coupled receptor 88 [Source:HGNC Symbol;Acc:HGNC:4539]	23265	-0.27756497263908386	-0.5697612	No	
row_76	TC2N	tandem C2 domains, nuclear [Source:HGNC Symbol;Acc:HGNC:19859]	23440	-0.28338274359703064	-0.57109624	Yes	
