NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	41	1.096213936805725	0.013842766	No	
row_1	GASK1B	golgi associated kinase 1B [Source:HGNC Symbol;Acc:HGNC:25312]	115	0.919570803642273	0.024085255	No	
row_2	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	316	0.7518308758735657	0.027481362	No	
row_3	TBX3	T-box transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11602]	396	0.7106736898422241	0.034595888	No	
row_4	KCTD12	potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]	529	0.6591806411743164	0.039111547	No	
row_5	LILRA1	leukocyte immunoglobulin like receptor A1 [Source:HGNC Symbol;Acc:HGNC:6602]	597	0.6386393904685974	0.04564659	No	
row_6	PID1	phosphotyrosine interaction domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26084]	619	0.6317107677459717	0.053716898	No	
row_7	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	821	0.5767756700515747	0.054634683	No	
row_8	MS4A7	membrane spanning 4-domains A7 [Source:HGNC Symbol;Acc:HGNC:13378]	829	0.5752385854721069	0.062413625	No	
row_9	ARPIN	actin related protein 2/3 complex inhibitor [Source:HGNC Symbol;Acc:HGNC:28782]	864	0.5677933096885681	0.06913078	No	
row_10	TBC1D8	TBC1 domain family member 8 [Source:HGNC Symbol;Acc:HGNC:17791]	898	0.561545193195343	0.075796224	No	
row_11	GNG10	G protein subunit gamma 10 [Source:HGNC Symbol;Acc:HGNC:4402]	932	0.5526584386825562	0.082337655	No	
row_12	CPPED1	calcineurin like phosphoesterase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25632]	1215	0.5005295276641846	0.079317786	No	
row_13	PF4V1	platelet factor 4 variant 1 [Source:HGNC Symbol;Acc:HGNC:8862]	1291	0.49009186029434204	0.08349607	No	
