NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KLHL35	kelch like family member 35 [Source:HGNC Symbol;Acc:HGNC:26597]	1000	0.5402399301528931	-0.01020946	No	
row_1	E2F7	E2F transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:23820]	1573	0.45091313123703003	-0.009448796	No	
row_2	TYMS	thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]	1951	0.4134702682495117	-0.0035386463	No	
row_3	PRELID2	PRELI domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28306]	2960	0.33352234959602356	-0.023646563	No	
row_4	ENSG00000269210	novel transcript, antisense to ARHGEF33	3126	0.3239867389202118	-0.014406897	No	
row_5	PER3	period circadian regulator 3 [Source:HGNC Symbol;Acc:HGNC:8847]	3255	0.3181553781032562	-0.0041309264	No	
row_6	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	4786	0.248019739985466	-0.046663295	No	
row_7	CFAP44	cilia and flagella associated protein 44 [Source:HGNC Symbol;Acc:HGNC:25631]	6105	0.19978351891040802	-0.08394748	No	
row_8	TIA1	TIA1 cytotoxic granule associated RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11802]	6406	0.19084776937961578	-0.08567177	No	
row_9	STAG3	stromal antigen 3 [Source:HGNC Symbol;Acc:HGNC:11356]	6847	0.18046879768371582	-0.092826374	No	
row_10	MAP7D2	MAP7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25899]	7573	0.163643017411232	-0.110835396	No	
row_11	ENSG00000280018	novel transcript	8072	0.148597851395607	-0.12152221	No	
row_12	CDC7	cell division cycle 7 [Source:HGNC Symbol;Acc:HGNC:1745]	8326	0.13805526494979858	-0.12404126	No	
row_13	NEURL1B	neuralized E3 ubiquitin protein ligase 1B [Source:HGNC Symbol;Acc:HGNC:35422]	8591	0.12820473313331604	-0.12740727	No	
row_14	DONSON	DNA replication fork stabilization factor DONSON [Source:HGNC Symbol;Acc:HGNC:2993]	8638	0.1264244019985199	-0.12315208	No	
row_15	MIR3939	microRNA 3939 [Source:HGNC Symbol;Acc:HGNC:38931]	9148	0.10809130221605301	-0.13611184	No	
row_16	NR1D2	nuclear receptor subfamily 1 group D member 2 [Source:HGNC Symbol;Acc:HGNC:7963]	9248	0.10535754263401031	-0.1347096	No	
row_17	ZSCAN16	zinc finger and SCAN domain containing 16 [Source:HGNC Symbol;Acc:HGNC:20813]	9993	0.07917702943086624	-0.15731911	No	
