NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WIF1	WNT inhibitory factor 1 [Source:HGNC Symbol;Acc:HGNC:18081]	103	0.9331216216087341	0.005739025	No	
row_1	SAP30	Sin3A associated protein 30 [Source:HGNC Symbol;Acc:HGNC:10532]	497	0.6702436804771423	-0.0015452432	No	
row_2	CAV2	caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528]	602	0.6365414261817932	0.0011634323	No	
row_3	TSPAN13	tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]	712	0.6023054718971252	0.0033476488	No	
row_4	AHR	aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]	1223	0.49886354804039	-0.009850411	No	
row_5	KIF2C	kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]	1249	0.4953399896621704	-0.0057428014	No	
row_6	CRLS1	cardiolipin synthase 1 [Source:HGNC Symbol;Acc:HGNC:16148]	1332	0.4842250347137451	-0.0037854637	No	
row_7	EIF4H	eukaryotic translation initiation factor 4H [Source:HGNC Symbol;Acc:HGNC:12741]	1507	0.4589700400829315	-0.0053726016	No	
row_8	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta [Source:HGNC Symbol;Acc:HGNC:12849]	1563	0.4526851773262024	-0.0027683356	No	
row_9	E2F7	E2F transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:23820]	1573	0.45091313123703003	0.0014627746	No	
row_10	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	1636	0.44333311915397644	0.0037223261	No	
row_11	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	1905	0.4162857234477997	-0.0016567826	No	
row_12	STARD7	StAR related lipid transfer domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18063]	2026	0.40667083859443665	-0.0018412116	No	
row_13	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	2080	0.40223878622055054	3.252033E-4	No	
row_14	TMTC4	transmembrane O-mannosyltransferase targeting cadherins 4 [Source:HGNC Symbol;Acc:HGNC:25904]	2189	0.3924836218357086	4.2658654E-4	No	
row_15	MLLT3	MLLT3 super elongation complex subunit [Source:HGNC Symbol;Acc:HGNC:7136]	2218	0.3897460401058197	0.00336074	No	
row_16	STRAP	serine/threonine kinase receptor associated protein [Source:HGNC Symbol;Acc:HGNC:30796]	2400	0.37316352128982544	6.569207E-4	No	
row_17	TSPAN2	tetraspanin 2 [Source:HGNC Symbol;Acc:HGNC:20659]	2579	0.36110919713974	-0.0020613465	No	
row_18	VBP1	VHL binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12662]	2662	0.35498133301734924	-0.0014089933	No	
row_19	KCTD15	potassium channel tetramerization domain containing 15 [Source:HGNC Symbol;Acc:HGNC:23297]	2689	0.3529506325721741	0.0012251443	No	
row_20	UBA2	ubiquitin like modifier activating enzyme 2 [Source:HGNC Symbol;Acc:HGNC:30661]	2719	0.35071712732315063	0.0037294643	No	
row_21	ACTR3B	actin related protein 3B [Source:HGNC Symbol;Acc:HGNC:17256]	2769	0.3466990292072296	0.00547811	No	
row_22	TIMM21	translocase of inner mitochondrial membrane 21 [Source:HGNC Symbol;Acc:HGNC:25010]	2900	0.33744940161705017	0.0042371955	No	
row_23	RELL1	RELT like 1 [Source:HGNC Symbol;Acc:HGNC:27379]	3174	0.32172566652297974	-0.0022754697	No	
row_24	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha [Source:HGNC Symbol;Acc:HGNC:9302]	3366	0.3138256371021271	-0.0059359795	No	
row_25	TMEM33	transmembrane protein 33 [Source:HGNC Symbol;Acc:HGNC:25541]	3417	0.3114398121833801	-0.004579104	No	
row_26	ABHD13	abhydrolase domain containing 13 [Source:HGNC Symbol;Acc:HGNC:20293]	3424	0.31087347865104675	-0.0016547202	No	
row_27	POLD3	DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]	3460	0.3090347349643707	2.1419844E-4	No	
row_28	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	3482	0.3081601560115814	0.0025748585	No	
row_29	MPZL1	myelin protein zero like 1 [Source:HGNC Symbol;Acc:HGNC:7226]	3708	0.295790433883667	-0.0024834294	No	
row_30	ASXL1	ASXL transcriptional regulator 1 [Source:HGNC Symbol;Acc:HGNC:18318]	3809	0.2912674844264984	-0.0031179928	No	
row_31	RAD51	RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]	4284	0.2686149477958679	-0.017353706	No	
row_32	TTC3	tetratricopeptide repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12393]	4309	0.2678927779197693	-0.015506893	No	
row_33	G3BP2	G3BP stress granule assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:30291]	4364	0.2655565142631531	-0.014756327	No	
row_34	ACAT2	acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]	4365	0.2655487656593323	-0.012075059	No	
row_35	PACSIN2	protein kinase C and casein kinase substrate in neurons 2 [Source:HGNC Symbol;Acc:HGNC:8571]	4404	0.26427170634269714	-0.010765381	No	
row_36	SLC7A1	solute carrier family 7 member 1 [Source:HGNC Symbol;Acc:HGNC:11057]	4577	0.2569611966609955	-0.014320709	No	
row_37	PCYOX1	prenylcysteine oxidase 1 [Source:HGNC Symbol;Acc:HGNC:20588]	4600	0.2563590109348297	-0.012518845	No	
row_38	XPO1	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	4819	0.24736176431179047	-0.017815834	No	
row_39	PARK7	Parkinsonism associated deglycase [Source:HGNC Symbol;Acc:HGNC:16369]	4851	0.24537284672260284	-0.016446695	No	
row_40	SEMA5A	semaphorin 5A [Source:HGNC Symbol;Acc:HGNC:10736]	4941	0.24081523716449738	-0.017197372	No	
row_41	CDCA8	cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]	5377	0.22691772878170013	-0.030459654	No	
row_42	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]	5419	0.22546684741973877	-0.029649058	No	
row_43	MBNL3	muscleblind like splicing regulator 3 [Source:HGNC Symbol;Acc:HGNC:20564]	5823	0.2098032385110855	-0.04193998	No	
row_44	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7432]	5914	0.2052193135023117	-0.04308583	No	
row_45	SNRPB2	small nuclear ribonucleoprotein polypeptide B2 [Source:HGNC Symbol;Acc:HGNC:11155]	6068	0.20161020755767822	-0.04652069	No	
row_46	XRCC5	X-ray repair cross complementing 5 [Source:HGNC Symbol;Acc:HGNC:12833]	6103	0.19988729059696198	-0.04571809	No	
row_47	MME	membrane metalloendopeptidase [Source:HGNC Symbol;Acc:HGNC:7154]	6125	0.19902046024799347	-0.04445942	No	
row_48	CEP55	centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]	6144	0.1982647031545639	-0.043101117	No	
row_49	CAPZA2	capping actin protein of muscle Z-line subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:1490]	6272	0.19279803335666656	-0.045695323	No	
row_50	PABPC4L	poly(A) binding protein cytoplasmic 4 like [Source:HGNC Symbol;Acc:HGNC:31955]	6274	0.19279219210147858	-0.043784443	No	
row_51	ARMC10	armadillo repeat containing 10 [Source:HGNC Symbol;Acc:HGNC:21706]	6689	0.18502968549728394	-0.05671881	No	
row_52	CAPRIN1	cell cycle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6743]	6779	0.18359078466892242	-0.05804729	No	
