NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]	611	0.6340736150741577	0.0326333	No	
row_1	TMEM170B	transmembrane protein 170B [Source:HGNC Symbol;Acc:HGNC:34244]	2089	0.40093696117401123	0.014798323	No	
row_2	SLC22A15	solute carrier family 22 member 15 [Source:HGNC Symbol;Acc:HGNC:20301]	2224	0.3892546594142914	0.043335497	No	
row_3	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	4651	0.25433140993118286	-0.020500865	No	
row_4	ZNF275	zinc finger protein 275 [Source:HGNC Symbol;Acc:HGNC:13069]	5660	0.21535806357860565	-0.037651807	No	
row_5	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	6834	0.18116912245750427	-0.06354426	No	
row_6	BRSK1	BR serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:18994]	7027	0.17695029079914093	-0.055195272	No	
row_7	APH1B	aph-1 homolog B, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:24080]	7530	0.16540266573429108	-0.058767445	No	
row_8	MTDH	metadherin [Source:HGNC Symbol;Acc:HGNC:29608]	7988	0.1519804298877716	-0.061899364	No	
row_9	AIG1	androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:21607]	8771	0.12131761759519577	-0.079115	No	
row_10	ITSN1	intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183]	9036	0.11129254102706909	-0.07891638	No	
row_11	ANKRD36BP2	ankyrin repeat domain 36B pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:33607]	10542	0.06131826713681221	-0.12676099	No	
row_12	RAPGEF2	Rap guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:16854]	11401	0.03403277322649956	-0.15411621	No	
row_13	ENAH	ENAH actin regulator [Source:HGNC Symbol;Acc:HGNC:18271]	11576	0.029492773115634918	-0.15773326	No	
row_14	TMEM52B	transmembrane protein 52B [Source:HGNC Symbol;Acc:HGNC:26438]	11755	0.023718535900115967	-0.16198485	No	
row_15	SEC62	SEC62 homolog, preprotein translocation factor [Source:HGNC Symbol;Acc:HGNC:11846]	13518	-0.026460424065589905	-0.22187316	No	
row_16	NRG3	neuregulin 3 [Source:HGNC Symbol;Acc:HGNC:7999]	13664	-0.030381163582205772	-0.2243914	No	
row_17	AMIGO2	adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]	13724	-0.03206784650683403	-0.22373211	No	
row_18	CHST11	carbohydrate sulfotransferase 11 [Source:HGNC Symbol;Acc:HGNC:17422]	14782	-0.06126205995678902	-0.25577962	No	
row_19	CREB3L2	cAMP responsive element binding protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:23720]	14871	-0.0639364942908287	-0.2534199	No	
row_20	SCAPER	S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081]	15014	-0.06776303052902222	-0.25263786	No	
row_21	TRANK1	tetratricopeptide repeat and ankyrin repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:29011]	16488	-0.10822257399559021	-0.29534557	No	
row_22	STXBP6	syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]	17552	-0.1373610496520996	-0.3211017	No	
row_23	MOB1B	MOB kinase activator 1B [Source:HGNC Symbol;Acc:HGNC:29801]	17758	-0.14366097748279572	-0.31605598	No	
row_24	ARMC2	armadillo repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:23045]	17984	-0.1500236541032791	-0.31117198	No	
row_25	ENSG00000279249	novel transcript, antisense to CBLN1	19031	-0.18155905604362488	-0.33255154	No	
row_26	RAD17	RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807]	20322	-0.19976501166820526	-0.36098173	No	
row_27	GLCCI1	glucocorticoid induced 1 [Source:HGNC Symbol;Acc:HGNC:18713]	20424	-0.20277222990989685	-0.34721637	No	
row_28	SYNGR1	synaptogyrin 1 [Source:HGNC Symbol;Acc:HGNC:11498]	21634	-0.23376086354255676	-0.3698844	No	
row_29	CCDC110	coiled-coil domain containing 110 [Source:HGNC Symbol;Acc:HGNC:28504]	22648	-0.25973817706108093	-0.38341922	Yes	
row_30	SLC12A8	solute carrier family 12 member 8 [Source:HGNC Symbol;Acc:HGNC:15595]	23062	-0.27130213379859924	-0.3748026	Yes	
row_31	DOCK9	dedicator of cytokinesis 9 [Source:HGNC Symbol;Acc:HGNC:14132]	23264	-0.2775554358959198	-0.35817385	Yes	
row_32	FAM3C	FAM3 metabolism regulating signaling molecule C [Source:HGNC Symbol;Acc:HGNC:18664]	23889	-0.3006898760795593	-0.35448828	Yes	
row_33	MOXD1	monooxygenase DBH like 1 [Source:HGNC Symbol;Acc:HGNC:21063]	24334	-0.3188510239124298	-0.3429018	Yes	
row_34	CAMK1D	calcium/calmodulin dependent protein kinase ID [Source:HGNC Symbol;Acc:HGNC:19341]	25096	-0.348421186208725	-0.33996966	Yes	
row_35	PTCH1	patched 1 [Source:HGNC Symbol;Acc:HGNC:9585]	25443	-0.36341363191604614	-0.3211184	Yes	
row_36	RGCC	regulator of cell cycle [Source:HGNC Symbol;Acc:HGNC:20369]	27111	-0.4805823564529419	-0.33884904	Yes	
row_37	KLHL42	kelch like family member 42 [Source:HGNC Symbol;Acc:HGNC:29252]	27313	-0.5000120401382446	-0.30321035	Yes	
row_38	STRBP	spermatid perinuclear RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16462]	27754	-0.5711501240730286	-0.2699226	Yes	
