NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
ABBUD_LIF_SIGNALING_1_DN	28	23		
ABBUD_LIF_SIGNALING_1_UP	43	40		
ABBUD_LIF_SIGNALING_2_DN	7		Rejected!	
ABBUD_LIF_SIGNALING_2_UP	13		Rejected!	
ABDELMOHSEN_ELAVL4_TARGETS	16	16		
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	13		Rejected!	
ABE_INNER_EAR	43	34		
ABE_VEGFA_TARGETS	19	17		
ABE_VEGFA_TARGETS_2HR	35	33		
ABE_VEGFA_TARGETS_30MIN	29	26		
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	20	20		
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	26	26		
ABRAMSON_INTERACT_WITH_AIRE	44	44		
ACEVEDO_LIVER_CANCER_DN	540	499		
ACEVEDO_LIVER_CANCER_UP	972		Rejected!	
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	222	185		
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	290	246		
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	119	113		
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	139	109		
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	274	250		
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	863		Rejected!	
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	873		Rejected!	
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	354	330		
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	173	159		
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	116	114		
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	84	82		
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	74	74		
AFFAR_YY1_TARGETS_DN	260	233		
AFFAR_YY1_TARGETS_UP	199	181		
AGARWAL_AKT_PATHWAY_TARGETS	11		Rejected!	
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN	237	232		
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP	303	290		
AIGNER_ZEB1_TARGETS	35	31		
AIYAR_COBRA1_TARGETS_DN	29	28		
AIYAR_COBRA1_TARGETS_UP	40	37		
AKL_HTLV1_INFECTION_DN	69	69		
AKL_HTLV1_INFECTION_UP	27	27		
ALCALAY_AML_BY_NPM1_LOCALIZATION_DN	186	184		
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	140	136		
ALCALA_APOPTOSIS	87	85		
ALFANO_MYC_TARGETS	239	230		
ALONSO_METASTASIS_DN	26	25		
ALONSO_METASTASIS_EMT_DN	5		Rejected!	
ALONSO_METASTASIS_EMT_UP	35	32		
ALONSO_METASTASIS_NEURAL_UP	18	17		
ALONSO_METASTASIS_UP	194	180		
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	125	120		
AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53	107	106		
AMIT_DELAYED_EARLY_GENES	18	18		
AMIT_EGF_RESPONSE_120_HELA	68	67		
AMIT_EGF_RESPONSE_120_MCF10A	41	41		
AMIT_EGF_RESPONSE_20_HELA	12		Rejected!	
AMIT_EGF_RESPONSE_20_MCF10A	12		Rejected!	
AMIT_EGF_RESPONSE_240_HELA	59	58		
AMIT_EGF_RESPONSE_240_MCF10A	21	21		
AMIT_EGF_RESPONSE_40_HELA	42	42		
AMIT_EGF_RESPONSE_40_MCF10A	17	17		
AMIT_EGF_RESPONSE_480_HELA	164	162		
AMIT_EGF_RESPONSE_480_MCF10A	43	40		
AMIT_EGF_RESPONSE_60_HELA	47	45		
AMIT_EGF_RESPONSE_60_MCF10A	39	39		
AMIT_SERUM_RESPONSE_120_MCF10A	65	63		
AMIT_SERUM_RESPONSE_20_MCF10A	17	16		
AMIT_SERUM_RESPONSE_240_MCF10A	57	52		
AMIT_SERUM_RESPONSE_40_MCF10A	32	32		
AMIT_SERUM_RESPONSE_480_MCF10A	39	34		
AMIT_SERUM_RESPONSE_60_MCF10A	58	56		
AMUNDSON_DNA_DAMAGE_RESPONSE_TP53	16	16		
AMUNDSON_RESPONSE_TO_ARSENITE	219	211		
ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	64	56		
ANDERSEN_CHOLANGIOCARCINOMA_CLASS1	63	55		
ANDERSEN_CHOLANGIOCARCINOMA_CLASS2	175	159		
ANDERSEN_LIVER_CANCER_KRT19_DN	75	66		
ANDERSEN_LIVER_CANCER_KRT19_UP	35	22		
APPEL_IMATINIB_RESPONSE	33	33		
APPIERTO_RESPONSE_TO_FENRETINIDE_DN	51	51		
APPIERTO_RESPONSE_TO_FENRETINIDE_UP	38	35		
APRELIKOVA_BRCA1_TARGETS	48	47		
ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	43	42		
ASTIER_INTEGRIN_SIGNALING	58	51		
ASTON_MAJOR_DEPRESSIVE_DISORDER_DN	160	156		
ASTON_MAJOR_DEPRESSIVE_DISORDER_UP	49	48		
AUJLA_IL22_AND_IL17A_SIGNALING	11		Rejected!	
AUNG_GASTRIC_CANCER	52	47		
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN	18	17		
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP	126	117		
AZARE_STAT3_TARGETS	24	22		
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN	52	50		
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP	25	22		
BAELDE_DIABETIC_NEPHROPATHY_DN	437	430		
BAELDE_DIABETIC_NEPHROPATHY_UP	89	85		
BAE_BRCA1_TARGETS_DN	30	29		
BAE_BRCA1_TARGETS_UP	71	70		
BAFNA_MUC4_TARGETS_UP	5		Rejected!	
BAKER_HEMATOPOESIS_STAT1_TARGETS	10		Rejected!	
BAKER_HEMATOPOESIS_STAT5_TARGETS	7		Rejected!	
BAKER_HEMATOPOIESIS_STAT3_TARGETS	15	15		
BAKKER_FOXO3_TARGETS_DN	176	166		
BAKKER_FOXO3_TARGETS_UP	55	54		
BALDWIN_PRKCI_TARGETS_UP	40	39		
BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION	13		Rejected!	
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN	33	31		
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP	9		Rejected!	
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN	160	143		
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP	19	17		
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN	9		Rejected!	
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP	14		Rejected!	
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN	32	31		
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP	18	16		
BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN	20	17		
BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP	20	19		
BARIS_THYROID_CANCER_DN	59	58		
BARIS_THYROID_CANCER_UP	24	24		
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN	31	31		
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP	33	31		
BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN	12		Rejected!	
BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP	16		Rejected!	
BARRIER_COLON_CANCER_RECURRENCE_DN	19	19		
BARRIER_COLON_CANCER_RECURRENCE_UP	42	42		
BASAKI_YBX1_TARGETS_DN	398	390		
BASAKI_YBX1_TARGETS_UP	294	287		
BASSO_B_LYMPHOCYTE_NETWORK	146	141		
BASSO_CD40_SIGNALING_DN	71	71		
BASSO_CD40_SIGNALING_UP	103	102		
BASSO_HAIRY_CELL_LEUKEMIA_DN	6		Rejected!	
BASSO_HAIRY_CELL_LEUKEMIA_UP	79	77		
BAUS_TFF2_TARGETS_DN	12		Rejected!	
BAUS_TFF2_TARGETS_UP	32	27		
BECKER_TAMOXIFEN_RESISTANCE_DN	54	52		
BECKER_TAMOXIFEN_RESISTANCE_UP	54	50		
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3	7		Rejected!	
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN	46	42		
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP	59	59		
BEIER_GLIOMA_STEM_CELL_DN	67	66		
BEIER_GLIOMA_STEM_CELL_UP	40	35		
BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE	48	48		
BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS	29	28		
BENPORATH_CYCLING_GENES	648		Rejected!	
BENPORATH_EED_TARGETS	1059		Rejected!	
BENPORATH_ES_1	379	364		
BENPORATH_ES_2	40	39		
BENPORATH_ES_CORE_NINE	9		Rejected!	
BENPORATH_ES_CORE_NINE_CORRELATED	100	95		
BENPORATH_ES_WITH_H3K27ME3	1115		Rejected!	
BENPORATH_MYC_MAX_TARGETS	775		Rejected!	
BENPORATH_MYC_TARGETS_WITH_EBOX	230	213		
BENPORATH_NANOG_TARGETS	988		Rejected!	
BENPORATH_NOS_TARGETS	179	166		
BENPORATH_OCT4_TARGETS	290	274		
BENPORATH_PRC2_TARGETS	650		Rejected!	
BENPORATH_PROLIFERATION	147	145		
BENPORATH_SOX2_TARGETS	734		Rejected!	
BENPORATH_SUZ12_TARGETS	1035		Rejected!	
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	48	48		
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP	29	26		
BERENJENO_TRANSFORMED_BY_RHOA_DN	398	386		
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN	29	27		
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP	20	18		
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN	30	29		
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP	8		Rejected!	
BERENJENO_TRANSFORMED_BY_RHOA_UP	549		Rejected!	
BERGER_MBD2_TARGETS	5		Rejected!	
BERNARD_PPAPDC1B_TARGETS_DN	59	57		
BERNARD_PPAPDC1B_TARGETS_UP	37	37		
BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN	46	41		
BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP	24	24		
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	180	175		
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP	207	206		
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN	126	113		
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP	122	118		
BHATTACHARYA_EMBRYONIC_STEM_CELL	84	75		
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	88	87		
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP	211	204		
BHAT_ESR1_TARGETS_VIA_AKT1_DN	82	80		
BHAT_ESR1_TARGETS_VIA_AKT1_UP	281	270		
BIDUS_METASTASIS_DN	154	150		
BIDUS_METASTASIS_UP	221	218		
BILANGES_RAPAMYCIN_SENSITIVE_GENES	37	30		
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2	69	60		
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	69	28		
BILANGES_SERUM_RESPONSE_TRANSLATION	34	19		
BILANGES_SERUM_SENSITIVE_GENES	80	71		
BILANGES_SERUM_SENSITIVE_VIA_TSC1	21	18		
BILANGES_SERUM_SENSITIVE_VIA_TSC2	32	30		
BILBAN_B_CLL_LPL_DN	41	41		
BILBAN_B_CLL_LPL_UP	64	64		
BILD_CTNNB1_ONCOGENIC_SIGNATURE	79	76		
BILD_E2F3_ONCOGENIC_SIGNATURE	248	242		
BILD_HRAS_ONCOGENIC_SIGNATURE	251	243		
BILD_MYC_ONCOGENIC_SIGNATURE	210	207		
BILD_SRC_ONCOGENIC_SIGNATURE	59	59		
BLALOCK_ALZHEIMERS_DISEASE_DN	1248		Rejected!	
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_DN	166	154		
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_UP	389	375		
BLALOCK_ALZHEIMERS_DISEASE_UP	1671		Rejected!	
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN	216	180		
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP	378	368		
