NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	2680	0.35354283452033997	-0.0022779952	No	
row_1	IKBKG	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma [Source:HGNC Symbol;Acc:HGNC:5961]	2927	0.3358449339866638	0.076598346	No	
row_2	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	4691	0.25232237577438354	0.080247834	No	
row_3	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	6769	0.18383173644542694	0.054979347	No	
row_4	PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	9779	0.08694637566804886	-0.028385445	No	
row_5	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	10238	0.07086820900440216	-0.02605092	No	
row_6	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	11137	0.042079437524080276	-0.046725187	No	
row_7	ACP1	acid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:122]	13646	-0.029939526692032814	-0.12729606	No	
row_8	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	16333	-0.10414043813943863	-0.19479722	No	
row_9	PRKD1	protein kinase D1 [Source:HGNC Symbol;Acc:HGNC:9407]	17979	-0.14985418319702148	-0.21370012	No	
row_10	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]	25088	-0.3480837643146515	-0.373432	Yes	
row_11	PRKD3	protein kinase D3 [Source:HGNC Symbol;Acc:HGNC:9408]	25685	-0.37572038173675537	-0.2964944	Yes	
row_12	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	26010	-0.3945258557796478	-0.2050702	Yes	
row_13	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	27587	-0.5413040518760681	-0.11950245	Yes	
row_14	PRKD2	protein kinase D2 [Source:HGNC Symbol;Acc:HGNC:17293]	27728	-0.567262589931488	0.023432704	Yes	
