NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMED10	transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]	155	0.8770589232444763	0.14951198	Yes	
row_1	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]	416	0.7029261589050293	0.26455396	Yes	
row_2	COPG2	COPI coat complex subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:2237]	420	0.7015501856803894	0.3884113	Yes	
row_3	TMED1	transmembrane p24 trafficking protein 1 [Source:HGNC Symbol;Acc:HGNC:17291]	1621	0.4450644850730896	0.424757	Yes	
row_4	COPB2	COPI coat complex subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:2232]	1843	0.4238217771053314	0.4918562	Yes	
row_5	COPE	COPI coat complex subunit epsilon [Source:HGNC Symbol;Acc:HGNC:2234]	3179	0.3216260075569153	0.50163203	Yes	
row_6	TMED4	transmembrane p24 trafficking protein 4 [Source:HGNC Symbol;Acc:HGNC:22301]	3515	0.30614137649536133	0.543919	Yes	
row_7	ARF1	ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]	4120	0.27681827545166016	0.57154316	Yes	
row_8	TMED7	transmembrane p24 trafficking protein 7 [Source:HGNC Symbol;Acc:HGNC:24253]	4205	0.2724757194519043	0.61672854	Yes	
row_9	COPG1	COPI coat complex subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:2236]	4761	0.24916820228099823	0.64119405	Yes	
row_10	COPB1	COPI coat complex subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2231]	8080	0.14805260300636292	0.55040437	No	
row_11	GBF1	golgi brefeldin A resistant guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4181]	8466	0.13302955031394958	0.56034034	No	
row_12	COPA	COPI coat complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:2230]	9781	0.0868772342801094	0.52937657	No	
row_13	ARCN1	archain 1 [Source:HGNC Symbol;Acc:HGNC:649]	10739	0.05466494709253311	0.50530416	No	
row_14	COPZ2	COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]	11569	0.029800258576869965	0.48134986	No	
row_15	COPZ1	COPI coat complex subunit zeta 1 [Source:HGNC Symbol;Acc:HGNC:2243]	11700	0.025532076135277748	0.4812792	No	
row_16	TMED9	transmembrane p24 trafficking protein 9 [Source:HGNC Symbol;Acc:HGNC:24878]	11705	0.025318393483757973	0.48561195	No	
row_17	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2 [Source:HGNC Symbol;Acc:HGNC:6305]	12591	-3.1797547126188874E-4	0.4544743	No	
row_18	TMED3	transmembrane p24 trafficking protein 3 [Source:HGNC Symbol;Acc:HGNC:28889]	12965	-0.010593682527542114	0.44319898	No	
row_19	KDELR1	KDEL endoplasmic reticulum protein retention receptor 1 [Source:HGNC Symbol;Acc:HGNC:6304]	14291	-0.046952832490205765	0.40479285	No	
row_20	TMED5	transmembrane p24 trafficking protein 5 [Source:HGNC Symbol;Acc:HGNC:24251]	15664	-0.08679857105016708	0.37177083	No	
row_21	TMED6	transmembrane p24 trafficking protein 6 [Source:HGNC Symbol;Acc:HGNC:28331]	17734	-0.14294664561748505	0.32410276	No	
row_22	TMED2	transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]	23667	-0.29180988669395447	0.16657849	No	
