NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RFC2	replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]	1842	0.4239417314529419	-0.0044341395	No	
row_1	RFC5	replication factor C subunit 5 [Source:HGNC Symbol;Acc:HGNC:9973]	3082	0.3267953097820282	-0.0014735444	No	
row_2	POLD3	DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]	3460	0.3090347349643707	0.029345725	No	
row_3	RAD51	RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]	4284	0.2686149477958679	0.038669582	No	
row_4	RFC3	replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]	6020	0.20346492528915405	0.006536974	No	
row_5	POLE4	DNA polymerase epsilon 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:18755]	8366	0.1369059979915619	-0.056604784	No	
row_6	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	8665	0.12546275556087494	-0.049203392	No	
row_7	POLD4	DNA polymerase delta 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:14106]	9114	0.10909655690193176	-0.049427096	No	
row_8	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	10056	0.0773475170135498	-0.07156574	No	
row_9	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	11537	0.030473334714770317	-0.119400255	No	
row_10	POLD2	DNA polymerase delta 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9176]	11568	0.02983148954808712	-0.11619984	No	
row_11	PALB2	partner and localizer of BRCA2 [Source:HGNC Symbol;Acc:HGNC:26144]	11937	0.01866813562810421	-0.1265107	No	
row_12	XRCC2	X-ray repair cross complementing 2 [Source:HGNC Symbol;Acc:HGNC:12829]	12146	0.012691125273704529	-0.13203315	No	
row_13	RAD51C	RAD51 paralog C [Source:HGNC Symbol;Acc:HGNC:9820]	12964	-0.010539514012634754	-0.15933588	No	
row_14	POLD1	DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]	13695	-0.031244026497006416	-0.18061563	No	
row_15	BARD1	BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]	13873	-0.03610628843307495	-0.18170272	No	
row_16	RAD54B	RAD54 homolog B [Source:HGNC Symbol;Acc:HGNC:17228]	14752	-0.06053950637578964	-0.2040192	No	
row_17	RPA4	replication protein A4 [Source:HGNC Symbol;Acc:HGNC:30305]	15136	-0.07103405147790909	-0.20738414	No	
row_18	RAD51B	RAD51 paralog B [Source:HGNC Symbol;Acc:HGNC:9822]	16571	-0.1107591837644577	-0.24213657	No	
row_19	POLE2	DNA polymerase epsilon 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9178]	18253	-0.1577434241771698	-0.2788915	No	
row_20	SEM1	SEM1 26S proteasome subunit [Source:HGNC Symbol;Acc:HGNC:10845]	18966	-0.1793002486228943	-0.27840278	No	
row_21	POLE	DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]	20874	-0.2147350311279297	-0.31499133	No	
row_22	BRCA2	BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]	22004	-0.2410077005624771	-0.32039765	Yes	
row_23	POLE3	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	22654	-0.2600599229335785	-0.30615976	Yes	
row_24	POLH	DNA polymerase eta [Source:HGNC Symbol;Acc:HGNC:9181]	23457	-0.2838205397129059	-0.293925	Yes	
row_25	RAD54L	RAD54 like [Source:HGNC Symbol;Acc:HGNC:9826]	23941	-0.3026101887226105	-0.2677603	Yes	
row_26	XRCC3	X-ray repair cross complementing 3 [Source:HGNC Symbol;Acc:HGNC:12830]	24710	-0.33398139476776123	-0.24716663	Yes	
row_27	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	24938	-0.3425329029560089	-0.20627682	Yes	
row_28	POLK	DNA polymerase kappa [Source:HGNC Symbol;Acc:HGNC:9183]	26152	-0.40302029252052307	-0.19151898	Yes	
row_29	RPA3	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	26813	-0.4528713524341583	-0.15014671	Yes	
row_30	RPA1	replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289]	27006	-0.4695485234260559	-0.089892365	Yes	
row_31	RFC1	replication factor C subunit 1 [Source:HGNC Symbol;Acc:HGNC:9969]	27029	-0.47123706340789795	-0.02340286	Yes	
row_32	RAD51D	RAD51 paralog D [Source:HGNC Symbol;Acc:HGNC:9823]	27320	-0.5006368160247803	0.037833627	Yes	
