NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JAK3	Janus kinase 3 [Source:HGNC Symbol;Acc:HGNC:6193]	71	1.007816195487976	0.14010294	Yes	
row_1	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	108	0.9266418814659119	0.26995325	Yes	
row_2	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	125	0.9064008593559265	0.39764434	Yes	
row_3	IRF9	interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]	306	0.7551245093345642	0.49815023	Yes	
row_4	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	1088	0.5239503383636475	0.5447645	Yes	
row_5	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	2277	0.3846098482608795	0.5573187	Yes	
row_6	STAT5A	signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]	2671	0.35415881872177124	0.5935816	Yes	
row_7	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	3029	0.32965970039367676	0.6276467	Yes	
row_8	JAK1	Janus kinase 1 [Source:HGNC Symbol;Acc:HGNC:6190]	4183	0.2735815644264221	0.6257239	No	
row_9	RIPK1	receptor interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:10019]	6398	0.19120380282402039	0.5747526	No	
row_10	IFNAR2	interferon alpha and beta receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:5433]	8478	0.13254795968532562	0.52023935	No	
row_11	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	9461	0.09769699722528458	0.49945545	No	
row_12	TYK2	tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12440]	10143	0.07421412318944931	0.4859567	No	
row_13	STAT6	signal transducer and activator of transcription 6 [Source:HGNC Symbol;Acc:HGNC:11368]	10293	0.06925887614488602	0.49050567	No	
row_14	RIPK3	receptor interacting serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:10021]	13312	-0.02007542923092842	0.3869851	No	
row_15	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	18726	-0.17267480492591858	0.22065191	No	
row_16	IFNA5	interferon alpha 5 [Source:HGNC Symbol;Acc:HGNC:5426]	20133	-0.1953880339860916	0.1987485	No	
row_17	STAT4	signal transducer and activator of transcription 4 [Source:HGNC Symbol;Acc:HGNC:11365]	24202	-0.31363385915756226	0.099761784	No	
row_18	IFNG	interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]	24838	-0.3385423719882965	0.1252864	No	
