NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	8249	0.1409749835729599	-0.23468666	No	
row_1	PPP3R1	protein phosphatase 3 regulatory subunit B, alpha [Source:HGNC Symbol;Acc:HGNC:9317]	9749	0.08772221207618713	-0.25266537	No	
row_2	PPP3CC	protein phosphatase 3 catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9316]	10529	0.06196954473853111	-0.25550148	No	
row_3	CALM1	calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]	10582	0.060202185064554214	-0.23342115	No	
row_4	CALM3	calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449]	12319	0.007046626880764961	-0.29179633	No	
row_5	GNAQ	G protein subunit alpha q [Source:HGNC Symbol;Acc:HGNC:4390]	12674	-0.0026761656627058983	-0.30320778	No	
row_6	CCR5	C-C motif chemokine receptor 5 [Source:HGNC Symbol;Acc:HGNC:1606]	15227	-0.07396208494901657	-0.36375836	No	
row_7	NFATC1	nuclear factor of activated T cells 1 [Source:HGNC Symbol;Acc:HGNC:7775]	17423	-0.1343647688627243	-0.38773635	Yes	
row_8	PLCG2	phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]	17987	-0.15020869672298431	-0.34791172	Yes	
row_9	PLCG1	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]	18031	-0.15158502757549286	-0.2892163	Yes	
row_10	NFATC2	nuclear factor of activated T cells 2 [Source:HGNC Symbol;Acc:HGNC:7776]	20493	-0.2048807144165039	-0.29455835	Yes	
row_11	NFATC3	nuclear factor of activated T cells 3 [Source:HGNC Symbol;Acc:HGNC:7777]	21019	-0.2183452695608139	-0.2263303	Yes	
row_12	PPP3CA	protein phosphatase 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9314]	22263	-0.24748671054840088	-0.17182836	Yes	
row_13	PPP3CB	protein phosphatase 3 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9315]	22918	-0.2676730155944824	-0.08855275	Yes	
row_14	CALM2	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]	24007	-0.30567148327827454	-0.0054774247	Yes	
row_15	NFATC4	nuclear factor of activated T cells 4 [Source:HGNC Symbol;Acc:HGNC:7778]	26148	-0.40280890464782715	0.0791106	Yes	
