NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAD2L1	mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]	1395	0.4748939573764801	0.090044424	No	
row_1	ANAPC11	anaphase promoting complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:14452]	4935	0.24101164937019348	0.035977624	No	
row_2	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]	5419	0.22546684741973877	0.08504707	No	
row_3	CDC16	cell division cycle 16 [Source:HGNC Symbol;Acc:HGNC:1720]	9086	0.10975022614002228	-0.011971364	No	
row_4	CDC26	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	9269	0.10464988648891449	0.012290634	No	
row_5	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	10790	0.052714839577674866	-0.02582176	No	
row_6	TRIP13	thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:HGNC:12307]	10839	0.05122315138578415	-0.012498414	No	
row_7	ANAPC2	anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]	12556	7.047143299132586E-4	-0.07276335	No	
row_8	BUB3	BUB3 mitotic checkpoint protein [Source:HGNC Symbol;Acc:HGNC:1151]	13139	-0.015543395653367043	-0.08871674	No	
row_9	MAD2L1BP	MAD2L1 binding protein [Source:HGNC Symbol;Acc:HGNC:21059]	16099	-0.09809688478708267	-0.16423655	No	
row_10	ANAPC1	anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988]	16118	-0.09859858453273773	-0.13596901	No	
row_11	ANAPC10	anaphase promoting complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:24077]	16235	-0.10153190046548843	-0.11029515	No	
row_12	ANAPC5	anaphase promoting complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:15713]	23720	-0.29363712668418884	-0.28795707	Yes	
row_13	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	24935	-0.3424839973449707	-0.2303471	Yes	
row_14	ANAPC4	anaphase promoting complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:19990]	25487	-0.3654310703277588	-0.14264674	Yes	
row_15	ANAPC7	anaphase promoting complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:17380]	25651	-0.37406349182128906	-0.038742956	Yes	
row_16	CDC23	cell division cycle 23 [Source:HGNC Symbol;Acc:HGNC:1724]	26926	-0.4616963863372803	0.05169692	Yes	
