NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BABAM2	BRISC and BRCA1 A complex member 2 [Source:HGNC Symbol;Acc:HGNC:1106]	7118	0.17273584008216858	-0.20754719	No	
row_1	BABAM1	BRISC and BRCA1 A complex member 1 [Source:HGNC Symbol;Acc:HGNC:25008]	7874	0.15674656629562378	-0.1948635	No	
row_2	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	11537	0.030473334714770317	-0.31627765	No	
row_3	BLM	BLM RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:1058]	12029	0.01599782705307007	-0.32957095	No	
row_4	RBBP8	RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]	13178	-0.016424324363470078	-0.36591068	No	
row_5	BARD1	BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]	13873	-0.03610628843307495	-0.38131744	No	
row_6	RPA4	replication protein A4 [Source:HGNC Symbol;Acc:HGNC:30305]	15136	-0.07103405147790909	-0.407986	No	
row_7	ABRAXAS1	abraxas 1, BRCA1 A complex subunit [Source:HGNC Symbol;Acc:HGNC:25829]	16853	-0.11826543509960175	-0.4388148	No	
row_8	NBN	nibrin [Source:HGNC Symbol;Acc:HGNC:7652]	17067	-0.12432944029569626	-0.41515625	No	
row_9	UIMC1	ubiquitin interaction motif containing 1 [Source:HGNC Symbol;Acc:HGNC:30298]	17270	-0.1303095668554306	-0.38961107	No	
row_10	BRCC3	BRCA1/BRCA2-containing complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:24185]	17629	-0.13965946435928345	-0.3672198	No	
row_11	DNA2	DNA replication helicase/nuclease 2 [Source:HGNC Symbol;Acc:HGNC:2939]	18469	-0.16406431794166565	-0.35566208	No	
row_12	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	24938	-0.3425329029560089	-0.4977406	Yes	
row_13	MRE11	MRE11 homolog, double strand break repair nuclease [Source:HGNC Symbol;Acc:HGNC:7230]	26379	-0.41900232434272766	-0.44345903	Yes	
row_14	RAD50	RAD50 double strand break repair protein [Source:HGNC Symbol;Acc:HGNC:9816]	26392	-0.4200751483440399	-0.33858433	Yes	
row_15	RPA3	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	26813	-0.4528713524341583	-0.23986717	Yes	
row_16	RPA1	replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289]	27006	-0.4695485234260559	-0.12893467	Yes	
row_17	WRN	WRN RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:12791]	28181	-0.7092322707176208	0.0074711344	Yes	
