NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	687	0.6096276640892029	0.06974271	Yes	
row_1	ELMO2	engulfment and cell motility 2 [Source:HGNC Symbol;Acc:HGNC:17233]	1313	0.48734399676322937	0.12282356	Yes	
row_2	ITGB6	integrin subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:6161]	1398	0.4745938181877136	0.19301136	Yes	
row_3	RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]	1502	0.4596714377403259	0.26022935	Yes	
row_4	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	1599	0.4478079080581665	0.3258656	Yes	
row_5	ITGA9	integrin subunit alpha 9 [Source:HGNC Symbol;Acc:HGNC:6145]	2492	0.3667251467704773	0.35094282	Yes	
row_6	RAC3	Rac family small GTPase 3 [Source:HGNC Symbol;Acc:HGNC:9803]	3008	0.3310215175151825	0.38380757	Yes	
row_7	ITGA7	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	3032	0.3294038772583008	0.43376774	Yes	
row_8	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	4387	0.26486364006996155	0.42685795	Yes	
row_9	ITGB8	integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]	4739	0.2501594126224518	0.45304102	Yes	
row_10	ITGA1	integrin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6134]	4903	0.24318435788154602	0.48477668	Yes	
row_11	DOCK1	dedicator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:2987]	6436	0.18948303163051605	0.45997334	No	
row_12	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	6969	0.17908506095409393	0.46882087	No	
row_13	RHOG	ras homolog family member G [Source:HGNC Symbol;Acc:HGNC:672]	7506	0.16651523113250732	0.47558996	No	
row_14	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	8413	0.13509203493595123	0.46447206	No	
row_15	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	8586	0.1284467577934265	0.47820595	No	
row_16	ITGB5	integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	10217	0.07177706062793732	0.43180576	No	
row_17	ELMO3	engulfment and cell motility 3 [Source:HGNC Symbol;Acc:HGNC:17289]	10458	0.06402295082807541	0.4332128	No	
row_18	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	13476	-0.025120213627815247	0.33072484	No	
row_19	ITGA10	integrin subunit alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135]	13668	-0.03047470562160015	0.32868847	No	
row_20	ITGB7	integrin subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:6162]	14185	-0.04405485466122627	0.31728786	No	
row_21	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	14292	-0.04696471616625786	0.32078966	No	
row_22	ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	15087	-0.06981054693460464	0.3035583	No	
row_23	ELMO1	engulfment and cell motility 1 [Source:HGNC Symbol;Acc:HGNC:16286]	18695	-0.17190465331077576	0.20289466	No	
row_24	ITGA8	integrin subunit alpha 8 [Source:HGNC Symbol;Acc:HGNC:6144]	19796	-0.19220636785030365	0.19374058	No	
row_25	ITGA11	integrin subunit alpha 11 [Source:HGNC Symbol;Acc:HGNC:6136]	20042	-0.1953880339860916	0.21521862	No	
row_26	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	20203	-0.19560682773590088	0.23972692	No	
row_27	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	24299	-0.31767913699150085	0.14432779	No	
