NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	2136	0.3971574008464813	-0.024176395	No	
row_1	ORC1	origin recognition complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:8487]	4402	0.26436319947242737	-0.06999369	No	
row_2	TICRR	TOPBP1 interacting checkpoint and replication regulator [Source:HGNC Symbol;Acc:HGNC:28704]	4787	0.24797512590885162	-0.051611017	No	
row_3	CDT1	chromatin licensing and DNA replication factor 1 [Source:HGNC Symbol;Acc:HGNC:24576]	6195	0.1963227540254593	-0.07594011	No	
row_4	CDC45	cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739]	7000	0.1778114289045334	-0.081394896	No	
row_5	POLE4	DNA polymerase epsilon 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:18755]	8366	0.1369059979915619	-0.11189156	No	
row_6	GINS1	GINS complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28980]	10745	0.054606083780527115	-0.18869242	No	
row_7	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	14323	-0.048213157802820206	-0.30858362	No	
row_8	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	15599	-0.08515061438083649	-0.34256956	No	
row_9	MCM3	minichromosome maintenance complex component 3 [Source:HGNC Symbol;Acc:HGNC:6945]	15969	-0.09472762793302536	-0.34338424	No	
row_10	GINS2	GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]	16795	-0.11670062690973282	-0.35744554	No	
row_11	POLE2	DNA polymerase epsilon 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9178]	18253	-0.1577434241771698	-0.3885032	No	
row_12	MTBP	MDM2 binding protein [Source:HGNC Symbol;Acc:HGNC:7417]	19664	-0.18853139877319336	-0.41394097	No	
row_13	POLE	DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]	20874	-0.2147350311279297	-0.42892006	No	
row_14	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	21920	-0.23947787284851074	-0.4349329	Yes	
row_15	GINS3	GINS complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:25851]	22319	-0.24943499267101288	-0.41685584	Yes	
row_16	POLE3	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	22654	-0.2600599229335785	-0.395155	Yes	
row_17	ORC6	origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]	23632	-0.290846586227417	-0.39215848	Yes	
row_18	ORC4	origin recognition complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:8490]	24628	-0.3299519419670105	-0.3847628	Yes	
row_19	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	25852	-0.38510531187057495	-0.37830526	Yes	
row_20	ORC5	origin recognition complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:8491]	25932	-0.3900863528251648	-0.33087802	Yes	
row_21	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	25963	-0.39177873730659485	-0.28150555	Yes	
row_22	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	26224	-0.4071452021598816	-0.23826313	Yes	
row_23	GINS4	GINS complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:28226]	27266	-0.4946530759334564	-0.21128863	Yes	
row_24	TOPBP1	DNA topoisomerase II binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17008]	27399	-0.5102137923240662	-0.15026687	Yes	
row_25	ORC3	origin recognition complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:8489]	28012	-0.6354271769523621	-0.090048626	Yes	
row_26	RECQL4	RecQ like helicase 4 [Source:HGNC Symbol;Acc:HGNC:9949]	28285	-0.8036351799964905	0.0038072239	Yes	
