NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CREB5	cAMP responsive element binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16844]	418	0.702613890171051	0.1276644	Yes	
row_1	CREB3	cAMP responsive element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:2347]	476	0.6795247197151184	0.26337317	Yes	
row_2	CREB3L1	cAMP responsive element binding protein 3 like 1 [Source:HGNC Symbol;Acc:HGNC:18856]	551	0.6541159152984619	0.39333323	Yes	
row_3	CREB3L3	cAMP responsive element binding protein 3 like 3 [Source:HGNC Symbol;Acc:HGNC:18855]	2536	0.3644462823867798	0.3972667	Yes	
row_4	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	3761	0.2934187054634094	0.4135921	Yes	
row_5	GNAS	GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]	4023	0.281167596578598	0.4613765	Yes	
row_6	POMC	proopiomelanocortin [Source:HGNC Symbol;Acc:HGNC:9201]	4039	0.28063148260116577	0.5177228	Yes	
row_7	ADCY1	adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]	8982	0.11299622803926468	0.36643767	No	
row_8	ADCY5	adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236]	9077	0.11001019179821014	0.38542008	No	
row_9	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	9143	0.10817286372184753	0.40505224	No	
row_10	PRKACB	protein kinase cAMP-activated catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9381]	10136	0.07454536110162735	0.38519615	No	
row_11	ATF6B	activating transcription factor 6 beta [Source:HGNC Symbol;Acc:HGNC:2349]	10555	0.061062041670084	0.38283864	No	
row_12	ADCY2	adenylate cyclase 2 [Source:HGNC Symbol;Acc:HGNC:233]	10914	0.04886613413691521	0.38012415	No	
row_13	CREB3L4	cAMP responsive element binding protein 3 like 4 [Source:HGNC Symbol;Acc:HGNC:18854]	12105	0.01380055770277977	0.34097832	No	
row_14	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]	14192	-0.04423420876264572	0.27641997	No	
row_15	CREB3L2	cAMP responsive element binding protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:23720]	14871	-0.0639364942908287	0.26548105	No	
row_16	ADCY7	adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]	15236	-0.07454457134008408	0.2677593	No	
row_17	ADCY6	adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]	15979	-0.09497155249118805	0.26085442	No	
row_18	ADCY4	adenylate cyclase 4 [Source:HGNC Symbol;Acc:HGNC:235]	17502	-0.13622638583183289	0.2348187	No	
row_19	ADCY9	adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]	18005	-0.15065716207027435	0.24765855	No	
row_20	CREB1	cAMP responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2345]	22123	-0.2455499768257141	0.1523158	No	
row_21	ATF2	activating transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:784]	24840	-0.3386898338794708	0.12522915	No	
