NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CREB5	cAMP responsive element binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16844]	418	0.702613890171051	0.10941881	Yes	
row_1	CREB3	cAMP responsive element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:2347]	476	0.6795247197151184	0.22748289	Yes	
row_2	CREB3L1	cAMP responsive element binding protein 3 like 1 [Source:HGNC Symbol;Acc:HGNC:18856]	551	0.6541159152984619	0.34045792	Yes	
row_3	RASD1	ras related dexamethasone induced 1 [Source:HGNC Symbol;Acc:HGNC:15828]	2469	0.36842459440231323	0.3379855	Yes	
row_4	CREB3L3	cAMP responsive element binding protein 3 like 3 [Source:HGNC Symbol;Acc:HGNC:18855]	2536	0.3644462823867798	0.40005735	Yes	
row_5	GNAI2	G protein subunit alpha i2 [Source:HGNC Symbol;Acc:HGNC:4385]	3640	0.2990523874759674	0.41402	Yes	
row_6	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	3761	0.2934187054634094	0.46163768	Yes	
row_7	POMC	proopiomelanocortin [Source:HGNC Symbol;Acc:HGNC:9201]	4039	0.28063148260116577	0.5014616	Yes	
row_8	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	8875	0.11724166572093964	0.35174593	No	
row_9	ADCY1	adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]	8982	0.11299622803926468	0.3679761	No	
row_10	ADCY5	adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236]	9077	0.11001019179821014	0.38410163	No	
row_11	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	9143	0.10817286372184753	0.40092474	No	
row_12	PRKACB	protein kinase cAMP-activated catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9381]	10136	0.07454536110162735	0.37912932	No	
row_13	ATF6B	activating transcription factor 6 beta [Source:HGNC Symbol;Acc:HGNC:2349]	10555	0.061062041670084	0.37518468	No	
row_14	ADCY2	adenylate cyclase 2 [Source:HGNC Symbol;Acc:HGNC:233]	10914	0.04886613413691521	0.37120003	No	
row_15	CREB3L4	cAMP responsive element binding protein 3 like 4 [Source:HGNC Symbol;Acc:HGNC:18854]	12105	0.01380055770277977	0.3316914	No	
row_16	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]	14192	-0.04423420876264572	0.26597673	No	
row_17	CREB3L2	cAMP responsive element binding protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:23720]	14871	-0.0639364942908287	0.25337508	No	
row_18	ADCY7	adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]	15236	-0.07454457134008408	0.25371635	No	
row_19	ADCY6	adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]	15979	-0.09497155249118805	0.2443427	No	
row_20	ADCY4	adenylate cyclase 4 [Source:HGNC Symbol;Acc:HGNC:235]	17502	-0.13622638583183289	0.21476404	No	
row_21	ADCY9	adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]	18005	-0.15065716207027435	0.22369008	No	
row_22	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	21118	-0.22151559591293335	0.15313509	No	
row_23	CREB1	cAMP responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2345]	22123	-0.2455499768257141	0.1611335	No	
row_24	ATF2	activating transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:784]	24840	-0.3386898338794708	0.12524232	No	
