NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MEDICUS_REFERENCE_DNA_END_RESECTION_AND_RPA_LOADING	KEGG_MEDICUS_REFERENCE_DNA_END_RESECTION_AND_RPA_LOADING	Details ...	18	-0.5836012	-1.6862491	0.01629328	0.7020687	0.445	3457	tags=33%, list=12%, signal=38%	
KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION	KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION	Details ...	27	-0.46575865	-1.4802653	0.0661157	1.0	0.861	6475	tags=48%, list=23%, signal=62%	
KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY	Details ...	15	-0.46416703	-1.4226915	0.08908686	1.0	0.926	3307	tags=33%, list=12%, signal=38%	
KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_ANAPHASE	KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_ANAPHASE	Details ...	16	-0.4417755	-1.3891803	0.11264822	1.0	0.949	4918	tags=38%, list=17%, signal=45%	
KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CALCINEURIN_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CALCINEURIN_SIGNALING_PATHWAY	Details ...	15	-0.5226498	-1.3864826	0.12210526	1.0	0.952	10972	tags=67%, list=39%, signal=109%	
KEGG_MEDICUS_REFERENCE_CXCR4_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CXCR4_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY	Details ...	20	-0.40586808	-1.3521982	0.15243903	1.0	0.972	10972	tags=55%, list=39%, signal=90%	
KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION	KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION	Details ...	33	-0.35479954	-1.3460563	0.12210526	1.0	0.977	6391	tags=33%, list=23%, signal=43%	
KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNAQ_PLCB_G_CALCINEURIN	KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNAQ_PLCB_G_CALCINEURIN	Details ...	16	-0.441107	-1.3449953	0.1380753	1.0	0.977	10972	tags=56%, list=39%, signal=92%	
KEGG_MEDICUS_REFERENCE_MACHR_CA2_APOPTOTIC_PATHWAY	KEGG_MEDICUS_REFERENCE_MACHR_CA2_APOPTOTIC_PATHWAY	Details ...	19	-0.3573499	-1.2778126	0.1764706	1.0	0.993	5040	tags=26%, list=18%, signal=32%	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABBERANT_ATXN2_3_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABBERANT_ATXN2_3_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY	Details ...	18	-0.41144925	-1.2666829	0.19488189	1.0	0.994	5804	tags=33%, list=20%, signal=42%	
