NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	107	0.9280051589012146	0.096562095	Yes	
row_1	HLA-F	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	365	0.7252557277679443	0.16591506	Yes	
row_2	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	605	0.6360108852386475	0.2262536	Yes	
row_3	SEC24D	SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]	630	0.6273566484451294	0.29323623	Yes	
row_4	TAP2	transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]	634	0.6260246634483337	0.36081517	Yes	
row_5	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	812	0.5790117383003235	0.41717687	Yes	
row_6	HLA-C	major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]	1064	0.5269314646720886	0.46529886	Yes	
row_7	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	1206	0.5017149448394775	0.5145725	Yes	
row_8	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	1460	0.4650804102420807	0.5559368	Yes	
row_9	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	1644	0.4426889419555664	0.597348	Yes	
row_10	BCAP31	B cell receptor associated protein 31 [Source:HGNC Symbol;Acc:HGNC:16695]	1669	0.4404934346675873	0.64412725	Yes	
row_11	HLA-G	major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]	1725	0.43438220024108887	0.6891529	Yes	
row_12	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	2617	0.3578181564807892	0.69642764	Yes	
row_13	HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	2648	0.3558235764503479	0.73384106	Yes	
row_14	ERAP1	endoplasmic reticulum aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:18173]	8485	0.13204099237918854	0.54237056	No	
row_15	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10697]	9096	0.10947529971599579	0.5327015	No	
row_16	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	9280	0.10436559468507767	0.5375337	No	
row_17	PIK3R4	phosphoinositide-3-kinase regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:8982]	10757	0.05383363366127014	0.49131817	No	
row_18	PDIA3	protein disulfide isomerase family A member 3 [Source:HGNC Symbol;Acc:HGNC:4606]	11898	0.01966678909957409	0.45325413	No	
row_19	SAR1B	secretion associated Ras related GTPase 1B [Source:HGNC Symbol;Acc:HGNC:10535]	12442	0.0041114939376711845	0.43455535	No	
row_20	ATG14	autophagy related 14 [Source:HGNC Symbol;Acc:HGNC:19962]	12850	-0.007225667592138052	0.4209879	No	
row_21	SEC23A	SEC23 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10701]	13895	-0.036851052194833755	0.38816625	No	
row_22	SEC31A	SEC31 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:17052]	14230	-0.04529193043708801	0.38128805	No	
row_23	SEC24C	SEC24 homolog C, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10705]	14455	-0.0521942600607872	0.37903416	No	
row_24	BECN1	beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]	15832	-0.09101590514183044	0.34036416	No	
row_25	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3 [Source:HGNC Symbol;Acc:HGNC:8974]	16458	-0.10756650567054749	0.32995987	No	
row_26	ERAP2	endoplasmic reticulum aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:29499]	17949	-0.14885178208351135	0.29352394	No	
row_27	SEC24B	SEC24 homolog B, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10704]	24843	-0.3387219309806824	0.08713525	No	
row_28	SEC24A	SEC24 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10703]	25163	-0.3513183295726776	0.11387294	No	
