NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNS	glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]	9	1.3683887720108032	0.13976532	Yes	
row_1	GUSB	glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696]	99	0.9389217495918274	0.23274542	Yes	
row_2	G6PC3	glucose-6-phosphatase catalytic subunit 3 [Source:HGNC Symbol;Acc:HGNC:24861]	393	0.7112393379211426	0.29522535	Yes	
row_3	KHK	ketohexokinase [Source:HGNC Symbol;Acc:HGNC:6315]	655	0.619171679019928	0.34940845	Yes	
row_4	GYG1	glycogenin 1 [Source:HGNC Symbol;Acc:HGNC:4699]	845	0.572746753692627	0.40137744	Yes	
row_5	HYAL1	hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:5320]	1136	0.5140272974967957	0.44377443	Yes	
row_6	ARSB	arylsulfatase B [Source:HGNC Symbol;Acc:HGNC:714]	1428	0.46995556354522705	0.48162454	Yes	
row_7	GLB1	galactosidase beta 1 [Source:HGNC Symbol;Acc:HGNC:4298]	1534	0.4549564719200134	0.5244968	Yes	
row_8	GAA	alpha glucosidase [Source:HGNC Symbol;Acc:HGNC:4065]	1697	0.4375600516796112	0.56357855	Yes	
row_9	UBB	ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]	2261	0.3863016963005066	0.5832753	Yes	
row_10	TALDO1	transaldolase 1 [Source:HGNC Symbol;Acc:HGNC:11559]	2607	0.35920560359954834	0.60788405	Yes	
row_11	NHLRC1	NHL repeat containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21576]	4492	0.26015064120292664	0.5680936	No	
row_12	GBE1	1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]	5779	0.21153995394706726	0.5444099	No	
row_13	NAGLU	N-acetyl-alpha-glucosaminidase [Source:HGNC Symbol;Acc:HGNC:7632]	9612	0.0920463353395462	0.4187319	No	
row_14	DCXR	dicarbonyl and L-xylulose reductase [Source:HGNC Symbol;Acc:HGNC:18985]	9911	0.08211566507816315	0.41663182	No	
row_15	SGSH	N-sulfoglucosamine sulfohydrolase [Source:HGNC Symbol;Acc:HGNC:10818]	12592	-3.4155152388848364E-4	0.32218084	No	
row_16	GYS2	glycogen synthase 2 [Source:HGNC Symbol;Acc:HGNC:4707]	13127	-0.015065988525748253	0.30489644	No	
row_17	GYS1	glycogen synthase 1 [Source:HGNC Symbol;Acc:HGNC:4706]	14178	-0.04391230642795563	0.27237302	No	
row_18	SLC37A4	solute carrier family 37 member 4 [Source:HGNC Symbol;Acc:HGNC:4061]	15012	-0.06767664104700089	0.2499329	No	
row_19	IDS	iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]	16178	-0.10017023980617523	0.21911418	No	
row_20	GALNS	galactosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4122]	16215	-0.10105661302804947	0.22819018	No	
row_21	IDUA	alpha-L-iduronidase [Source:HGNC Symbol;Acc:HGNC:5391]	16502	-0.10873539000749588	0.22923827	No	
row_22	RPIA	ribose 5-phosphate isomerase A [Source:HGNC Symbol;Acc:HGNC:10297]	16951	-0.12089403718709946	0.22581959	No	
row_23	ALDOB	aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]	17855	-0.14620652794837952	0.2089507	No	
row_24	UBC	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	18009	-0.1507737934589386	0.21899132	No	
row_25	G6PC1	glucose-6-phosphatase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:4056]	18910	-0.17791178822517395	0.20547387	No	
row_26	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:26527]	20504	-0.2052394151687622	0.17032158	No	
row_27	EPM2A	EPM2A glucan phosphatase, laforin [Source:HGNC Symbol;Acc:HGNC:3413]	23971	-0.3039601147174835	0.079240985	No	
row_28	LCT	lactase [Source:HGNC Symbol;Acc:HGNC:6530]	24390	-0.32051387429237366	0.097315155	No	
row_29	GYG2	glycogenin 2 [Source:HGNC Symbol;Acc:HGNC:4700]	26502	-0.42765262722969055	0.06666884	No	
