NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	4	1.4820655584335327	0.059245944	Yes	
row_1	IFITM3	interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]	68	1.0211714506149292	0.0979411	Yes	
row_2	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	108	0.9266418814659119	0.13369553	Yes	
row_3	IFI27	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	119	0.9163391590118408	0.17006075	Yes	
row_4	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	144	0.8861271739006042	0.2047212	Yes	
row_5	IFITM2	interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:5413]	145	0.8852824568748474	0.24019492	Yes	
row_6	RSAD2	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]	207	0.8308396339416504	0.27133396	Yes	
row_7	IFIT3	interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]	242	0.7982518672943115	0.30212024	Yes	
row_8	ADAR	adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]	286	0.7679310441017151	0.33137387	Yes	
row_9	IFI6	interferon alpha inducible protein 6 [Source:HGNC Symbol;Acc:HGNC:4054]	297	0.7604245543479919	0.3614915	Yes	
row_10	IRF9	interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]	306	0.7551245093345642	0.39146733	Yes	
row_11	HLA-F	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	365	0.7252557277679443	0.4184815	Yes	
row_12	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	540	0.6566317677497864	0.43865138	Yes	
row_13	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	566	0.6479402780532837	0.46373224	Yes	
row_14	IFIT2	interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]	628	0.6286489367485046	0.48676944	Yes	
row_15	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	801	0.5812645554542542	0.50398993	Yes	
row_16	IRF5	interferon regulatory factor 5 [Source:HGNC Symbol;Acc:HGNC:6120]	871	0.567217230796814	0.5242831	Yes	
row_17	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	1035	0.5331327319145203	0.5398926	Yes	
row_18	HLA-C	major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]	1064	0.5269314646720886	0.5600187	Yes	
row_19	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	1206	0.5017149448394775	0.5751458	Yes	
row_20	IFI35	interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399]	1515	0.457478404045105	0.5826057	Yes	
row_21	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	1644	0.4426889419555664	0.59582645	Yes	
row_22	HLA-G	major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]	1725	0.43438220024108887	0.6104086	Yes	
row_23	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	2160	0.3953832685947418	0.6109329	Yes	
row_24	HLA-H	major histocompatibility complex, class I, H (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4965]	2176	0.39405226707458496	0.62619334	Yes	
