NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	4	1.4820655584335327	0.040706486	Yes	
row_1	CEBPD	CCAAT enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835]	24	1.1802425384521484	0.07256405	Yes	
row_2	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	41	1.096213936805725	0.10221171	Yes	
row_3	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	65	1.025398850440979	0.12966016	Yes	
row_4	JAK3	Janus kinase 3 [Source:HGNC Symbol;Acc:HGNC:6193]	71	1.007816195487976	0.15726028	Yes	
row_5	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	73	1.0053092241287231	0.18493272	Yes	
row_6	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	108	0.9266418814659119	0.20927045	Yes	
row_7	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	148	0.8823238611221313	0.23220995	Yes	
row_8	OSM	oncostatin M [Source:HGNC Symbol;Acc:HGNC:8506]	176	0.857350766658783	0.25488535	Yes	
row_9	IL13RA1	interleukin 13 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:5974]	218	0.8177410960197449	0.27597415	Yes	
row_10	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	220	0.8160256743431091	0.29842967	Yes	
row_11	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	309	0.7546647191047668	0.31611857	Yes	
row_12	HGF	hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]	311	0.753808856010437	0.3368593	Yes	
row_13	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	461	0.6870517730712891	0.35052836	Yes	
row_14	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	540	0.6566317677497864	0.36586884	Yes	
row_15	TWIST1	twist family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:12428]	636	0.6245601177215576	0.37972444	Yes	
row_16	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	687	0.6096276640892029	0.39475918	Yes	
row_17	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	734	0.5978249311447144	0.40961003	Yes	
row_18	VIM	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]	751	0.5943970680236816	0.4254269	Yes	
row_19	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	1054	0.5295168161392212	0.4293456	Yes	
row_20	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	1108	0.5197442770004272	0.44179702	Yes	
row_21	IGHG1	immunoglobulin heavy constant gamma 1 (G1m marker) [Source:HGNC Symbol;Acc:HGNC:5525]	1657	0.44166266918182373	0.4345984	Yes	
row_22	HSP90AA1	heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]	1681	0.439628928899765	0.44590217	Yes	
row_23	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	1922	0.41513076424598694	0.4488599	Yes	
row_24	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	2214	0.3900102376937866	0.44932246	Yes	
row_25	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	2223	0.38935139775276184	0.45977077	Yes	
row_26	ITGAX	integrin subunit alpha X [Source:HGNC Symbol;Acc:HGNC:6152]	2275	0.3847298324108124	0.46857166	Yes	
row_27	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	2277	0.3846098482608795	0.4791367	Yes	
row_28	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	2322	0.38039347529411316	0.48806554	Yes	
