NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LIN7A	lin-7 homolog A, crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:17787]	561	0.6510117053985596	0.030890822	No	
row_1	SLC6A12	solute carrier family 6 member 12 [Source:HGNC Symbol;Acc:HGNC:11045]	591	0.6409779787063599	0.07976859	No	
row_2	SYN1	synapsin I [Source:HGNC Symbol;Acc:HGNC:11494]	1348	0.48218008875846863	0.09063641	No	
row_3	DNAJC5	DnaJ heat shock protein family (Hsp40) member C5 [Source:HGNC Symbol;Acc:HGNC:16235]	1436	0.46879321336746216	0.12406325	No	
row_4	UNC13B	unc-13 homolog B [Source:HGNC Symbol;Acc:HGNC:12566]	2231	0.388701856136322	0.12631312	No	
row_5	CPLX1	complexin 1 [Source:HGNC Symbol;Acc:HGNC:2309]	2553	0.3628821074962616	0.14323953	No	
row_6	STXBP1	syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]	4386	0.2648642957210541	0.09922958	No	
row_7	GAD2	glutamate decarboxylase 2 [Source:HGNC Symbol;Acc:HGNC:4093]	5174	0.2328888475894928	0.08959617	No	
row_8	SLC1A3	solute carrier family 1 member 3 [Source:HGNC Symbol;Acc:HGNC:10941]	6270	0.19284650683403015	0.0659797	No	
row_9	SLC22A2	solute carrier family 22 member 2 [Source:HGNC Symbol;Acc:HGNC:10966]	6310	0.19279219210147858	0.07961292	No	
row_10	SLC32A1	solute carrier family 32 member 1 [Source:HGNC Symbol;Acc:HGNC:11018]	7252	0.16913241147994995	0.05958314	No	
row_11	NAAA	N-acylethanolamine acid amidase [Source:HGNC Symbol;Acc:HGNC:736]	7817	0.15878838300704956	0.052048	No	
row_12	RAB3A	RAB3A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9777]	7894	0.1557021141052246	0.061488427	No	
row_13	SLC18A2	solute carrier family 18 member A2 [Source:HGNC Symbol;Acc:HGNC:10935]	7931	0.15429797768592834	0.072230674	No	
row_14	PPFIA3	PTPRF interacting protein alpha 3 [Source:HGNC Symbol;Acc:HGNC:9247]	7986	0.15198664367198944	0.08215797	No	
row_15	ABAT	4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]	8405	0.13533222675323486	0.077947386	No	
row_16	LIN7B	lin-7 homolog B, crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:17788]	8783	0.12110210955142975	0.07407538	No	
row_17	SLC6A11	solute carrier family 6 member 11 [Source:HGNC Symbol;Acc:HGNC:11044]	9502	0.09598733484745026	0.056218244	No	
row_18	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	9589	0.09277908504009247	0.06040726	No	
row_19	GAD1	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]	9661	0.09046419709920883	0.064945236	No	
row_20	APBA1	amyloid beta precursor protein binding family A member 1 [Source:HGNC Symbol;Acc:HGNC:578]	10165	0.0734139010310173	0.052915577	No	
row_21	ARL6IP5	ADP ribosylation factor like GTPase 6 interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:16937]	10997	0.04670259729027748	0.02723512	No	
row_22	SYT1	synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:11509]	11611	0.028324218466877937	0.007814566	No	
row_23	SNAP25	synaptosome associated protein 25 [Source:HGNC Symbol;Acc:HGNC:11132]	11935	0.01867763139307499	-0.0021262658	No	
row_24	STX1A	syntaxin 1A [Source:HGNC Symbol;Acc:HGNC:11433]	12495	0.0025785353500396013	-0.02164612	No	
row_25	SLC1A1	solute carrier family 1 member 1 [Source:HGNC Symbol;Acc:HGNC:10939]	12972	-0.010824444703757763	-0.037595917	No	
row_26	RIMS1	regulating synaptic membrane exocytosis 1 [Source:HGNC Symbol;Acc:HGNC:17282]	13619	-0.029211243614554405	-0.0581116	No	
row_27	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	13684	-0.03090815432369709	-0.05796318	No	
row_28	PPFIA1	PTPRF interacting protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:9245]	14117	-0.04242955148220062	-0.069900244	No	
row_29	SLC22A1	solute carrier family 22 member 1 [Source:HGNC Symbol;Acc:HGNC:10963]	16547	-0.11011647433042526	-0.14701866	No	
row_30	SLC17A7	solute carrier family 17 member 7 [Source:HGNC Symbol;Acc:HGNC:16704]	16926	-0.12023551762104034	-0.1509934	No	
row_31	SLC1A2	solute carrier family 1 member 2 [Source:HGNC Symbol;Acc:HGNC:10940]	18865	-0.1766032874584198	-0.20561408	No	
row_32	PPFIA4	PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248]	20660	-0.2106822431087494	-0.25250158	No	
row_33	SYN2	synapsin II [Source:HGNC Symbol;Acc:HGNC:11495]	22183	-0.2463654726743698	-0.2870154	No	
row_34	VAMP2	vesicle associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:12643]	22852	-0.2652973532676697	-0.28992766	Yes	
row_35	TSPOAP1	TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]	23038	-0.27017199993133545	-0.27542096	Yes	
