NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CRISPLD2	cysteine rich secretory protein LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25248]	0	1.9336799383163452	0.01210157	Yes	
row_1	GNS	glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]	9	1.3683887720108032	0.0203789	Yes	
row_2	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	10	1.3656831979751587	0.02892577	Yes	
row_3	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	13	1.329020380973816	0.037171576	Yes	
row_4	SIRPA	signal regulatory protein alpha [Source:HGNC Symbol;Acc:HGNC:9662]	14	1.3044480085372925	0.04533522	Yes	
row_5	LILRB3	leukocyte immunoglobulin like receptor B3 [Source:HGNC Symbol;Acc:HGNC:6607]	19	1.215416669845581	0.05279844	Yes	
row_6	LRG1	leucine rich alpha-2-glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:29480]	23	1.1868022680282593	0.06011839	Yes	
row_7	NFAM1	NFAT activating protein with ITAM motif 1 [Source:HGNC Symbol;Acc:HGNC:29872]	34	1.1245609521865845	0.06679815	Yes	
row_8	GRN	granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]	54	1.0564426183700562	0.07272933	Yes	
row_9	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	66	1.021483063697815	0.07872819	Yes	
row_10	OSCAR	osteoclast associated Ig-like receptor [Source:HGNC Symbol;Acc:HGNC:29960]	75	1.002010703086853	0.08471261	Yes	
row_11	FCN1	ficolin 1 [Source:HGNC Symbol;Acc:HGNC:3623]	76	1.0009900331497192	0.09097712	Yes	
row_12	FPR2	formyl peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:3827]	78	1.000705599784851	0.09720404	Yes	
row_13	FCAR	Fc alpha receptor [Source:HGNC Symbol;Acc:HGNC:3608]	88	0.9736595153808594	0.10297522	Yes	
row_14	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	92	0.9667132496833801	0.10891779	Yes	
row_15	GUSB	glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696]	99	0.9389217495918274	0.114579	Yes	
row_16	TXNDC5	thioredoxin domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21073]	104	0.9329136610031128	0.12027422	Yes	
row_17	FPR1	formyl peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:3826]	113	0.921749472618103	0.12575635	Yes	
row_18	VAT1	vesicle amine transport 1 [Source:HGNC Symbol;Acc:HGNC:16919]	118	0.9184116721153259	0.13136081	Yes	
row_19	LILRB2	leukocyte immunoglobulin like receptor B2 [Source:HGNC Symbol;Acc:HGNC:6606]	130	0.9011313915252686	0.13660648	Yes	
row_20	CD93	CD93 molecule [Source:HGNC Symbol;Acc:HGNC:15855]	136	0.8974055051803589	0.14204368	Yes	
row_21	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	139	0.8958185911178589	0.14757837	Yes	
row_22	SIGLEC9	sialic acid binding Ig like lectin 9 [Source:HGNC Symbol;Acc:HGNC:10878]	149	0.8820210695266724	0.15277605	Yes	
row_23	S100A8	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]	159	0.8730252981185913	0.15791744	Yes	
row_24	HSPA6	heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]	166	0.8657358288764954	0.16312063	Yes	
row_25	PGLYRP1	peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]	175	0.8589681386947632	0.16820985	Yes	
row_26	DEFA4	defensin alpha 4 [Source:HGNC Symbol;Acc:HGNC:2763]	196	0.8363329768180847	0.1727277	Yes	
row_27	HK3	hexokinase 3 [Source:HGNC Symbol;Acc:HGNC:4925]	198	0.8352566361427307	0.17791918	Yes	
row_28	CLEC5A	C-type lectin domain containing 5A [Source:HGNC Symbol;Acc:HGNC:2054]	204	0.8330981731414795	0.18295392	Yes	
row_29	CD33	CD33 molecule [Source:HGNC Symbol;Acc:HGNC:1659]	211	0.8293985724449158	0.1879297	Yes	
row_30	LYZ	lysozyme [Source:HGNC Symbol;Acc:HGNC:6740]	223	0.8133917450904846	0.19262627	Yes	
row_31	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	225	0.8120447993278503	0.19767249	Yes	
row_32	BST1	bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:HGNC:1118]	226	0.8111574053764343	0.20274897	Yes	
row_33	BRI3	brain protein I3 [Source:HGNC Symbol;Acc:HGNC:1109]	241	0.799584686756134	0.20725168	Yes	
row_34	GPR84	G protein-coupled receptor 84 [Source:HGNC Symbol;Acc:HGNC:4535]	244	0.797915518283844	0.21217367	Yes	
row_35	C5AR1	complement C5a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1338]	256	0.7909632921218872	0.21672986	Yes	
row_36	PADI2	peptidyl arginine deiminase 2 [Source:HGNC Symbol;Acc:HGNC:18341]	257	0.7907634377479553	0.22167872	Yes	
row_37	CYBB	cytochrome b-245 beta chain [Source:HGNC Symbol;Acc:HGNC:2578]	262	0.7858151793479919	0.22645335	Yes	
row_38	ANPEP	alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]	263	0.7846868634223938	0.23136418	Yes	
row_39	MAN2B1	mannosidase alpha class 2B member 1 [Source:HGNC Symbol;Acc:HGNC:6826]	269	0.7805088758468628	0.2360698	Yes	
row_40	CLEC12A	C-type lectin domain family 12 member A [Source:HGNC Symbol;Acc:HGNC:31713]	273	0.7791565656661987	0.24083857	Yes	
row_41	SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	279	0.77278071641922	0.24549583	Yes	
row_42	TYROBP	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]	280	0.7723680138587952	0.25032955	Yes	
row_43	S100A12	S100 calcium binding protein A12 [Source:HGNC Symbol;Acc:HGNC:10489]	284	0.7705978155136108	0.25504476	Yes	
row_44	CEACAM3	CEA cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:1815]	287	0.767541766166687	0.25977665	Yes	
row_45	ARSA	arylsulfatase A [Source:HGNC Symbol;Acc:HGNC:713]	289	0.765920877456665	0.26453424	Yes	
row_46	CTSZ	cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]	314	0.7530214190483093	0.26838744	Yes	
row_47	MMP25	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]	322	0.7495927810668945	0.27282798	Yes	
row_48	MS4A3	membrane spanning 4-domains A3 [Source:HGNC Symbol;Acc:HGNC:7317]	333	0.7442466020584106	0.2771276	Yes	
row_49	CD59	CD59 molecule (CD59 blood group) [Source:HGNC Symbol;Acc:HGNC:1689]	342	0.7378244400024414	0.28145868	Yes	
row_50	IMPDH1	inosine monophosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6052]	347	0.7345234751701355	0.2859123	Yes	
row_51	CFD	complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]	362	0.7282261848449707	0.28996846	Yes	
row_52	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	394	0.7110720872879028	0.2933085	Yes	
row_53	FCGR2A	Fc gamma receptor IIa [Source:HGNC Symbol;Acc:HGNC:3616]	399	0.7085782885551453	0.29759976	Yes	
row_54	APAF1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	421	0.7003425359725952	0.30123073	Yes	
row_55	CREG1	cellular repressor of E1A stimulated genes 1 [Source:HGNC Symbol;Acc:HGNC:2351]	437	0.6946592926979065	0.305041	Yes	
row_56	LTF	lactotransferrin [Source:HGNC Symbol;Acc:HGNC:6720]	439	0.6934508085250854	0.309345	Yes	
row_57	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	458	0.6872352957725525	0.3130014	Yes	
row_58	QPCT	glutaminyl-peptide cyclotransferase [Source:HGNC Symbol;Acc:HGNC:9753]	462	0.6850743293762207	0.31718138	Yes	
