NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AGO2	argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]	3948	0.2847025990486145	-0.06541547	No	
row_1	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	4691	0.25232237577438354	-0.02623556	No	
row_2	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	5895	0.20602405071258545	-0.015288129	No	
row_3	CCND3	cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]	7877	0.15646947920322418	-0.044587255	No	
row_4	PML	PML nuclear body scaffold [Source:HGNC Symbol;Acc:HGNC:9113]	9259	0.10499430447816849	-0.066069745	No	
row_5	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	10238	0.07086820900440216	-0.08218605	No	
row_6	AGO3	argonaute RISC catalytic component 3 [Source:HGNC Symbol;Acc:HGNC:18421]	10869	0.050181079655885696	-0.09139493	No	
row_7	AGO4	argonaute RISC component 4 [Source:HGNC Symbol;Acc:HGNC:18424]	11604	0.028624966740608215	-0.109849766	No	
row_8	AGO1	argonaute RISC component 1 [Source:HGNC Symbol;Acc:HGNC:3262]	13135	-0.015249212272465229	-0.15981854	No	
row_9	MOV10	Mov10 RISC complex RNA helicase [Source:HGNC Symbol;Acc:HGNC:7200]	13283	-0.0190897174179554	-0.16005635	No	
row_10	TNRC6B	trinucleotide repeat containing adaptor 6B [Source:HGNC Symbol;Acc:HGNC:29190]	16966	-0.12140658497810364	-0.2583764	No	
row_11	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	20340	-0.2002660036087036	-0.32539013	No	
row_12	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	22255	-0.24730370938777924	-0.32881063	Yes	
row_13	TNRC6A	trinucleotide repeat containing adaptor 6A [Source:HGNC Symbol;Acc:HGNC:11969]	22959	-0.2685924172401428	-0.28404397	Yes	
row_14	RUNX1	RUNX family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]	26917	-0.4610871970653534	-0.3041095	Yes	
row_15	CBFB	core-binding factor subunit beta [Source:HGNC Symbol;Acc:HGNC:1539]	27567	-0.5382366180419922	-0.18762732	Yes	
row_16	TNRC6C	trinucleotide repeat containing adaptor 6C [Source:HGNC Symbol;Acc:HGNC:29318]	28307	-0.8369831442832947	0.0030306492	Yes	
