NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
SNORD121B	1	ENSG00000238300	
HTR4	1	ENSG00000164270	
SNORD121A	1	ENSG00000238886	
HTR6	1	ENSG00000158748	
HTR7	1	ENSG00000148680	
BBX	1	ENSG00000114439	
RN7SL563P	1	ENSG00000239211	
EXOC3-AS1	1	ENSG00000221990	
WDR83OS	1	ENSG00000105583	
DHDH	1	ENSG00000104808	
BCR	1	ENSG00000186716	
VOPP1	1	ENSG00000154978	
RNU6-653P	1	ENSG00000199944	
CLEC20A	1	ENSG00000188585	
COL13A1	1	ENSG00000197467	
FOXP1-IT1	1	ENSG00000242094	
FAM187B2P	1	ENSG00000262497	
SNORA63C	1	ENSG00000201448	
SNORA63D	1	ENSG00000201229	
GTF2IRD2B	1	ENSG00000174428	
SNORA63E	1	ENSG00000199363	
SRP72P1	1	ENSG00000265182	
MYOM3-AS1	1	ENSG00000230703	
SPAG5-AS1	1	ENSG00000227543	
DHFR	1	ENSG00000228716	
DELEC1	1	ENSG00000173077	
DCLRE1CP1	1	ENSG00000237470	
STRC	1	ENSG00000242866	
STRN	1	ENSG00000115808	
RN7SL560P	1	ENSG00000264438	
CASP4LP	2	ENSG00000291173:ENSG00000235505	
BBC3	1	ENSG00000105327	
STUM	1	ENSG00000203685	
MYBPC3	1	ENSG00000134571	
MYBPC1	1	ENSG00000196091	
MYBPC2	1	ENSG00000086967	
ANKRD49P2	1	ENSG00000225349	
FLJ20021	1	ENSG00000254531	
ANKRD49P1	1	ENSG00000228446	
BGN	1	ENSG00000182492	
TMEFF1	1	ENSG00000241697	
TMEFF2	1	ENSG00000144339	
VCAN-AS1	1	ENSG00000249835	
RPS7P11	1	ENSG00000213326	
RPS7P10	1	ENSG00000226525	
PAXBP1-AS1	1	ENSG00000238197	
BORCS7-ASMT	1	ENSG00000270316	
STX6	1	ENSG00000135823	
STX5	1	ENSG00000162236	
STX4	1	ENSG00000103496	
STX3	1	ENSG00000166900	
BID	1	ENSG00000015475	
STX2	1	ENSG00000111450	
SPDEF	1	ENSG00000124664	
RNU6-652P	1	ENSG00000202358	
RPS7P14	1	ENSG00000213695	
MBD3	1	ENSG00000071655	
MBD4	1	ENSG00000129071	
MBD5	1	ENSG00000204406	
MBD6	1	ENSG00000166987	
BIK	1	ENSG00000100290	
MBD1	1	ENSG00000141644	
MBD2	1	ENSG00000134046	
ENSG00000205890	1	ENSG00000205890	
TMEM217B	1	ENSG00000286105	
RNF14P1	1	ENSG00000232915	
FBXO27	1	ENSG00000161243	
FBXO28	1	ENSG00000143756	
FBXO25	1	ENSG00000147364	
FBXO24	1	ENSG00000106336	
FBXO21	1	ENSG00000135108	
FBXO22	1	ENSG00000167196	
FADS3	1	ENSG00000221968	
FADS2	1	ENSG00000134824	
CLDN7P1	1	ENSG00000214031	
FNTA	1	ENSG00000168522	
MYBPHL	1	ENSG00000221986	
FADS6	1	ENSG00000172782	
FNTB	1	ENSG00000257365	
RNF14P3	1	ENSG00000238109	
RNF14P4	1	ENSG00000223500	
FADS1	1	ENSG00000149485	
RXYLT1-AS1	1	ENSG00000255850	
STX8	1	ENSG00000170310	
FBXO16	1	ENSG00000214050	
STX7	1	ENSG00000079950	
FBXO17	1	ENSG00000269190	
FGD5P1	2	ENSG00000290338:ENSG00000275340	
FBXO15	1	ENSG00000141665	
MIR583HG	1	ENSG00000250551	
FBXO10	1	ENSG00000147912	
FBXO11	1	ENSG00000138081	
MINPP1	1	ENSG00000107789	
BLK	1	ENSG00000136573	
BLM	1	ENSG00000197299	
IREB2	1	ENSG00000136381	
FBXO47	1	ENSG00000204952	
FBXO48	1	ENSG00000204923	
FBXO45	1	ENSG00000174013	
FBXO46	1	ENSG00000177051	
FBXO43	1	ENSG00000156509	
FBXO44	1	ENSG00000132879	
FBXO41	1	ENSG00000163013	
FBXO42	1	ENSG00000037637	
GRAMD4P3	1	ENSG00000278301	
FBXO40	1	ENSG00000163833	
FAM111A-DT	1	ENSG00000245571	
GRAMD4P7	1	ENSG00000266242	
GRAMD4P6	1	ENSG00000258848	
MBIP	1	ENSG00000151332	
BMF	1	ENSG00000104081	
TACC1P1	1	ENSG00000224920	
HTR1F	1	ENSG00000179097	
FBXO38	1	ENSG00000145868	
FBXO39	1	ENSG00000177294	
HTR1D	1	ENSG00000179546	
STYX	1	ENSG00000198252	
FBXO36	1	ENSG00000153832	
FBXO34	1	ENSG00000178974	
RGMB-AS1	1	ENSG00000246763	
BMX	1	ENSG00000102010	
FBXO32	1	ENSG00000156804	
FBXO33	1	ENSG00000165355	
FBXO30	1	ENSG00000118496	
FBXO31	1	ENSG00000103264	
FAM90A1	1	ENSG00000171847	
AGAP1-IT1	1	ENSG00000235529	
LRRC37BP1	1	ENSG00000250462	
HTR2B	1	ENSG00000135914	
EDRF1-DT	1	ENSG00000224023	
PPWD1	1	ENSG00000113593	
HTR2A	1	ENSG00000102468	
HCFC1-AS1	1	ENSG00000235802	
BOC	1	ENSG00000144857	
SPDL1	1	ENSG00000040275	
BOK	1	ENSG00000176720	
SLC36A1	1	ENSG00000123643	
SLC36A3	1	ENSG00000186334	
SLC36A2	1	ENSG00000186335	
VPS13C	1	ENSG00000129003	
VPS13D	1	ENSG00000048707	
DHPS	1	ENSG00000095059	
HTR3C	1	ENSG00000178084	
VPS13A	1	ENSG00000197969	
VPS13B	1	ENSG00000132549	
HTR3A	1	ENSG00000166736	
LOC124904478	1	ENSG00000223881	
HTR3B	1	ENSG00000149305	
RABGGTB	1	ENSG00000137955	
RABGGTA	1	ENSG00000100949	
C1D	1	ENSG00000197223	
BPI	1	ENSG00000101425	
TOLLIP-DT	1	ENSG00000255153	
CYP51A1P1	1	ENSG00000241095	
C1S	1	ENSG00000182326	
C1R	1	ENSG00000159403	
IL2RG	1	ENSG00000147168	
CYP51A1P3	1	ENSG00000215223	
CYP51A1P2	1	ENSG00000233588	
CYP1D1P	1	ENSG00000228024	
CNPY2-AS1	1	ENSG00000257303	
TSPOAP1	1	ENSG00000005379	
BBLN	1	ENSG00000171159	
SLC36A4	1	ENSG00000180773	
MYG1-AS1	1	ENSG00000257605	
OR7E55P	1	ENSG00000230655	
GPKOW	1	ENSG00000068394	
TRDJ2	1	ENSG00000211827	
TRDJ3	1	ENSG00000211828	
FOXP1-DT	1	ENSG00000270562	
TRDJ1	1	ENSG00000211825	
IL2RA	1	ENSG00000134460	
ANKRD62P1-PARP4P3	1	ENSG00000189295	
IL2RB	1	ENSG00000100385	
LGALSL	1	ENSG00000119862	
PEX26	1	ENSG00000215193	
LGALS4	1	ENSG00000171747	
C4B	1	ENSG00000224389	
LGALS3	1	ENSG00000131981	
HMGN2P48	1	ENSG00000229979	
C4A	1	ENSG00000244731	
LGALS2	1	ENSG00000100079	
LGALS1	1	ENSG00000100097	
IL36A	1	ENSG00000136694	
HMGN2P46	1	ENSG00000179362	
IL36B	1	ENSG00000136696	
FOXD3-AS1	1	ENSG00000230798	
BSG	1	ENSG00000172270	
HMGN2P41	1	ENSG00000261620	
HMGN2P40	1	ENSG00000260602	
LGALS9	1	ENSG00000168961	
LGALS8	1	ENSG00000116977	
BSN	1	ENSG00000164061	
INHBA-AS1	1	ENSG00000224116	
RNU7-8P	1	ENSG00000251767	
BTC	1	ENSG00000174808	
ZNF542P	2	ENSG00000240225:ENSG00000290720	
CFDP1	1	ENSG00000153774	
BTD	1	ENSG00000169814	
CRISPLD1	1	ENSG00000121005	
CRISPLD2	1	ENSG00000103196	
SUB1	1	ENSG00000113387	
BTK	1	ENSG00000010671	
TBC1D26-AS1	1	ENSG00000233002	
DOCK9-DT	1	ENSG00000260992	
DHX8	1	ENSG00000067596	
DHX9	1	ENSG00000135829	
NKAIN2	1	ENSG00000188580	
NKAIN1	1	ENSG00000084628	
MC2R	1	ENSG00000185231	
NKAIN3	1	ENSG00000185942	
RACGAP1	1	ENSG00000161800	
STK25P1	1	ENSG00000267570	
OR7E47P	1	ENSG00000290965	
BBS2	1	ENSG00000125124	
SLC10A4	1	ENSG00000145248	
BBS1	1	ENSG00000174483	
SLC10A5	1	ENSG00000253598	
XBP1	1	ENSG00000100219	
