NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	2136	0.3971574008464813	-0.020731525	No	
row_1	ORC1	origin recognition complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:8487]	4402	0.26436319947242737	-0.06426207	No	
row_2	CDT1	chromatin licensing and DNA replication factor 1 [Source:HGNC Symbol;Acc:HGNC:24576]	6195	0.1963227540254593	-0.100465894	No	
row_3	CDC45	cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739]	7000	0.1778114289045334	-0.10437724	No	
row_4	PRIM2	DNA primase subunit 2 [Source:HGNC Symbol;Acc:HGNC:9370]	7959	0.1528657227754593	-0.11714698	No	
row_5	CDC7	cell division cycle 7 [Source:HGNC Symbol;Acc:HGNC:1745]	8326	0.13805526494979858	-0.111078456	No	
row_6	POLE4	DNA polymerase epsilon 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:18755]	8366	0.1369059979915619	-0.093637966	No	
row_7	MCM10	minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043]	8997	0.11262445151805878	-0.10037307	No	
row_8	POLA2	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]	10703	0.056149061769247055	-0.152774	No	
row_9	PRIM1	DNA primase subunit 1 [Source:HGNC Symbol;Acc:HGNC:9369]	11303	0.03658562898635864	-0.16886644	No	
row_10	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	11537	0.030473334714770317	-0.17289385	No	
row_11	GMNN	geminin DNA replication inhibitor [Source:HGNC Symbol;Acc:HGNC:17493]	12289	0.007903859950602055	-0.1982876	No	
row_12	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	14323	-0.048213157802820206	-0.2633444	No	
row_13	RPA4	replication protein A4 [Source:HGNC Symbol;Acc:HGNC:30305]	15136	-0.07103405147790909	-0.28221273	No	
row_14	POLA1	DNA polymerase alpha 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9173]	15339	-0.0777367427945137	-0.27865148	No	
row_15	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	15599	-0.08515061438083649	-0.2760811	No	
row_16	MCM3	minichromosome maintenance complex component 3 [Source:HGNC Symbol;Acc:HGNC:6945]	15969	-0.09472762793302536	-0.27607307	No	
row_17	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	17856	-0.1462186723947525	-0.3224773	No	
row_18	POLE2	DNA polymerase epsilon 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9178]	18253	-0.1577434241771698	-0.31476074	No	
row_19	MCM8	minichromosome maintenance 8 homologous recombination repair factor [Source:HGNC Symbol;Acc:HGNC:16147]	18531	-0.1664903461933136	-0.30164614	No	
row_20	POLE	DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]	20874	-0.2147350311279297	-0.35471234	No	
row_21	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	21920	-0.23947787284851074	-0.35864615	Yes	
row_22	DBF4	DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]	22466	-0.25462132692337036	-0.3428689	Yes	
row_23	POLE3	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	22654	-0.2600599229335785	-0.31372124	Yes	
row_24	ORC6	origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]	23632	-0.290846586227417	-0.30819756	Yes	
row_25	ORC4	origin recognition complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:8490]	24628	-0.3299519419670105	-0.29793414	Yes	
row_26	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	25852	-0.38510531187057495	-0.28812996	Yes	
row_27	ORC5	origin recognition complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:8491]	25932	-0.3900863528251648	-0.2373041	Yes	
row_28	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	25963	-0.39177873730659485	-0.18451793	Yes	
row_29	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	26224	-0.4071452021598816	-0.13772963	Yes	
row_30	RPA3	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	26813	-0.4528713524341583	-0.096222125	Yes	
row_31	RPA1	replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289]	27006	-0.4695485234260559	-0.038459774	Yes	
row_32	ORC3	origin recognition complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:8489]	28012	-0.6354271769523621	0.013433917	Yes	
