NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DCP2	decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]	3061	0.32806915044784546	-0.08050977	No	
row_1	CNOT3	CCR4-NOT transcription complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7879]	4081	0.2782765328884125	-0.09313578	No	
row_2	EDC3	enhancer of mRNA decapping 3 [Source:HGNC Symbol;Acc:HGNC:26114]	4526	0.2582223415374756	-0.08715252	No	
row_3	EIF4G1	eukaryotic translation initiation factor 4 gamma 1 [Source:HGNC Symbol;Acc:HGNC:3296]	4555	0.258018434047699	-0.06650642	No	
row_4	PAIP1	poly(A) binding protein interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16945]	4812	0.24767795205116272	-0.054773077	No	
row_5	EXOSC3	exosome component 3 [Source:HGNC Symbol;Acc:HGNC:17944]	5666	0.21515832841396332	-0.06683353	No	
row_6	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	5759	0.2123427838087082	-0.052275673	No	
row_7	EIF4A1	eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]	6153	0.19795654714107513	-0.049545836	No	
row_8	TUT7	terminal uridylyl transferase 7 [Source:HGNC Symbol;Acc:HGNC:25817]	6177	0.19716954231262207	-0.03382531	No	
row_9	EIF4A3	eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]	6800	0.1827421635389328	-0.040452186	No	
row_10	EXOSC5	exosome component 5 [Source:HGNC Symbol;Acc:HGNC:24662]	8753	0.12195510417222977	-0.099109344	No	
row_11	CNOT8	CCR4-NOT transcription complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:9207]	8908	0.11616154760122299	-0.0948039	No	
row_12	DCPS	decapping enzyme, scavenger [Source:HGNC Symbol;Acc:HGNC:29812]	9942	0.08109291642904282	-0.12445729	No	
row_13	LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17259]	10023	0.0783698633313179	-0.12070925	No	
row_14	TNKS1BP1	tankyrase 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19081]	10039	0.07786630839109421	-0.11470968	No	
row_15	EIF4B	eukaryotic translation initiation factor 4B [Source:HGNC Symbol;Acc:HGNC:3285]	10975	0.047265734523534775	-0.14374115	No	
