NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLBD1	phospholipase B domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26215]	121	0.9137036800384521	0.024960872	Yes	
row_1	PISD	phosphatidylserine decarboxylase [Source:HGNC Symbol;Acc:HGNC:8999]	158	0.8744110465049744	0.05167029	Yes	
row_2	PNPLA2	patatin like phospholipase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30802]	171	0.8643139004707336	0.07890534	Yes	
row_3	MBOAT7	membrane bound O-acyltransferase domain containing 7 [Source:HGNC Symbol;Acc:HGNC:15505]	193	0.8429046273231506	0.10513697	Yes	
row_4	LPCAT2	lysophosphatidylcholine acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:26032]	215	0.8228532075881958	0.13072692	Yes	
row_5	GPAT3	glycerol-3-phosphate acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:28157]	245	0.7977842688560486	0.15523171	Yes	
row_6	PGS1	phosphatidylglycerophosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:30029]	250	0.7943410277366638	0.18051043	Yes	
row_7	PLD3	phospholipase D family member 3 [Source:HGNC Symbol;Acc:HGNC:17158]	382	0.7145054340362549	0.198743	Yes	
row_8	PCTP	phosphatidylcholine transfer protein [Source:HGNC Symbol;Acc:HGNC:8752]	455	0.6889322996139526	0.21824369	Yes	
row_9	DGAT2	diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16940]	530	0.6589463949203491	0.23671405	Yes	
row_10	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]	640	0.6236587166786194	0.2528174	Yes	
row_11	MFSD2A	MFSD2 lysolipid transporter A, lysophospholipid [Source:HGNC Symbol;Acc:HGNC:25897]	1230	0.49810537695884705	0.2479279	Yes	
row_12	PCYT2	phosphate cytidylyltransferase 2, ethanolamine [Source:HGNC Symbol;Acc:HGNC:8756]	1300	0.48908132314682007	0.26113912	Yes	
row_13	HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:4801]	1305	0.48880690336227417	0.27664027	Yes	
row_14	MIGA2	mitoguardin 2 [Source:HGNC Symbol;Acc:HGNC:23621]	1326	0.48504549264907837	0.2914552	Yes	
row_15	CRLS1	cardiolipin synthase 1 [Source:HGNC Symbol;Acc:HGNC:16148]	1332	0.4842250347137451	0.30677435	Yes	
row_16	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:324]	1471	0.46354272961616516	0.31672817	Yes	
row_17	LPCAT3	lysophosphatidylcholine acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30244]	1608	0.44693541526794434	0.32622126	Yes	
row_18	PEMT	phosphatidylethanolamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:8830]	1710	0.43641147017478943	0.3366153	Yes	
row_19	PTDSS2	phosphatidylserine synthase 2 [Source:HGNC Symbol;Acc:HGNC:15463]	1998	0.4092195928096771	0.33956137	Yes	
row_20	STARD7	StAR related lipid transfer domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18063]	2026	0.40667083859443665	0.35162064	Yes	
row_21	MBOAT1	membrane bound O-acyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21579]	2068	0.403296560049057	0.36307684	Yes	
row_22	PLB1	phospholipase B1 [Source:HGNC Symbol;Acc:HGNC:30041]	2170	0.3945873975753784	0.37213245	Yes	
row_23	SLC44A1	solute carrier family 44 member 1 [Source:HGNC Symbol;Acc:HGNC:18798]	2187	0.3926803767681122	0.384133	Yes	
row_24	PTDSS1	phosphatidylserine synthase 1 [Source:HGNC Symbol;Acc:HGNC:9587]	2633	0.3567546606063843	0.37981257	Yes	
row_25	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326]	2716	0.35077565908432007	0.38813806	Yes	
row_26	PLA2G4C	phospholipase A2 group IVC [Source:HGNC Symbol;Acc:HGNC:9037]	2763	0.34704434871673584	0.39761725	Yes	
row_27	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:325]	2813	0.34332942962646484	0.4068715	Yes	
row_28	PNPLA3	patatin like phospholipase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18590]	2957	0.3338409960269928	0.41249782	Yes	
row_29	LIPH	lipase H [Source:HGNC Symbol;Acc:HGNC:18483]	2974	0.33276504278182983	0.422581	Yes	
row_30	LPGAT1	lysophosphatidylglycerol acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:28985]	3057	0.3282169699668884	0.43018457	Yes	
row_31	PCYT1B	phosphate cytidylyltransferase 1B, choline [Source:HGNC Symbol;Acc:HGNC:8755]	3171	0.3220962882041931	0.436496	Yes	
row_32	LPIN3	lipin 3 [Source:HGNC Symbol;Acc:HGNC:14451]	3238	0.31892213225364685	0.44436795	Yes	
