NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RFC2	replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]	1842	0.4239417314529419	-0.017281288	No	
row_1	RFC5	replication factor C subunit 5 [Source:HGNC Symbol;Acc:HGNC:9973]	3082	0.3267953097820282	-0.024221657	No	
row_2	RAD51	RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]	4284	0.2686149477958679	-0.0363665	No	
row_3	RFC3	replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]	6020	0.20346492528915405	-0.0746755	No	
row_4	HUS1	HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309]	8336	0.13770060241222382	-0.14084029	No	
row_5	CHEK1	checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925]	9410	0.09946388751268387	-0.16749841	No	
row_6	RMI1	RecQ mediated genome instability 1 [Source:HGNC Symbol;Acc:HGNC:25764]	9812	0.08591087907552719	-0.17197825	No	
row_7	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	10056	0.0773475170135498	-0.17184842	No	
row_8	RHNO1	RAD9-HUS1-RAD1 interacting nuclear orphan 1 [Source:HGNC Symbol;Acc:HGNC:28206]	10072	0.07686936110258102	-0.16373034	No	
row_9	TOP3A	DNA topoisomerase III alpha [Source:HGNC Symbol;Acc:HGNC:11992]	11015	0.04615826532244682	-0.19176425	No	
row_10	BRIP1	BRCA1 interacting helicase 1 [Source:HGNC Symbol;Acc:HGNC:20473]	11055	0.04463591426610947	-0.18811868	No	
row_11	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	11537	0.030473334714770317	-0.20165658	No	
row_12	PALB2	partner and localizer of BRCA2 [Source:HGNC Symbol;Acc:HGNC:26144]	11937	0.01866813562810421	-0.21363014	No	
row_13	BLM	BLM RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:1058]	12029	0.01599782705307007	-0.21504028	No	
row_14	XRCC2	X-ray repair cross complementing 2 [Source:HGNC Symbol;Acc:HGNC:12829]	12146	0.012691125273704529	-0.2177042	No	
row_15	RAD51C	RAD51 paralog C [Source:HGNC Symbol;Acc:HGNC:9820]	12964	-0.010539514012634754	-0.24533592	No	
row_16	RBBP8	RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]	13178	-0.016424324363470078	-0.25100127	No	
row_17	RAD1	RAD1 checkpoint DNA exonuclease [Source:HGNC Symbol;Acc:HGNC:9806]	13292	-0.019312845543026924	-0.2528145	No	
row_18	BARD1	BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]	13873	-0.03610628843307495	-0.26921067	No	
row_19	RAD51AP1	RAD51 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16956]	15122	-0.07067476958036423	-0.30527994	No	
row_20	KAT5	lysine acetyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:5275]	15465	-0.08114215731620789	-0.30821517	No	
row_21	ATRIP	ATR interacting protein [Source:HGNC Symbol;Acc:HGNC:33499]	16056	-0.09698984771966934	-0.31811517	No	
row_22	RAD51B	RAD51 paralog B [Source:HGNC Symbol;Acc:HGNC:9822]	16571	-0.1107591837644577	-0.32378554	No	
row_23	NBN	nibrin [Source:HGNC Symbol;Acc:HGNC:7652]	17067	-0.12432944029569626	-0.3272592	No	
row_24	EXO1	exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3511]	17472	-0.13548706471920013	-0.32626796	No	
row_25	RAD9A	RAD9 checkpoint clamp component A [Source:HGNC Symbol;Acc:HGNC:9827]	17910	-0.14793838560581207	-0.32504	No	
row_26	DNA2	DNA replication helicase/nuclease 2 [Source:HGNC Symbol;Acc:HGNC:2939]	18469	-0.16406431794166565	-0.326266	No	
row_27	SEM1	SEM1 26S proteasome subunit [Source:HGNC Symbol;Acc:HGNC:10845]	18966	-0.1793002486228943	-0.32359114	No	
row_28	RAD9B	RAD9 checkpoint clamp component B [Source:HGNC Symbol;Acc:HGNC:21700]	18967	-0.17933331429958344	-0.30341762	No	
row_29	ATR	ATR serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:882]	20252	-0.19746068120002747	-0.32649434	No	
row_30	RAD17	RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807]	20322	-0.19976501166820526	-0.30645618	No	
row_31	BRCA2	BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]	22004	-0.2410077005624771	-0.33863723	No	
row_32	ATM	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]	24446	-0.3229692280292511	-0.38840508	Yes	
row_33	XRCC3	X-ray repair cross complementing 3 [Source:HGNC Symbol;Acc:HGNC:12830]	24710	-0.33398139476776123	-0.3601115	Yes	
row_34	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	24938	-0.3425329029560089	-0.32958612	Yes	
row_35	MRE11	MRE11 homolog, double strand break repair nuclease [Source:HGNC Symbol;Acc:HGNC:7230]	26379	-0.41900232434272766	-0.33324367	Yes	
row_36	RAD50	RAD50 double strand break repair protein [Source:HGNC Symbol;Acc:HGNC:9816]	26392	-0.4200751483440399	-0.2864119	Yes	
row_37	RPA3	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	26813	-0.4528713524341583	-0.2502819	Yes	
row_38	RPA1	replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289]	27006	-0.4695485234260559	-0.2042338	Yes	
row_39	RAD51D	RAD51 paralog D [Source:HGNC Symbol;Acc:HGNC:9823]	27320	-0.5006368160247803	-0.15895642	Yes	
