NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LIN7A	lin-7 homolog A, crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:17787]	561	0.6510117053985596	0.026690194	No	
row_1	HOMER3	homer scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:17514]	1307	0.48851919174194336	0.035285413	No	
row_2	GRIN2D	glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]	1405	0.47344228625297546	0.065668486	No	
row_3	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A [Source:HGNC Symbol;Acc:HGNC:4585]	1440	0.4684326648712158	0.097916774	No	
row_4	SHARPIN	SHANK associated RH domain interactor [Source:HGNC Symbol;Acc:HGNC:25321]	3035	0.329278826713562	0.065184996	No	
row_5	BEGAIN	brain enriched guanylate kinase associated [Source:HGNC Symbol;Acc:HGNC:24163]	3225	0.31975826621055603	0.081348225	No	
row_6	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	3885	0.2873951494693756	0.07861686	No	
row_7	NRXN1	neurexin 1 [Source:HGNC Symbol;Acc:HGNC:8008]	3900	0.28682079911231995	0.098603025	No	
row_8	STXBP1	syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]	4386	0.2648642957210541	0.10040238	No	
row_9	EPB41	erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377]	6242	0.1942896693944931	0.04882256	No	
row_10	GRIN1	glutamate ionotropic receptor NMDA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4584]	6247	0.19402176141738892	0.06253535	No	
row_11	LIN7B	lin-7 homolog B, crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:17788]	8783	0.12110210955142975	-0.018263862	No	
row_12	DBNL	drebrin like [Source:HGNC Symbol;Acc:HGNC:2696]	9643	0.0912153497338295	-0.042060167	No	
row_13	HOMER2	homer scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:17513]	10010	0.07867229729890823	-0.049356803	No	
row_14	EPB41L3	erythrocyte membrane protein band 4.1 like 3 [Source:HGNC Symbol;Acc:HGNC:3380]	10048	0.07752259820699692	-0.04512691	No	
row_15	APBA1	amyloid beta precursor protein binding family A member 1 [Source:HGNC Symbol;Acc:HGNC:578]	10165	0.0734139010310173	-0.043977875	No	
row_16	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	11502	0.03126736730337143	-0.08888545	No	
row_17	SYT1	synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:11509]	11611	0.028324218466877937	-0.090673715	No	
row_18	EPB41L5	erythrocyte membrane protein band 4.1 like 5 [Source:HGNC Symbol;Acc:HGNC:19819]	11631	0.027798958122730255	-0.089359164	No	
row_19	STX1A	syntaxin 1A [Source:HGNC Symbol;Acc:HGNC:11433]	12495	0.0025785353500396013	-0.119625635	No	
row_20	DLG2	discs large MAGUK scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:2901]	13288	-0.019182341173291206	-0.14620131	No	
row_21	DLGAP4	DLG associated protein 4 [Source:HGNC Symbol;Acc:HGNC:24476]	14353	-0.04913325980305672	-0.18023579	No	
row_22	LRRTM3	leucine rich repeat transmembrane neuronal 3 [Source:HGNC Symbol;Acc:HGNC:19410]	14489	-0.052918415516614914	-0.18122062	No	
row_23	DLGAP2	DLG associated protein 2 [Source:HGNC Symbol;Acc:HGNC:2906]	15333	-0.07759103178977966	-0.2054252	No	
row_24	NRXN3	neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]	15732	-0.08850666135549545	-0.21314873	No	
row_25	NLGN4Y	neuroligin 4 Y-linked [Source:HGNC Symbol;Acc:HGNC:15529]	15829	-0.09096046537160873	-0.2100411	No	
row_26	EPB41L1	erythrocyte membrane protein band 4.1 like 1 [Source:HGNC Symbol;Acc:HGNC:3378]	16375	-0.10525207221508026	-0.22175579	No	
row_27	SYT7	synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]	17487	-0.13579590618610382	-0.25126058	No	
row_28	HOMER1	homer scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:17512]	17696	-0.14179198443889618	-0.24847525	No	
row_29	APBA3	amyloid beta precursor protein binding family A member 3 [Source:HGNC Symbol;Acc:HGNC:580]	17924	-0.1482582986354828	-0.2458986	No	
row_30	DLGAP1	DLG associated protein 1 [Source:HGNC Symbol;Acc:HGNC:2905]	18882	-0.1769428849220276	-0.26703152	No	
