NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OR52K2	olfactory receptor family 52 subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:15223]	123	0.9128645062446594	0.015613667	No	
row_1	OR2B2	olfactory receptor family 2 subfamily B member 2 [Source:HGNC Symbol;Acc:HGNC:13966]	778	0.5876035094261169	0.005296772	No	
row_2	OR2B6	olfactory receptor family 2 subfamily B member 6 [Source:HGNC Symbol;Acc:HGNC:8241]	1045	0.5312259197235107	0.0074940915	No	
row_3	OR2C3	olfactory receptor family 2 subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:15005]	1101	0.5213824510574341	0.016952226	No	
row_4	OR1Q1	olfactory receptor family 1 subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:8223]	1122	0.5160817503929138	0.027534513	No	
row_5	OR2M3	olfactory receptor family 2 subfamily M member 3 [Source:HGNC Symbol;Acc:HGNC:8269]	1668	0.44054627418518066	0.017862372	No	
row_6	OR6N2	olfactory receptor family 6 subfamily N member 2 [Source:HGNC Symbol;Acc:HGNC:15035]	1744	0.433034747838974	0.024678977	No	
row_7	OR4S1	olfactory receptor family 4 subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:14705]	1963	0.4124830663204193	0.02597916	No	
row_8	OR52K1	olfactory receptor family 52 subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:15222]	2220	0.3896274268627167	0.025432881	No	
row_9	OR2A42	olfactory receptor family 2 subfamily A member 42 [Source:HGNC Symbol;Acc:HGNC:31230]	2377	0.37515076994895935	0.028113091	No	
row_10	OR1J2	olfactory receptor family 1 subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:8209]	2760	0.3472737967967987	0.02217575	No	
row_11	OR1J4	olfactory receptor family 1 subfamily J member 4 [Source:HGNC Symbol;Acc:HGNC:8211]	2996	0.3316227197647095	0.021104509	No	
row_12	OR6C75	olfactory receptor family 6 subfamily C member 75 [Source:HGNC Symbol;Acc:HGNC:31304]	3371	0.3136815130710602	0.0147156855	No	
row_13	OR13A1	olfactory receptor family 13 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:14772]	3746	0.2941215932369232	0.007898928	No	
row_14	OR4B1	olfactory receptor family 4 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:8290]	4112	0.2770749032497406	0.0010281076	No	
row_15	LHX2	LIM homeobox 2 [Source:HGNC Symbol;Acc:HGNC:6594]	4243	0.2705097198486328	0.0023401955	No	
row_16	OR51E2	olfactory receptor family 51 subfamily E member 2 [Source:HGNC Symbol;Acc:HGNC:15195]	4286	0.26845481991767883	0.0067253504	No	
row_17	OR13C2	olfactory receptor family 13 subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:14701]	4353	0.2659800350666046	0.010205992	No	
