NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CPSF3	cleavage and polyadenylation specific factor 3 [Source:HGNC Symbol;Acc:HGNC:2326]	3770	0.2930072247982025	-0.063899875	No	
row_1	NUDT21	nudix hydrolase 21 [Source:HGNC Symbol;Acc:HGNC:13870]	4342	0.2665131688117981	-0.021291869	No	
row_2	PABPN1	poly(A) binding protein nuclear 1 [Source:HGNC Symbol;Acc:HGNC:8565]	7840	0.15797778964042664	-0.10735358	No	
row_3	CSTF2	cleavage stimulation factor subunit 2 [Source:HGNC Symbol;Acc:HGNC:2484]	7992	0.1518332064151764	-0.07693675	No	
row_4	WDR33	WD repeat domain 33 [Source:HGNC Symbol;Acc:HGNC:25651]	8053	0.14937792718410492	-0.043890677	No	
row_5	NCBP1	nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658]	9529	0.09499520808458328	-0.07351485	No	
row_6	CSTF2T	cleavage stimulation factor subunit 2 tau variant [Source:HGNC Symbol;Acc:HGNC:17086]	12300	0.007589272223412991	-0.16935307	No	
row_7	CLP1	cleavage factor polyribonucleotide kinase subunit 1 [Source:HGNC Symbol;Acc:HGNC:16999]	13352	-0.02110382728278637	-0.2014266	No	
row_8	CPSF2	cleavage and polyadenylation specific factor 2 [Source:HGNC Symbol;Acc:HGNC:2325]	13382	-0.02207290381193161	-0.19725312	No	
row_9	NCBP2	nuclear cap binding protein subunit 2 [Source:HGNC Symbol;Acc:HGNC:7659]	13960	-0.0386563315987587	-0.20848969	No	
row_10	CPSF1	cleavage and polyadenylation specific factor 1 [Source:HGNC Symbol;Acc:HGNC:2324]	15255	-0.07515312731266022	-0.23640522	No	
row_11	CSTF1	cleavage stimulation factor subunit 1 [Source:HGNC Symbol;Acc:HGNC:2483]	15693	-0.08755288273096085	-0.23119839	No	
row_12	CPSF7	cleavage and polyadenylation specific factor 7 [Source:HGNC Symbol;Acc:HGNC:30098]	17184	-0.12783238291740417	-0.25362197	No	
row_13	CPSF6	cleavage and polyadenylation specific factor 6 [Source:HGNC Symbol;Acc:HGNC:13871]	17218	-0.1288071721792221	-0.2244663	No	
row_14	CPSF4	cleavage and polyadenylation specific factor 4 [Source:HGNC Symbol;Acc:HGNC:2327]	18895	-0.17741946876049042	-0.24177334	No	
row_15	CSTF3	cleavage stimulation factor subunit 3 [Source:HGNC Symbol;Acc:HGNC:2485]	25623	-0.37256112694740295	-0.39116287	Yes	
row_16	SYMPK	symplekin scaffold protein [Source:HGNC Symbol;Acc:HGNC:22935]	26364	-0.41784849762916565	-0.31888962	Yes	
row_17	PCF11	PCF11 cleavage and polyadenylation factor subunit [Source:HGNC Symbol;Acc:HGNC:30097]	26400	-0.42067569494247437	-0.2211042	Yes	
row_18	FIP1L1	factor interacting with PAPOLA and CPSF1 [Source:HGNC Symbol;Acc:HGNC:19124]	27724	-0.5666642785072327	-0.13434955	Yes	
row_19	PAPOLA	poly(A) polymerase alpha [Source:HGNC Symbol;Acc:HGNC:14981]	28115	-0.6707952618598938	0.009797742	Yes	
