NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL17RA	interleukin 17 receptor A [Source:HGNC Symbol;Acc:HGNC:5985]	15	1.2660458087921143	0.043150216	Yes	
row_1	TLR8	toll like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632]	102	0.9340207576751709	0.07233499	Yes	
row_2	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	108	0.9266418814659119	0.104128785	Yes	
row_3	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	139	0.8958185911178589	0.1339753	Yes	
row_4	NLRP3	NLR family pyrin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16400]	152	0.8803114891052246	0.16392316	Yes	
row_5	TKFC	triokinase and FMN cyclase [Source:HGNC Symbol;Acc:HGNC:24552]	170	0.864549994468689	0.19315045	Yes	
row_6	NLRP12	NLR family pyrin domain containing 12 [Source:HGNC Symbol;Acc:HGNC:22938]	310	0.7540758848190308	0.21425313	Yes	
row_7	NOD2	nucleotide binding oligomerization domain containing 2 [Source:HGNC Symbol;Acc:HGNC:5331]	320	0.7506387829780579	0.23983313	Yes	
row_8	HLA-F	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	365	0.7252557277679443	0.26330003	Yes	
row_9	IRAK1	interleukin 1 receptor associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:6112]	459	0.6871137022972107	0.28371865	Yes	
row_10	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	566	0.6479402780532837	0.30232614	Yes	
row_11	SEC24D	SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]	630	0.6273566484451294	0.32174367	Yes	
row_12	LARP1	La ribonucleoprotein 1, translational regulator [Source:HGNC Symbol;Acc:HGNC:29531]	747	0.5952110886573792	0.3381784	Yes	
row_13	TLR1	toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]	885	0.564328670501709	0.3528052	Yes	
row_14	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	1035	0.5331327319145203	0.36593148	Yes	
row_15	HLA-C	major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]	1064	0.5269314646720886	0.38312152	Yes	
row_16	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	1206	0.5017149448394775	0.39544666	Yes	
row_17	SEH1L	SEH1 like nucleoporin [Source:HGNC Symbol;Acc:HGNC:30379]	1634	0.4437636137008667	0.39566138	Yes	
row_18	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	1644	0.4426889419555664	0.41061664	Yes	
row_19	HSP90AA1	heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]	1681	0.439628928899765	0.4245118	Yes	
