NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA	REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA	Details ...	27	-0.52672035	-1.7616856	0.012448133	1.0	0.611	3949	tags=30%, list=14%, signal=34%	
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	Details ...	20	-0.4788566	-1.759806	0.007968128	0.83903664	0.616	2772	tags=25%, list=10%, signal=28%	
REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES	REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES	Details ...	35	-0.44281435	-1.6113266	0.029166667	1.0	0.917	3949	tags=29%, list=14%, signal=33%	
REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE	REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE	Details ...	43	-0.4247365	-1.5267553	0.056603774	1.0	0.979	3949	tags=26%, list=14%, signal=30%	
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	Details ...	17	-0.4960182	-1.5168526	0.052301254	1.0	0.982	4919	tags=35%, list=17%, signal=43%	
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_C_STRAND_OF_THE_TELOMERE	REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_C_STRAND_OF_THE_TELOMERE	Details ...	19	-0.4713449	-1.4844854	0.08995816	1.0	0.994	3034	tags=26%, list=11%, signal=29%	
REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA	REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA	Details ...	37	-0.4046183	-1.4713105	0.08747515	1.0	0.995	3949	tags=27%, list=14%, signal=31%	
REACTOME_FERTILIZATION	REACTOME_FERTILIZATION	Details ...	20	-0.4538301	-1.4520661	0.059183672	1.0	0.997	5165	tags=40%, list=18%, signal=49%	
REACTOME_OLFACTORY_SIGNALING_PATHWAY	REACTOME_OLFACTORY_SIGNALING_PATHWAY	Details ...	171	-0.3680814	-1.4474928	0.061099797	1.0	0.997	6567	tags=42%, list=23%, signal=54%	
REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	Details ...	29	-0.36920497	-1.3996418	0.103515625	1.0	0.999	2772	tags=17%, list=10%, signal=19%	
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	Details ...	33	-0.3915587	-1.385761	0.1367347	1.0	0.999	6475	tags=36%, list=23%, signal=47%	
REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR	REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR	Details ...	66	-0.3324719	-1.3774987	0.10245901	1.0	0.999	3949	tags=23%, list=14%, signal=26%	
REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY	REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY	Details ...	17	-0.42348787	-1.374319	0.11176471	1.0	0.999	1478	tags=18%, list=5%, signal=19%	
REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY	REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY	Details ...	56	-0.3273384	-1.3489641	0.13441955	1.0	1.0	7702	tags=36%, list=27%, signal=49%	
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	Details ...	48	-0.31058136	-1.3434111	0.06277056	1.0	1.0	5543	tags=29%, list=20%, signal=36%	
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	Details ...	59	-0.33068562	-1.342897	0.06170213	1.0	1.0	8163	tags=44%, list=29%, signal=62%	
REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS	REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS	Details ...	77	-0.3139297	-1.3380743	0.124756336	1.0	1.0	6873	tags=32%, list=24%, signal=43%	
REACTOME_DEADENYLATION_OF_MRNA	REACTOME_DEADENYLATION_OF_MRNA	Details ...	25	-0.36478674	-1.3273797	0.14957266	1.0	1.0	4349	tags=24%, list=15%, signal=28%	
REACTOME_NEUREXINS_AND_NEUROLIGINS	REACTOME_NEUREXINS_AND_NEUROLIGINS	Details ...	53	-0.3484679	-1.323998	0.085020244	1.0	1.0	5898	tags=36%, list=21%, signal=45%	
REACTOME_DISEASES_OF_DNA_REPAIR	REACTOME_DISEASES_OF_DNA_REPAIR	Details ...	51	-0.3529892	-1.3206346	0.1529175	1.0	1.0	3949	tags=22%, list=14%, signal=25%	
REACTOME_TICAM1_RIP1_MEDIATED_IKK_COMPLEX_RECRUITMENT	REACTOME_TICAM1_RIP1_MEDIATED_IKK_COMPLEX_RECRUITMENT		17	-0.39524138	-1.3191158	0.15605749	1.0	1.0	4135	tags=35%, list=15%, signal=41%	
REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES	REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES		70	-0.30883232	-1.308359	0.123931624	1.0	1.0	2296	tags=19%, list=8%, signal=20%	
REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS		57	-0.35373363	-1.3081033	0.18307087	1.0	1.0	1054	tags=12%, list=4%, signal=13%	
REACTOME_SENSORY_PERCEPTION	REACTOME_SENSORY_PERCEPTION		360	-0.25792447	-1.286379	0.12345679	1.0	1.0	6696	tags=34%, list=24%, signal=44%	
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX	REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX		19	-0.39881676	-1.2849997	0.15605749	1.0	1.0	4108	tags=26%, list=14%, signal=31%	
