NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	Details ...	468	0.61905503	2.1427705	0.0	0.032841012	0.018	4045	tags=44%, list=14%, signal=51%	
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	Details ...	63	0.67406684	2.137993	0.0	0.01706814	0.019	3201	tags=49%, list=11%, signal=55%	
REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING	Details ...	95	0.5813791	2.0931227	0.0	0.024483468	0.037	2814	tags=35%, list=10%, signal=38%	
REACTOME_INTERLEUKIN_10_SIGNALING	REACTOME_INTERLEUKIN_10_SIGNALING	Details ...	44	0.63698226	2.0810874	0.0019417476	0.023632135	0.043	3511	tags=43%, list=12%, signal=49%	
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	Details ...	105	0.5069984	2.073793	0.0	0.021093717	0.046	3149	tags=32%, list=11%, signal=36%	
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	Details ...	16	0.77255267	2.0699625	0.011278195	0.018628556	0.047	1227	tags=44%, list=4%, signal=46%	
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE	REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE	Details ...	110	0.49541375	2.0678396	0.0	0.016489202	0.048	3366	tags=29%, list=12%, signal=33%	
REACTOME_BASIGIN_INTERACTIONS	REACTOME_BASIGIN_INTERACTIONS	Details ...	25	0.63377935	2.067441	0.0019230769	0.014624199	0.049	1531	tags=32%, list=5%, signal=34%	
REACTOME_SARS_COV_2_ACTIVATES_MODULATES_INNATE_AND_ADAPTIVE_IMMUNE_RESPONSES	REACTOME_SARS_COV_2_ACTIVATES_MODULATES_INNATE_AND_ADAPTIVE_IMMUNE_RESPONSES	Details ...	108	0.49210355	2.0586298	0.0	0.015019184	0.051	3329	tags=28%, list=12%, signal=31%	
REACTOME_INTERFERON_SIGNALING	REACTOME_INTERFERON_SIGNALING	Details ...	254	0.4564198	2.024516	0.0	0.022628622	0.079	3366	tags=27%, list=12%, signal=30%	
