NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC43A3	solute carrier family 43 member 3 [Source:HGNC Symbol;Acc:HGNC:17466]	69	1.014187216758728	0.10712355	Yes	
row_1	COMT	catechol-O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:2228]	359	0.730108916759491	0.17580181	Yes	
row_2	FAAP20	FA core complex associated protein 20 [Source:HGNC Symbol;Acc:HGNC:26428]	562	0.6506741046905518	0.23896714	Yes	
row_3	RRAS	RAS related [Source:HGNC Symbol;Acc:HGNC:10447]	978	0.5437674522399902	0.28307283	Yes	
row_4	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	1035	0.5331327319145203	0.3386893	Yes	
row_5	BAP1	BRCA1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:950]	1110	0.5196415781974792	0.39221364	Yes	
row_6	RAB11B-AS1	RAB11B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44178]	1684	0.43926334381103516	0.41945878	Yes	
row_7	ARHGAP31-AS1	ARHGAP31 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41235]	2412	0.37234994769096375	0.43404505	Yes	
row_8	CAPZB	capping actin protein of muscle Z-line subunit beta [Source:HGNC Symbol;Acc:HGNC:1491]	2479	0.3674534261226654	0.47141153	Yes	
row_9	ZNF280D	zinc finger protein 280D [Source:HGNC Symbol;Acc:HGNC:25953]	3940	0.2847963273525238	0.45069182	Yes	
row_10	DUSP28	dual specificity phosphatase 28 [Source:HGNC Symbol;Acc:HGNC:33237]	4215	0.27187517285346985	0.47039872	Yes	
row_11	HES4	hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:24149]	4854	0.2452915459871292	0.47439808	Yes	
row_12	SEPTIN10	septin 10 [Source:HGNC Symbol;Acc:HGNC:14349]	7013	0.1774328052997589	0.41746664	No	
row_13	CSTB	cystatin B [Source:HGNC Symbol;Acc:HGNC:2482]	7946	0.15350434184074402	0.4011833	No	
row_14	UBE2E1	ubiquitin conjugating enzyme E2 E1 [Source:HGNC Symbol;Acc:HGNC:12477]	9368	0.10076454281806946	0.361959	No	
row_15	SOWAHC	sosondowah ankyrin repeat domain family member C [Source:HGNC Symbol;Acc:HGNC:26149]	11716	0.02498525381088257	0.28189477	No	
row_16	CHKA-DT	CHKA divergent transcript [Source:HGNC Symbol;Acc:HGNC:55504]	12037	0.015762601047754288	0.27231324	No	
row_17	CHKA	choline kinase alpha [Source:HGNC Symbol;Acc:HGNC:1937]	12363	0.005982327740639448	0.26149887	No	
row_18	FAIM	Fas apoptotic inhibitory molecule [Source:HGNC Symbol;Acc:HGNC:18703]	12535	0.0016172142932191491	0.25564352	No	
row_19	PCID2	PCI domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25653]	12759	-0.005027793813496828	0.24832289	No	
row_20	SLC37A1	solute carrier family 37 member 1 [Source:HGNC Symbol;Acc:HGNC:11024]	13626	-0.029357358813285828	0.22095609	No	
row_21	USP24	ubiquitin specific peptidase 24 [Source:HGNC Symbol;Acc:HGNC:12623]	13792	-0.033962149173021317	0.21880636	No	
row_22	TRIM26	tripartite motif containing 26 [Source:HGNC Symbol;Acc:HGNC:12962]	15950	-0.09436430782079697	0.15293679	No	
row_23	SERPINB1	serpin family B member 1 [Source:HGNC Symbol;Acc:HGNC:3311]	16965	-0.12140384316444397	0.13029423	No	
row_24	SEL1L3	SEL1L family member 3 [Source:HGNC Symbol;Acc:HGNC:29108]	17080	-0.12484844774007797	0.13976085	No	
row_25	CCDC68	coiled-coil domain containing 68 [Source:HGNC Symbol;Acc:HGNC:24350]	17523	-0.1367792934179306	0.13894989	No	
row_26	ZMYM4	zinc finger MYM-type containing 4 [Source:HGNC Symbol;Acc:HGNC:13055]	17620	-0.13936547935009003	0.15061943	No	
row_27	PHF1	PHD finger protein 1 [Source:HGNC Symbol;Acc:HGNC:8919]	17920	-0.1481519639492035	0.15607966	No	
row_28	AFF4-DT	AFF4 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55235]	18117	-0.15387535095214844	0.16579029	No	
row_29	PHF7	PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]	19293	-0.18344072997570038	0.1441718	No	
row_30	SRRM2	serine/arginine repetitive matrix 2 [Source:HGNC Symbol;Acc:HGNC:16639]	19728	-0.19030314683914185	0.14942482	No	
row_31	CUL4A	cullin 4A [Source:HGNC Symbol;Acc:HGNC:2554]	20938	-0.21698886156082153	0.1302314	No	
row_32	HIVEP1	HIVEP zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4920]	22492	-0.25534486770629883	0.103050716	No	
row_33	LNC-LBCS	lncRNA bladder and prostate cancer suppressor, hnRNPK interacting [Source:HGNC Symbol;Acc:HGNC:54418]	22631	-0.25942468643188477	0.1262085	No	
row_34	SLC2A10	solute carrier family 2 member 10 [Source:HGNC Symbol;Acc:HGNC:13444]	25214	-0.3533698618412018	0.073330835	No	
row_35	TLK2	tousled like kinase 2 [Source:HGNC Symbol;Acc:HGNC:11842]	25340	-0.3585914671421051	0.10765945	No	
