NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRPSAP1	phosphoribosyl pyrophosphate synthetase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9466]	1792	0.42827895283699036	-0.038152512	No	
row_1	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	2650	0.35564541816711426	-0.04756693	No	
row_2	TUBB4B	tubulin beta 4B class IVb [Source:HGNC Symbol;Acc:HGNC:20771]	4288	0.26829594373703003	-0.089617975	No	
row_3	DDX39B-AS1	DDX39B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39771]	4462	0.26092249155044556	-0.08044416	No	
row_4	TMEM80	transmembrane protein 80 [Source:HGNC Symbol;Acc:HGNC:27453]	5293	0.22869347035884857	-0.096339434	No	
row_5	ILF2	interleukin enhancer binding factor 2 [Source:HGNC Symbol;Acc:HGNC:6037]	7517	0.16592943668365479	-0.1650612	No	
row_6	WBP2	WW domain binding protein 2 [Source:HGNC Symbol;Acc:HGNC:12738]	7824	0.15856219828128815	-0.16657384	No	
row_7	RACK1	receptor for activated C kinase 1 [Source:HGNC Symbol;Acc:HGNC:4399]	8460	0.13330422341823578	-0.18117404	No	
row_8	TSACC	TSSK6 activating cochaperone [Source:HGNC Symbol;Acc:HGNC:30636]	8785	0.1209774762392044	-0.18552253	No	
row_9	MED22	mediator complex subunit 22 [Source:HGNC Symbol;Acc:HGNC:11477]	10836	0.05126956105232239	-0.25485387	No	
row_10	DEAF1	DEAF1 transcription factor [Source:HGNC Symbol;Acc:HGNC:14677]	12201	0.010886198841035366	-0.3023446	No	
row_11	RPPH1	ribonuclease P RNA component H1 [Source:HGNC Symbol;Acc:HGNC:19273]	12231	0.009775223210453987	-0.30279547	No	
row_12	EEF1A1	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]	12285	0.008016836829483509	-0.30419612	No	
row_13	NCOA7	nuclear receptor coactivator 7 [Source:HGNC Symbol;Acc:HGNC:21081]	12626	-0.0011439096415415406	-0.3161259	No	
row_14	VPS37B	VPS37B subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:25754]	12777	-0.0055029550567269325	-0.32109636	No	
row_15	SDHA	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	14198	-0.04448190703988075	-0.36859587	No	
row_16	PLD6	phospholipase D family member 6 [Source:HGNC Symbol;Acc:HGNC:30447]	14619	-0.056693121790885925	-0.38009578	No	
row_17	PARP2	poly(ADP-ribose) polymerase 2 [Source:HGNC Symbol;Acc:HGNC:272]	15679	-0.0871821939945221	-0.41235727	No	
row_18	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	15700	-0.08769664913415909	-0.407928	No	
row_19	RNVU1-21	RNA, variant U1 small nuclear 21 [Source:HGNC Symbol;Acc:HGNC:48464]	15810	-0.09031833708286285	-0.4064855	No	
row_20	MT-TS2	mitochondrially encoded tRNA-Ser (AGU/C) 2 [Source:HGNC Symbol;Acc:HGNC:7498]	16185	-0.10042080283164978	-0.41380188	No	
row_21	DDX39B	DExD-box helicase 39B [Source:HGNC Symbol;Acc:HGNC:13917]	16408	-0.10627545416355133	-0.41541222	No	
row_22	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	17733	-0.1429263800382614	-0.4537601	No	
row_23	MALAT1	metastasis associated lung adenocarcinoma transcript 1 [Source:HGNC Symbol;Acc:HGNC:29665]	18851	-0.1763145923614502	-0.48284903	No	
row_24	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3 [Source:HGNC Symbol;Acc:HGNC:7719]	19649	-0.18828868865966797	-0.49994576	No	
row_25	CCT3	chaperonin containing TCP1 subunit 3 [Source:HGNC Symbol;Acc:HGNC:1616]	20624	-0.20942014455795288	-0.52205056	No	
row_26	MT-TN	mitochondrially encoded tRNA-Asn (AAU/C) [Source:HGNC Symbol;Acc:HGNC:7493]	20653	-0.21045638620853424	-0.5107155	No	
row_27	CRY2	cryptochrome circadian regulator 2 [Source:HGNC Symbol;Acc:HGNC:2385]	20857	-0.2140296995639801	-0.50534594	No	
row_28	MT-TA	mitochondrially encoded tRNA-Ala (GCN) [Source:HGNC Symbol;Acc:HGNC:7475]	21618	-0.23318001627922058	-0.5185086	No	
row_29	SPTAN1	spectrin alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]	22771	-0.2633521556854248	-0.5437361	No	
row_30	WDR4	WD repeat domain 4 [Source:HGNC Symbol;Acc:HGNC:12756]	23557	-0.2877325713634491	-0.5545866	No	
row_31	H3-3B	H3.3 histone B [Source:HGNC Symbol;Acc:HGNC:4765]	24100	-0.30957895517349243	-0.5555838	No	
row_32	MT-TT	mitochondrially encoded tRNA-Thr (ACN) [Source:HGNC Symbol;Acc:HGNC:7499]	25321	-0.3573930561542511	-0.57770413	Yes	
row_33	MT-TV	mitochondrially encoded tRNA-Val (GUN) [Source:HGNC Symbol;Acc:HGNC:7500]	25671	-0.3749719262123108	-0.56806237	Yes	
row_34	SNORD95	small nucleolar RNA, C/D box 95 [Source:HGNC Symbol;Acc:HGNC:32757]	25890	-0.3873462677001953	-0.5530737	Yes	
row_35	CCDC127	coiled-coil domain containing 127 [Source:HGNC Symbol;Acc:HGNC:30520]	25910	-0.3885694146156311	-0.53099185	Yes	
row_36	MT-TC	mitochondrially encoded tRNA-Cys (UGU/C) [Source:HGNC Symbol;Acc:HGNC:7477]	26288	-0.41213083267211914	-0.5201622	Yes	
row_37	MT-TP	mitochondrially encoded tRNA-Pro (CCN) [Source:HGNC Symbol;Acc:HGNC:7494]	26432	-0.4224632978439331	-0.500471	Yes	
row_38	MT-TH	mitochondrially encoded tRNA-His (CAU/C) [Source:HGNC Symbol;Acc:HGNC:7487]	26443	-0.4231424927711487	-0.47604716	Yes	
row_39	MT-TR	mitochondrially encoded tRNA-Arg (CGN) [Source:HGNC Symbol;Acc:HGNC:7496]	26484	-0.42628538608551025	-0.45249784	Yes	
row_40	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	26512	-0.4283667504787445	-0.42836794	Yes	
row_41	MT-TF	mitochondrially encoded tRNA-Phe (UUU/C) [Source:HGNC Symbol;Acc:HGNC:7481]	26893	-0.4597454071044922	-0.41485617	Yes	
row_42	MT-TG	mitochondrially encoded tRNA-Gly (GGN) [Source:HGNC Symbol;Acc:HGNC:7486]	26960	-0.4650268852710724	-0.38995576	Yes	
row_43	GP6-AS1	GP6 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55305]	27242	-0.49260637164115906	-0.37102666	Yes	
row_44	MT-TY	mitochondrially encoded tRNA-Tyr (UAU/C) [Source:HGNC Symbol;Acc:HGNC:7502]	27632	-0.5487631559371948	-0.3526201	Yes	
row_45	PHF14	PHD finger protein 14 [Source:HGNC Symbol;Acc:HGNC:22203]	27643	-0.5510789752006531	-0.32070506	Yes	
