NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	65	1.025398850440979	0.034153763	Yes	
row_1	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	188	0.8459339737892151	0.059913058	Yes	
row_2	FLOT1	flotillin 1 [Source:HGNC Symbol;Acc:HGNC:3757]	370	0.7236902713775635	0.07924131	Yes	
row_3	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	433	0.6959846019744873	0.10179096	Yes	
row_4	SOCS3-DT	SOCS3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:52799]	544	0.6556392908096313	0.12120974	Yes	
row_5	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	549	0.6544191837310791	0.14433192	Yes	
row_6	SRSF2	serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]	667	0.6155884861946106	0.16207953	Yes	
row_7	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]	677	0.613161027431488	0.18355832	Yes	
row_8	SAMD1	sterile alpha motif domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17958]	702	0.6048333048820496	0.20421086	Yes	
row_9	H2AC12	H2A clustered histone 12 [Source:HGNC Symbol;Acc:HGNC:13671]	891	0.5622366070747375	0.21755226	Yes	
row_10	S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	975	0.5446587204933167	0.23398022	Yes	
row_11	IER3-AS1	IER3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53629]	1082	0.5247085690498352	0.24888602	Yes	
row_12	RCC1	regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]	1335	0.48305588960647583	0.25715047	Yes	
row_13	STX10	syntaxin 10 [Source:HGNC Symbol;Acc:HGNC:11428]	1475	0.46259477734565735	0.26868176	Yes	
row_14	H2BC21	H2B clustered histone 21 [Source:HGNC Symbol;Acc:HGNC:4760]	1709	0.4366854131221771	0.27596942	Yes	
row_15	H2AC11	H2A clustered histone 11 [Source:HGNC Symbol;Acc:HGNC:4737]	1917	0.4154437482357025	0.28342095	Yes	
row_16	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]	1964	0.41237378120422363	0.29645425	Yes	
row_17	HOOK2	hook microtubule tethering protein 2 [Source:HGNC Symbol;Acc:HGNC:19885]	1978	0.4109441936016083	0.31060314	Yes	
row_18	IER2	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]	2077	0.4023717939853668	0.32144284	Yes	
row_19	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	2188	0.3926272392272949	0.33151194	Yes	
row_20	MIR3143	microRNA 3143 [Source:HGNC Symbol;Acc:HGNC:38284]	2461	0.3694641590118408	0.33503145	Yes	
row_21	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	2850	0.34011101722717285	0.33340725	Yes	
row_22	PKM	pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]	2897	0.33752840757369995	0.3437799	Yes	
row_23	SAT1-DT	novel transcript	2979	0.3325996398925781	0.3527402	Yes	
row_24	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	3010	0.33099526166915894	0.36344615	Yes	
row_25	SLC50A1	solute carrier family 50 member 1 [Source:HGNC Symbol;Acc:HGNC:30657]	3334	0.315025269985199	0.36322773	Yes	
row_26	S100A13	S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]	3410	0.31169572472572327	0.371657	Yes	
row_27	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	3673	0.29760104417800903	0.37297535	Yes	
row_28	MAT2A	methionine adenosyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:6904]	3806	0.29149648547172546	0.3786718	Yes	
row_29	GRAMD1B	GRAM domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29214]	3855	0.2889821529388428	0.387248	Yes	
row_30	MIDN	midnolin [Source:HGNC Symbol;Acc:HGNC:16298]	3902	0.2867717146873474	0.39581633	Yes	
row_31	SNORA31	small nucleolar RNA, H/ACA box 31 [Source:HGNC Symbol;Acc:HGNC:32621]	4008	0.28193479776382446	0.40212724	Yes	
row_32	VMP1	vacuole membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29559]	4229	0.2710612118244171	0.40398672	Yes	
row_33	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	4360	0.265724241733551	0.4088377	Yes	
row_34	TPT1	tumor protein, translationally-controlled 1 [Source:HGNC Symbol;Acc:HGNC:12022]	4713	0.2516358196735382	0.40534085	Yes	
row_35	EPN1	epsin 1 [Source:HGNC Symbol;Acc:HGNC:21604]	4780	0.24811063706874847	0.4118279	Yes	
row_36	SNORD12B	small nucleolar RNA, C/D box 12B [Source:HGNC Symbol;Acc:HGNC:33573]	5362	0.22770392894744873	0.39938584	No	
row_37	FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	5575	0.22017328441143036	0.3997191	No	
row_38	CD68	CD68 molecule [Source:HGNC Symbol;Acc:HGNC:1693]	5652	0.21569111943244934	0.40470022	No	
row_39	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]	5945	0.20393599569797516	0.40162852	No	
row_40	TPM4	tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]	6413	0.19058626890182495	0.39189655	No	
row_41	ESRRA	estrogen related receptor alpha [Source:HGNC Symbol;Acc:HGNC:3471]	7543	0.16463589668273926	0.3578424	No	
row_42	SLC38A2-AS1	SLC38A2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55454]	8097	0.14737193286418915	0.34353438	No	
row_43	NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	8150	0.14499840140342712	0.3468508	No	
row_44	ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:32041]	8253	0.14092124998569489	0.34825495	No	
row_45	H2BC11	H2B clustered histone 11 [Source:HGNC Symbol;Acc:HGNC:4761]	8292	0.13922303915023804	0.35186094	No	
row_46	H2BC12	H2B clustered histone 12 [Source:HGNC Symbol;Acc:HGNC:13954]	8486	0.1320042759180069	0.3497315	No	
row_47	RNU6-1305P	RNA, U6 small nuclear 1305, pseudogene [Source:HGNC Symbol;Acc:HGNC:48268]	8690	0.12427764385938644	0.34697396	No	
row_48	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	9029	0.11157269030809402	0.33899292	No	
row_49	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	9280	0.10436559468507767	0.33386624	No	
row_50	HSPA1B	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	9420	0.09897115081548691	0.33247128	No	
row_51	MFSD12	major facilitator superfamily domain containing 12 [Source:HGNC Symbol;Acc:HGNC:28299]	9561	0.09380821883678436	0.33085746	No	
row_52	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	9589	0.09277908504009247	0.33320123	No	
row_53	PPIA	peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]	9733	0.08825770020484924	0.33128405	No	
row_54	PRDX5	peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355]	9908	0.08224023133516312	0.3280572	No	
row_55	MFSD11	major facilitator superfamily domain containing 11 [Source:HGNC Symbol;Acc:HGNC:25458]	10052	0.07740016281604767	0.32575402	No	
row_56	SFPQ	splicing factor proline and glutamine rich [Source:HGNC Symbol;Acc:HGNC:10774]	10175	0.07308943569660187	0.3240399	No	
row_57	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	10479	0.06347881257534027	0.31558636	No	
row_58	RGL2	ral guanine nucleotide dissociation stimulator like 2 [Source:HGNC Symbol;Acc:HGNC:9769]	10718	0.05545703321695328	0.3091452	No	
row_59	PATL2	PAT1 homolog 2 [Source:HGNC Symbol;Acc:HGNC:33630]	11380	0.03438014164566994	0.28700304	No	
row_60	TRMT112	tRNA methyltransferase activator subunit 11-2 [Source:HGNC Symbol;Acc:HGNC:26940]	11462	0.03225750848650932	0.28528666	No	
row_61	MAN2C1	mannosidase alpha class 2C member 1 [Source:HGNC Symbol;Acc:HGNC:6827]	11479	0.03185917064547539	0.28585365	No	
row_62	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25695]	11925	0.01888345740735531	0.27079552	No	
row_63	EEF1A1	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]	12285	0.008016836829483509	0.25839096	No	
row_64	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1 [Source:HGNC Symbol;Acc:HGNC:5031]	12350	0.006205849815160036	0.25634938	No	
row_65	GAS5	growth arrest specific 5 [Source:HGNC Symbol;Acc:HGNC:16355]	12698	-0.0034096704330295324	0.2442052	No	
row_66	C11orf54	chromosome 11 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:30204]	13183	-0.01660268008708954	0.2276875	No	
row_67	RNU4-2	RNA, U4 small nuclear 2 [Source:HGNC Symbol;Acc:HGNC:10193]	14043	-0.040795329958200455	0.19877468	No	
row_68	C5orf24	chromosome 5 open reading frame 24 [Source:HGNC Symbol;Acc:HGNC:26746]	14789	-0.061578765511512756	0.17463025	No	
row_69	SNORA44	small nucleolar RNA, H/ACA box 44 [Source:HGNC Symbol;Acc:HGNC:32637]	15111	-0.07038068771362305	0.1657858	No	
row_70	ABCA7	ATP binding cassette subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:37]	15190	-0.07277785986661911	0.16561589	No	
row_71	S100A16	S100 calcium binding protein A16 [Source:HGNC Symbol;Acc:HGNC:20441]	15375	-0.07858122140169144	0.1619055	No	
row_72	NUP214	nucleoporin 214 [Source:HGNC Symbol;Acc:HGNC:8064]	15396	-0.07914657145738602	0.16401209	No	
row_73	B4GALT1-AS1	B4GALT1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49910]	15401	-0.07923594117164612	0.16668741	No	
row_74	KRT8	keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]	15738	-0.08856247365474701	0.1579591	No	
row_75	SNORD32A	small nucleolar RNA, C/D box 32A [Source:HGNC Symbol;Acc:HGNC:10159]	16382	-0.10540366917848587	0.13897796	No	
row_76	C11orf98	chromosome 11 open reading frame 98 [Source:HGNC Symbol;Acc:HGNC:51238]	17256	-0.12999773025512695	0.11274131	No	
row_77	EIF4A2	eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]	17347	-0.13244281709194183	0.11426821	No	
row_78	PGP	phosphoglycolate phosphatase [Source:HGNC Symbol;Acc:HGNC:8909]	17556	-0.13742628693580627	0.11180134	No	
row_79	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	17864	-0.14649830758571625	0.10615762	No	
row_80	SNORD33	small nucleolar RNA, C/D box 33 [Source:HGNC Symbol;Acc:HGNC:10160]	18181	-0.15527589619159698	0.1005078	No	
row_81	SNORD65	small nucleolar RNA, C/D box 65 [Source:HGNC Symbol;Acc:HGNC:32726]	18231	-0.15688519179821014	0.104352824	No	
row_82	LINC02939	long intergenic non-protein coding RNA 2939 [Source:HGNC Symbol;Acc:HGNC:55954]	18710	-0.1722562462091446	0.09358043	No	
row_83	MALAT1	metastasis associated lung adenocarcinoma transcript 1 [Source:HGNC Symbol;Acc:HGNC:29665]	18851	-0.1763145923614502	0.094899565	No	
row_84	IKBKB-DT	IKBKB divergent transcript [Source:HGNC Symbol;Acc:HGNC:55254]	19467	-0.18817706406116486	0.07985061	No	
row_85	H2AC20	H2A clustered histone 20 [Source:HGNC Symbol;Acc:HGNC:4738]	20209	-0.19602642953395844	0.060626958	No	
row_86	FOSL2-AS1	FOSL2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55784]	20409	-0.20240725576877594	0.06078818	No	
row_87	ING1	inhibitor of growth family member 1 [Source:HGNC Symbol;Acc:HGNC:6062]	20438	-0.2032095491886139	0.06702224	No	
row_88	SGF29	SAGA complex associated factor 29 [Source:HGNC Symbol;Acc:HGNC:25156]	22023	-0.24149492383003235	0.019617472	No	
row_89	ZC3H12A	zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259]	22440	-0.2534424364566803	0.013922629	No	
row_90	KIF22	kinesin family member 22 [Source:HGNC Symbol;Acc:HGNC:6391]	23119	-0.27299967408180237	-3.378811E-4	No	
row_91	NEAT1	nuclear paraspeckle assembly transcript 1 [Source:HGNC Symbol;Acc:HGNC:30815]	24146	-0.3115159571170807	-0.025529929	No	
row_92	SNORA61	small nucleolar RNA, H/ACA box 61 [Source:HGNC Symbol;Acc:HGNC:32655]	24206	-0.31382399797439575	-0.01645945	No	
row_93	IQCN	IQ motif containing N [Source:HGNC Symbol;Acc:HGNC:29350]	24609	-0.3292239308357239	-0.018965522	No	
row_94	SNAPC5	small nuclear RNA activating complex polypeptide 5 [Source:HGNC Symbol;Acc:HGNC:15484]	24848	-0.33886978030204773	-0.015331805	No	
row_95	EXOSC6	exosome component 6 [Source:HGNC Symbol;Acc:HGNC:19055]	25505	-0.36648982763290405	-0.025491254	No	
row_96	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	26010	-0.3945258557796478	-0.029281335	No	
row_97	RBM4	RNA binding motif protein 4 [Source:HGNC Symbol;Acc:HGNC:9901]	26219	-0.40704768896102905	-0.022163592	No	
row_98	SNORD12	small nucleolar RNA, C/D box 12 [Source:HGNC Symbol;Acc:HGNC:32708]	26257	-0.41013050079345703	-0.008891935	No	
row_99	TTC21A	tetratricopeptide repeat domain 21A [Source:HGNC Symbol;Acc:HGNC:30761]	26426	-0.42224496603012085	1.799243E-4	No	
row_100	SLC38A2	solute carrier family 38 member 2 [Source:HGNC Symbol;Acc:HGNC:13448]	27953	-0.6187616586685181	-0.031763487	No	
row_101	PPP1R35-AS1	PPP1R35 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41194]	27959	-0.620851993560791	-0.009869911	No	
row_102	H4C1	H4 clustered histone 1 [Source:HGNC Symbol;Acc:HGNC:4781]	28179	-0.7081977725028992	0.007564426	No	
