NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MARVELD1	MARVEL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28674]	31	1.1432464122772217	0.009421458	Yes	
row_1	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	43	1.0903376340866089	0.019071987	Yes	
row_2	LGALS3BP	galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]	46	1.077505111694336	0.028926715	Yes	
row_3	CUEDC1	CUE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:31350]	120	0.9144334197044373	0.034735642	Yes	
row_4	REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	135	0.8980507850646973	0.04250728	Yes	
row_5	TMED10	transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]	155	0.8770589232444763	0.04990641	Yes	
row_6	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	233	0.803009033203125	0.054545555	Yes	
row_7	LRP3	LDL receptor related protein 3 [Source:HGNC Symbol;Acc:HGNC:6695]	237	0.8017541766166687	0.06182414	Yes	
row_8	SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	279	0.77278071641922	0.067474484	Yes	
row_9	LINC03108	novel transcript	299	0.7599133849143982	0.07379443	Yes	
row_10	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	302	0.755825400352478	0.08068573	Yes	
row_11	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	381	0.7146223187446594	0.084474795	Yes	
row_12	MT2A	metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]	438	0.693875253200531	0.08886087	Yes	
row_13	MMP8	matrix metallopeptidase 8 [Source:HGNC Symbol;Acc:HGNC:7175]	478	0.6774468421936035	0.09370462	Yes	
row_14	SAP30	Sin3A associated protein 30 [Source:HGNC Symbol;Acc:HGNC:10532]	497	0.6702436804771423	0.09923431	Yes	
row_15	FZD1	frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]	572	0.6457604765892029	0.1025323	Yes	
row_16	ABHD12	abhydrolase domain containing 12, lysophospholipase [Source:HGNC Symbol;Acc:HGNC:15868]	578	0.6435732841491699	0.108282015	Yes	
row_17	SLC11A2	solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]	598	0.638611912727356	0.11348448	Yes	
row_18	SEC14L2	SEC14 like lipid binding 2 [Source:HGNC Symbol;Acc:HGNC:10699]	606	0.6358826756477356	0.1190917	Yes	
row_19	SLAMF8	SLAM family member 8 [Source:HGNC Symbol;Acc:HGNC:21391]	656	0.6190298795700073	0.123039044	Yes	
row_20	KCNE1	potassium voltage-gated channel subfamily E regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:6240]	806	0.5804892778396606	0.1230489	Yes	
row_21	PSME2P2	proteasome activator subunit 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:30160]	815	0.5785022974014282	0.1280917	Yes	
row_22	ZFAND5	zinc finger AN1-type containing 5 [Source:HGNC Symbol;Acc:HGNC:13008]	856	0.5713580250740051	0.13192227	Yes	
