NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	4	1.4820655584335327	0.01477981	Yes	
row_1	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	5	1.481978178024292	0.029701473	Yes	
row_2	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	12	1.3427228927612305	0.043006912	Yes	
row_3	TNFAIP2	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	45	1.0867865085601807	0.05280761	Yes	
row_4	LMNB1	lamin B1 [Source:HGNC Symbol;Acc:HGNC:6637]	51	1.0689648389816284	0.06339233	Yes	
row_5	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	62	1.03531813621521	0.07345985	Yes	
row_6	REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	135	0.8980507850646973	0.07993287	Yes	
row_7	MID1IP1-AS1	MID1IP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40932]	141	0.888135552406311	0.08869687	Yes	
row_8	CLN6	CLN6 transmembrane ER protein [Source:HGNC Symbol;Acc:HGNC:2077]	194	0.8392593860626221	0.09529161	Yes	
row_9	GPAT3	glycerol-3-phosphate acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:28157]	245	0.7977842688560486	0.10154011	Yes	
row_10	RGS2	regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]	247	0.7966794371604919	0.109525986	Yes	
row_11	RHOBTB3	Rho related BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18757]	254	0.7926909923553467	0.11729329	Yes	
row_12	ARHGEF40	Rho guanine nucleotide exchange factor 40 [Source:HGNC Symbol;Acc:HGNC:25516]	268	0.7809605002403259	0.1246927	Yes	
row_13	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	368	0.7239489555358887	0.12844928	Yes	
row_14	FLOT1	flotillin 1 [Source:HGNC Symbol;Acc:HGNC:3757]	370	0.7236902713775635	0.13570024	Yes	
row_15	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	520	0.6618376970291138	0.13704725	Yes	
row_16	SOCS3-DT	SOCS3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:52799]	544	0.6556392908096313	0.14282799	Yes	
row_17	TBL1X	transducin beta like 1 X-linked [Source:HGNC Symbol;Acc:HGNC:11585]	546	0.655364990234375	0.14939101	Yes	
row_18	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	549	0.6544191837310791	0.15590882	Yes	
row_19	SLC1A4	solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]	570	0.6462322473526001	0.1617019	Yes	
row_20	NRG1	neuregulin 1 [Source:HGNC Symbol;Acc:HGNC:7997]	600	0.6373592615127563	0.16708449	Yes	
row_21	GNB2	G protein subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:4398]	617	0.6318874955177307	0.17287587	Yes	
row_22	PID1	phosphotyrosine interaction domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26084]	619	0.6317107677459717	0.17920071	Yes	
row_23	DRAM1	DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]	737	0.5971837043762207	0.18103862	Yes	
row_24	LINC00963	long intergenic non-protein coding RNA 963 [Source:HGNC Symbol;Acc:HGNC:48716]	813	0.5787297487258911	0.18418942	Yes	
row_25	IER3-AS1	IER3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53629]	1082	0.5247085690498352	0.17990935	Yes	
row_26	TBC1D13	TBC1 domain family member 13 [Source:HGNC Symbol;Acc:HGNC:25571]	1115	0.5180307030677795	0.18398339	Yes	
row_27	TMEM144	transmembrane protein 144 [Source:HGNC Symbol;Acc:HGNC:25633]	1117	0.517795741558075	0.18916126	Yes	
row_28	NAMPT-AS1	novel transcript, antisense to NAMPT	1231	0.4979831576347351	0.19014306	Yes	
row_29	DOCK7-DT	DOCK7 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55670]	1309	0.48788049817085266	0.19230777	Yes	
row_30	RARA	retinoic acid receptor alpha [Source:HGNC Symbol;Acc:HGNC:9864]	1427	0.4701244831085205	0.19286634	Yes	
row_31	SLC22A4	solute carrier family 22 member 4 [Source:HGNC Symbol;Acc:HGNC:10968]	1500	0.4599372148513794	0.19492811	Yes	
row_32	CASC11	cancer susceptibility 11 [Source:HGNC Symbol;Acc:HGNC:48939]	1568	0.45215222239494324	0.19708991	Yes	
row_33	LPCAT3	lysophosphatidylcholine acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30244]	1608	0.44693541526794434	0.20019832	Yes	
row_34	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]	1643	0.44278964400291443	0.20344341	Yes	
row_35	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	1647	0.44226717948913574	0.20778944	Yes	
row_36	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	1749	0.4327057898044586	0.20854218	Yes	
row_37	MED13L	mediator complex subunit 13L [Source:HGNC Symbol;Acc:HGNC:22962]	1778	0.42924702167510986	0.21186502	Yes	
row_38	FZD5	frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]	1944	0.413748562335968	0.21014315	Yes	
row_39	WHAMMP2	WHAMM pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:32360]	1948	0.4136442542076111	0.21420097	Yes	
row_40	PTPA	protein phosphatase 2 phosphatase activator [Source:HGNC Symbol;Acc:HGNC:9308]	1966	0.41232961416244507	0.21774599	Yes	
row_41	SLC48A1	solute carrier family 48 member 1 [Source:HGNC Symbol;Acc:HGNC:26035]	1993	0.4096710979938507	0.2209431	Yes	
row_42	SNHG7	small nucleolar RNA host gene 7 [Source:HGNC Symbol;Acc:HGNC:28254]	2006	0.40758365392684937	0.22461875	Yes	
row_43	UBE3B	ubiquitin protein ligase E3B [Source:HGNC Symbol;Acc:HGNC:13478]	2049	0.4044857621192932	0.22719269	Yes	
row_44	IER2	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]	2077	0.4023717939853668	0.23028061	Yes	
row_45	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	2188	0.3926272392272949	0.23030867	Yes	
row_46	SET	SET nuclear proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10760]	2216	0.38984695076942444	0.23327048	Yes	
row_47	USP9X	ubiquitin specific peptidase 9 X-linked [Source:HGNC Symbol;Acc:HGNC:12632]	2253	0.386825829744339	0.23588072	Yes	
row_48	FABP5P3	fatty acid binding protein 5 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:22573]	2326	0.3798896074295044	0.23713651	Yes	
row_49	PCBP1	poly(rC) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8647]	2521	0.36491459608078003	0.2338881	Yes	
row_50	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	2680	0.35354283452033997	0.23180981	Yes	
row_51	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	2723	0.3503718972206116	0.2338389	Yes	
row_52	NMNAT2	nicotinamide nucleotide adenylyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16789]	2741	0.3487182855606079	0.23674344	Yes	
row_53	IKBKG	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma [Source:HGNC Symbol;Acc:HGNC:5961]	2927	0.3358449339866638	0.23352349	Yes	
row_54	FNBP1L	formin binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:20851]	2946	0.3343535363674164	0.2362477	Yes	
row_55	PRELID2	PRELI domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28306]	2960	0.33352234959602356	0.23914197	Yes	
