NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ROCK1P1	Rho associated coiled-coil containing protein kinase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:37832]	1126	0.5153123140335083	-0.0021456964	No	
row_1	CEP170	centrosomal protein 170 [Source:HGNC Symbol;Acc:HGNC:28920]	2028	0.40642866492271423	-0.004293853	No	
row_2	SPOCK1	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1 [Source:HGNC Symbol;Acc:HGNC:11251]	2038	0.4059031009674072	0.024991276	No	
row_3	LAMP1	lysosomal associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6499]	2138	0.3971092402935028	0.050459675	No	
row_4	CTSA	cathepsin A [Source:HGNC Symbol;Acc:HGNC:9251]	2560	0.36246779561042786	0.062040836	No	
row_5	PMS2CL	PMS2 C-terminal like pseudogene [Source:HGNC Symbol;Acc:HGNC:30061]	2926	0.3358898460865021	0.07365945	No	
row_6	ITGA7	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	3032	0.3294038772583008	0.09397838	No	
row_7	RN7SKP26	RN7SK pseudogene 26 [Source:HGNC Symbol;Acc:HGNC:45750]	4059	0.27981895208358765	0.07818627	No	
row_8	AUNIP	aurora kinase A and ninein interacting protein [Source:HGNC Symbol;Acc:HGNC:28363]	4211	0.2722039222717285	0.092710614	No	
row_9	FAM21FP	family with sequence similarity 21 member F, pseudogene [Source:HGNC Symbol;Acc:HGNC:45011]	4228	0.27114683389663696	0.11192094	No	
row_10	NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:17378]	4388	0.2648608684539795	0.12562749	No	
row_11	GNPTG	N-acetylglucosamine-1-phosphate transferase subunit gamma [Source:HGNC Symbol;Acc:HGNC:23026]	4788	0.2479182481765747	0.12963071	No	
row_12	SLCO3A1	solute carrier organic anion transporter family member 3A1 [Source:HGNC Symbol;Acc:HGNC:10952]	5234	0.23111368715763092	0.13078539	No	
row_13	BLOC1S1	biogenesis of lysosomal organelles complex 1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:4200]	5389	0.22650597989559174	0.14187112	No	
row_14	TRAV5	T cell receptor alpha variable 5 [Source:HGNC Symbol;Acc:HGNC:12143]	5640	0.21634066104888916	0.14882842	No	
