NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MTND1P6	MT-ND1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:42103]	2202	0.3911854326725006	-0.04879024	No	
row_1	MTCYBP35	MT-CYB pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:52303]	3605	0.3010011315345764	-0.07602312	No	
row_2	MTND2P16	MT-ND2 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:42117]	4110	0.2770749032497406	-0.07335461	No	
row_3	MTND1P11	MT-ND1 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:42060]	4571	0.25713977217674255	-0.070605226	No	
row_4	MTND1P9	MT-ND1 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:42099]	6928	0.179652601480484	-0.14043193	No	
row_5	MTCO3P12	MT-CO3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52042]	11756	0.023632250726222992	-0.30890495	No	
row_6	MTCO1P25	MT-CO1 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:52090]	11981	0.017629263922572136	-0.31550336	No	
row_7	MTND2P24	MT-ND2 pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:42125]	12403	0.005041475873440504	-0.32997733	No	
row_8	MTATP6P2	MT-ATP6 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:44576]	12491	0.002725031925365329	-0.3328442	No	
row_9	MTND4P24	MT-ND4 pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:42220]	15353	-0.07805339246988297	-0.42797443	No	
row_10	MTND1P15	MT-ND1 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:42064]	16075	-0.09751465171575546	-0.44620517	No	
row_11	MT-TS2	mitochondrially encoded tRNA-Ser (AGU/C) 2 [Source:HGNC Symbol;Acc:HGNC:7498]	16185	-0.10042080283164978	-0.44264033	No	
row_12	SLC39A10	solute carrier family 39 member 10 [Source:HGNC Symbol;Acc:HGNC:20861]	17861	-0.14637057483196259	-0.49090803	No	
row_13	MTND4LP1	MT-ND4L pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31347]	19970	-0.19475407898426056	-0.55087525	No	
row_14	MTND5P10	MT-ND5 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:42272]	23546	-0.2873004972934723	-0.65574634	Yes	
row_15	MTND6P4	MT-ND6 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:39467]	24162	-0.3121778070926666	-0.6544023	Yes	
row_16	MTND4P12	MT-ND4 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:42199]	24205	-0.31375405192375183	-0.6327361	Yes	
row_17	MTCO1P45	MT-CO1 pseudogene 45 [Source:HGNC Symbol;Acc:HGNC:52110]	24352	-0.3191084861755371	-0.6143423	Yes	
row_18	MT-TT	mitochondrially encoded tRNA-Thr (ACN) [Source:HGNC Symbol;Acc:HGNC:7499]	25321	-0.3573930561542511	-0.6221105	Yes	
row_19	MTCYBP18	MT-CYB pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:51976]	25495	-0.36604225635528564	-0.6012062	Yes	
row_20	MTCO3P22	MT-CO3 pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:52125]	25600	-0.3714337646961212	-0.57747096	Yes	
row_21	ARHGAP15	Rho GTPase activating protein 15 [Source:HGNC Symbol;Acc:HGNC:21030]	25813	-0.3827420175075531	-0.55670995	Yes	
row_22	MT-TP	mitochondrially encoded tRNA-Pro (CCN) [Source:HGNC Symbol;Acc:HGNC:7494]	26432	-0.4224632978439331	-0.5473354	Yes	
row_23	MT-TH	mitochondrially encoded tRNA-His (CAU/C) [Source:HGNC Symbol;Acc:HGNC:7487]	26443	-0.4231424927711487	-0.51647055	Yes	
row_24	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	26512	-0.4283667504787445	-0.48726562	Yes	
row_25	MT-TF	mitochondrially encoded tRNA-Phe (UUU/C) [Source:HGNC Symbol;Acc:HGNC:7481]	26893	-0.4597454071044922	-0.4667479	Yes	
row_26	MTND5P11	MT-ND5 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:42273]	27518	-0.529787003993988	-0.4496671	Yes	
row_27	MTCO1P2	MT-CO1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:19932]	27667	-0.5548891425132751	-0.413949	Yes	
row_28	MTCO1P12	MT-CO1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52014]	27795	-0.5792771577835083	-0.37569115	Yes	
row_29	MT-TE	mitochondrially encoded tRNA-Glu (GAA/G) [Source:HGNC Symbol;Acc:HGNC:7479]	27866	-0.5975881814956665	-0.33407235	Yes	
row_30	MT-TI	mitochondrially encoded tRNA-Ile (AUU/C) [Source:HGNC Symbol;Acc:HGNC:7488]	27927	-0.611110270023346	-0.29110336	Yes	
row_31	MT-TL2	mitochondrially encoded tRNA-Leu (CUN) 2 [Source:HGNC Symbol;Acc:HGNC:7491]	28059	-0.6510317325592041	-0.24769284	Yes	
row_32	MT-TM	mitochondrially encoded tRNA-Met (AUA/G) [Source:HGNC Symbol;Acc:HGNC:7492]	28160	-0.6962225437164307	-0.1998552	Yes	
row_33	MT-CYB	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]	28334	-0.8651849031448364	-0.14212653	Yes	
row_34	MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]	28364	-0.9606944918632507	-0.072273694	Yes	
row_35	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]	28371	-0.9930297136306763	7.757381E-4	Yes	
