NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APLP1	amyloid beta precursor like protein 1 [Source:HGNC Symbol;Acc:HGNC:597]	593	0.6399997472763062	0.079144664	No	
row_1	ZNF668	zinc finger protein 668 [Source:HGNC Symbol;Acc:HGNC:25821]	1007	0.5392428636550903	0.14888285	No	
row_2	DAP-DT	DAP divergent transcript [Source:HGNC Symbol;Acc:HGNC:55214]	9360	0.10098844766616821	-0.12967448	No	
row_3	MTIF2	mitochondrial translational initiation factor 2 [Source:HGNC Symbol;Acc:HGNC:7441]	11001	0.046618953347206116	-0.18018445	No	
row_4	SLC33A1	solute carrier family 33 member 1 [Source:HGNC Symbol;Acc:HGNC:95]	11175	0.040916167199611664	-0.17988545	No	
row_5	MTCO3P12	MT-CO3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52042]	11756	0.023632250726222992	-0.19663183	No	
row_6	SLC24A1	solute carrier family 24 member 1 [Source:HGNC Symbol;Acc:HGNC:10975]	13426	-0.023450447246432304	-0.2517855	No	
row_7	SUPT7L	SPT7 like, STAGA complex subunit gamma [Source:HGNC Symbol;Acc:HGNC:30632]	14567	-0.05538546293973923	-0.28330398	No	
row_8	ZNF646	zinc finger protein 646 [Source:HGNC Symbol;Acc:HGNC:29004]	22831	-0.26477155089378357	-0.53312254	Yes	
row_9	SLC4A1AP	solute carrier family 4 member 1 adaptor protein [Source:HGNC Symbol;Acc:HGNC:13813]	23581	-0.28853896260261536	-0.5144152	Yes	
row_10	NPHS1	NPHS1 adhesion molecule, nephrin [Source:HGNC Symbol;Acc:HGNC:7908]	23701	-0.29308393597602844	-0.47279483	Yes	
row_11	MT-TT	mitochondrially encoded tRNA-Thr (ACN) [Source:HGNC Symbol;Acc:HGNC:7499]	25321	-0.3573930561542511	-0.4739852	Yes	
row_12	INTS14	integrator complex subunit 14 [Source:HGNC Symbol;Acc:HGNC:25372]	25472	-0.36485764384269714	-0.4222378	Yes	
row_13	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	26512	-0.4283667504787445	-0.3918932	Yes	
row_14	MT-TF	mitochondrially encoded tRNA-Phe (UUU/C) [Source:HGNC Symbol;Acc:HGNC:7481]	26893	-0.4597454071044922	-0.3334189	Yes	
row_15	RNVU1-27	RNA, variant U1 small nuclear 27 [Source:HGNC Symbol;Acc:HGNC:54431]	27088	-0.4776737093925476	-0.26558703	Yes	
row_16	MTND5P11	MT-ND5 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:42273]	27518	-0.529787003993988	-0.19789083	Yes	
row_17	MT-TE	mitochondrially encoded tRNA-Glu (GAA/G) [Source:HGNC Symbol;Acc:HGNC:7479]	27866	-0.5975881814956665	-0.11670625	Yes	
row_18	MT-CYB	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]	28334	-0.8651849031448364	0.002079387	Yes	
