NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMEM121B	transmembrane protein 121B [Source:HGNC Symbol;Acc:HGNC:1844]	20	1.2122646570205688	0.009668179	Yes	
row_1	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	73	1.0053092241287231	0.016416676	Yes	
row_2	FAM131A	family with sequence similarity 131 member A [Source:HGNC Symbol;Acc:HGNC:28308]	129	0.9020211696624756	0.022172838	Yes	
row_3	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	148	0.8823238611221313	0.02908624	Yes	
row_4	MBOAT7	membrane bound O-acyltransferase domain containing 7 [Source:HGNC Symbol;Acc:HGNC:15505]	193	0.8429046273231506	0.03473019	Yes	
row_5	RGS9BP	regulator of G protein signaling 9 binding protein [Source:HGNC Symbol;Acc:HGNC:30304]	195	0.8370980024337769	0.04186539	Yes	
row_6	RASGRP4	RAS guanyl releasing protein 4 [Source:HGNC Symbol;Acc:HGNC:18958]	248	0.7961497902870178	0.046822112	Yes	
row_7	H3C12	H3 clustered histone 12 [Source:HGNC Symbol;Acc:HGNC:4774]	271	0.7801637649536133	0.052717004	Yes	
row_8	OS9	OS9 endoplasmic reticulum lectin [Source:HGNC Symbol;Acc:HGNC:16994]	324	0.7491648197174072	0.057271227	Yes	
row_9	TLE3	TLE family member 3, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11839]	325	0.7483460307121277	0.06368197	Yes	
row_10	FLOT1	flotillin 1 [Source:HGNC Symbol;Acc:HGNC:3757]	370	0.7236902713775635	0.06830466	Yes	
row_11	PRR14	proline rich 14 [Source:HGNC Symbol;Acc:HGNC:28458]	377	0.7181737422943115	0.07424191	Yes	
row_12	APOL4	apolipoprotein L4 [Source:HGNC Symbol;Acc:HGNC:14867]	413	0.7047767639160156	0.07902511	Yes	
row_13	CMC2	C-X9-C motif containing 2 [Source:HGNC Symbol;Acc:HGNC:24447]	441	0.6929253339767456	0.08399349	Yes	
row_14	MED16	mediator complex subunit 16 [Source:HGNC Symbol;Acc:HGNC:17556]	470	0.6813861727714539	0.08882717	Yes	
row_15	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	509	0.6650824546813965	0.09316282	Yes	
row_16	DGAT2	diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16940]	530	0.6589463949203491	0.09809097	Yes	
row_17	SLC1A4	solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]	570	0.6462322473526001	0.102229305	Yes	
row_18	NT5DC2	5'-nucleotidase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25717]	658	0.6186684966087341	0.10441132	Yes	
row_19	MYO10	myosin X [Source:HGNC Symbol;Acc:HGNC:7593]	680	0.6125202775001526	0.10890593	Yes	
row_20	STARD4	StAR related lipid transfer domain containing 4 [Source:HGNC Symbol;Acc:HGNC:18058]	711	0.6024589538574219	0.1129918	Yes	
row_21	TTLL7	tubulin tyrosine ligase like 7 [Source:HGNC Symbol;Acc:HGNC:26242]	723	0.599011242389679	0.11772905	Yes	
row_22	CHD9NB	CHD9 neighbor [Source:HGNC Symbol;Acc:HGNC:53436]	726	0.5988356471061707	0.122787334	Yes	
row_23	SLC2A8	solute carrier family 2 member 8 [Source:HGNC Symbol;Acc:HGNC:13812]	739	0.5969659090042114	0.12747122	Yes	
row_24	CENPN	centromere protein N [Source:HGNC Symbol;Acc:HGNC:30873]	750	0.5945082902908325	0.13220574	Yes	
row_25	GYG1	glycogenin 1 [Source:HGNC Symbol;Acc:HGNC:4699]	845	0.572746753692627	0.13374351	Yes	
row_26	PAQR4	progestin and adipoQ receptor family member 4 [Source:HGNC Symbol;Acc:HGNC:26386]	848	0.572547197341919	0.13857658	Yes	
row_27	NME4	NME/NM23 nucleoside diphosphate kinase 4 [Source:HGNC Symbol;Acc:HGNC:7852]	884	0.5643604397773743	0.1421569	Yes	
row_28	S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	975	0.5446587204933167	0.14359741	Yes	
row_29	UROS	uroporphyrinogen III synthase [Source:HGNC Symbol;Acc:HGNC:12592]	993	0.5411201119422913	0.1476237	Yes	
row_30	SLC39A8	solute carrier family 39 member 8 [Source:HGNC Symbol;Acc:HGNC:20862]	1041	0.5324915051460266	0.15050097	Yes	
row_31	IER3-AS1	IER3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53629]	1082	0.5247085690498352	0.15356243	Yes	
row_32	MTHFR	methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436]	1154	0.5118983387947083	0.15540318	Yes	
row_33	PPDPF	pancreatic progenitor cell differentiation and proliferation factor [Source:HGNC Symbol;Acc:HGNC:16142]	1190	0.5054181218147278	0.15847857	Yes	
row_34	PNKD	PNKD metallo-beta-lactamase domain containing [Source:HGNC Symbol;Acc:HGNC:9153]	1191	0.5053095817565918	0.16280733	Yes	
row_35	ABHD14B	abhydrolase domain containing 14B [Source:HGNC Symbol;Acc:HGNC:28235]	1201	0.5032681822776794	0.16679607	Yes	
row_36	TSEN34	tRNA splicing endonuclease subunit 34 [Source:HGNC Symbol;Acc:HGNC:15506]	1235	0.4973323345184326	0.16987386	Yes	
row_37	TXNDC12	thioredoxin domain containing 12 [Source:HGNC Symbol;Acc:HGNC:24626]	1240	0.49634382128715515	0.17398247	Yes	
row_38	TTC19	tetratricopeptide repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:26006]	1353	0.48101964592933655	0.17408939	Yes	
row_39	H4C8	H4 clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4788]	1458	0.4654427766799927	0.17434956	Yes	
row_40	TESC	tescalcin [Source:HGNC Symbol;Acc:HGNC:26065]	1465	0.464725524187088	0.17811562	Yes	
row_41	RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]	1502	0.4596714377403259	0.18076329	Yes	
row_42	NRSN2	neurensin 2 [Source:HGNC Symbol;Acc:HGNC:16229]	1543	0.45419779419898987	0.18322071	Yes	
row_43	C2CD2L	C2CD2 like [Source:HGNC Symbol;Acc:HGNC:29000]	1604	0.44735008478164673	0.18490273	Yes	
row_44	FAM131B-AS2	FAM131B antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:56141]	1615	0.4459739029407501	0.1883648	Yes	
row_45	SLC35E2A	solute carrier family 35 member E2A [Source:HGNC Symbol;Acc:HGNC:20863]	1618	0.4457301199436188	0.1921115	Yes	
row_46	SERPINI1	serpin family I member 1 [Source:HGNC Symbol;Acc:HGNC:8943]	1637	0.44331035017967224	0.19526407	Yes	
row_47	ZHX1	zinc fingers and homeoboxes 1 [Source:HGNC Symbol;Acc:HGNC:12871]	1661	0.441347599029541	0.19822064	Yes	
row_48	PEMT	phosphatidylethanolamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:8830]	1710	0.43641147017478943	0.200239	Yes	
row_49	STX3	syntaxin 3 [Source:HGNC Symbol;Acc:HGNC:11438]	1717	0.43592098355293274	0.20375831	Yes	
row_50	UQCC5	ubiquinol-cytochrome c reductase complex assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:37257]	1829	0.42494744062423706	0.20342073	Yes	
row_51	DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	1901	0.41669610142707825	0.20444593	Yes	
row_52	NUCB1	nucleobindin 1 [Source:HGNC Symbol;Acc:HGNC:8043]	2095	0.4007558524608612	0.20096245	Yes	
row_53	CCDC157	coiled-coil domain containing 157 [Source:HGNC Symbol;Acc:HGNC:33854]	2190	0.39241188764572144	0.20095538	Yes	
row_54	NDUFB7	NADH:ubiquinone oxidoreductase subunit B7 [Source:HGNC Symbol;Acc:HGNC:7702]	2287	0.38356372714042664	0.20080082	Yes	
row_55	ANO8	anoctamin 8 [Source:HGNC Symbol;Acc:HGNC:29329]	2316	0.3811601996421814	0.20306261	Yes	
row_56	ART5	ADP-ribosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:24049]	2320	0.3806990385055542	0.20621638	Yes	
row_57	SPSB3	splA/ryanodine receptor domain and SOCS box containing 3 [Source:HGNC Symbol;Acc:HGNC:30629]	2346	0.3785838484764099	0.20856361	Yes	
row_58	RUNX1T1	RUNX1 partner transcriptional co-repressor 1 [Source:HGNC Symbol;Acc:HGNC:1535]	2382	0.3746803402900696	0.21051902	Yes	
row_59	CPLX1	complexin 1 [Source:HGNC Symbol;Acc:HGNC:2309]	2553	0.3628821074962616	0.20753536	Yes	
row_60	GSK3B-DT	GSK3B divergent transcript [Source:HGNC Symbol;Acc:HGNC:55635]	2554	0.3628014028072357	0.2106433	Yes	
row_61	WDFY3-AS2	WDFY3 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:21603]	2583	0.36092501878738403	0.21273175	Yes	
row_62	STT3A	STT3 oligosaccharyltransferase complex catalytic subunit A [Source:HGNC Symbol;Acc:HGNC:6172]	2610	0.3588844835758209	0.21487439	Yes	
row_63	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	2616	0.3579981029033661	0.21776201	Yes	
row_64	PTDSS1	phosphatidylserine synthase 1 [Source:HGNC Symbol;Acc:HGNC:9587]	2633	0.3567546606063843	0.22024477	Yes	
row_65	ZHX1-C8orf76	ZHX1-C8orf76 readthrough [Source:HGNC Symbol;Acc:HGNC:42975]	2636	0.35639289021492004	0.22322614	Yes	
row_66	DPP9	dipeptidyl peptidase 9 [Source:HGNC Symbol;Acc:HGNC:18648]	2819	0.3429255783557892	0.21964148	Yes	
row_67	PNPLA3	patatin like phospholipase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18590]	2957	0.3338409960269928	0.21759164	Yes	
row_68	RPS20P2	ribosomal protein S20 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:14195]	3013	0.33056485652923584	0.21845241	Yes	
row_69	NAPRT	nicotinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30450]	3053	0.328369140625	0.21986775	Yes	
row_70	CHP1	calcineurin like EF-hand protein 1 [Source:HGNC Symbol;Acc:HGNC:17433]	3059	0.328132688999176	0.22249952	Yes	
row_71	ZYX	zyxin [Source:HGNC Symbol;Acc:HGNC:13200]	3060	0.32811957597732544	0.22531037	Yes	
row_72	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]	3168	0.32225465774536133	0.22423641	Yes	
row_73	MSLNL	mesothelin like [Source:HGNC Symbol;Acc:HGNC:14170]	3192	0.32093098759651184	0.22616142	Yes	
row_74	MAPKAPK3	MAPK activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6888]	3203	0.3205435276031494	0.228549	Yes	
row_75	H4C12	H4 clustered histone 12 [Source:HGNC Symbol;Acc:HGNC:4784]	3248	0.31858256459236145	0.22970133	Yes	
row_76	RNF24	ring finger protein 24 [Source:HGNC Symbol;Acc:HGNC:13779]	3346	0.3147009015083313	0.22892103	Yes	
row_77	RNASEK	ribonuclease K [Source:HGNC Symbol;Acc:HGNC:33911]	3365	0.3138393461704254	0.23096447	Yes	
row_78	OGG1	8-oxoguanine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:8125]	3385	0.31299132108688354	0.23296481	Yes	
row_79	SNX12	sorting nexin 12 [Source:HGNC Symbol;Acc:HGNC:14976]	3392	0.31262484192848206	0.23542792	Yes	
row_80	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	3407	0.31189143657684326	0.23759803	Yes	
row_81	RAP2C-AS1	RAP2C antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40957]	3494	0.3075469732284546	0.23715064	Yes	
row_82	TIMM22	translocase of inner mitochondrial membrane 22 [Source:HGNC Symbol;Acc:HGNC:17317]	3719	0.29537177085876465	0.23165344	Yes	
row_83	PRSS23-AS1	PRSS23 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56071]	3735	0.29459255933761597	0.23363952	Yes	
row_84	MAT2A	methionine adenosyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:6904]	3806	0.29149648547172546	0.23362803	Yes	
row_85	DVL3	dishevelled segment polarity protein 3 [Source:HGNC Symbol;Acc:HGNC:3087]	3816	0.29073184728622437	0.23579608	Yes	
row_86	ATP8A1-DT	ATP8A1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55392]	3875	0.28787919878959656	0.23618364	Yes	
row_87	ZSCAN30	zinc finger and SCAN domain containing 30 [Source:HGNC Symbol;Acc:HGNC:33517]	3973	0.2833099067211151	0.23513444	Yes	
row_88	DCBLD2	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	4014	0.28171679377555847	0.2361143	Yes	
row_89	GNAS	GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]	4023	0.281167596578598	0.23823622	Yes	
row_90	WASL	WASP like actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12735]	4070	0.2789240777492523	0.23897713	Yes	
row_91	CNOT3	CCR4-NOT transcription complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7879]	4081	0.2782765328884125	0.24100263	Yes	
row_92	LGR4	leucine rich repeat containing G protein-coupled receptor 4 [Source:HGNC Symbol;Acc:HGNC:13299]	4170	0.2742392420768738	0.24019824	Yes	
row_93	ZSWIM7	zinc finger SWIM-type containing 7 [Source:HGNC Symbol;Acc:HGNC:26993]	4222	0.2715189456939697	0.24069653	Yes	
row_94	HARBI1	harbinger transposase derived 1 [Source:HGNC Symbol;Acc:HGNC:26522]	4472	0.2608560025691986	0.23400772	Yes	
row_95	TSSC4	tumor suppressing subtransferable candidate 4 [Source:HGNC Symbol;Acc:HGNC:12386]	4565	0.25764569640159607	0.23291783	Yes	
row_96	FRAT1	FRAT regulator of WNT signaling pathway 1 [Source:HGNC Symbol;Acc:HGNC:3944]	4678	0.2531142830848694	0.23107238	Yes	
row_97	UNC13D	unc-13 homolog D [Source:HGNC Symbol;Acc:HGNC:23147]	4704	0.25208842754364014	0.23233598	Yes	
row_98	CEP44	centrosomal protein 44 [Source:HGNC Symbol;Acc:HGNC:29356]	4758	0.2494247853755951	0.23257332	Yes	
row_99	ZNF271P	zinc finger protein 271, pseudogene [Source:HGNC Symbol;Acc:HGNC:13065]	4762	0.24915160238742828	0.23460017	Yes	
row_100	GSDMA	gasdermin A [Source:HGNC Symbol;Acc:HGNC:13311]	4772	0.248493954539299	0.23640639	Yes	
row_101	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	4786	0.248019739985466	0.23806517	Yes	
row_102	SYBU-AS1	SYBU antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55741]	4806	0.2478172332048416	0.2395072	Yes	
row_103	ENSG00000256001	novel transcript	4830	0.24683915078639984	0.2407975	Yes	
row_104	CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:16850]	4887	0.24407623708248138	0.24088152	Yes	
row_105	SLC27A1	solute carrier family 27 member 1 [Source:HGNC Symbol;Acc:HGNC:10995]	4901	0.24320758879184723	0.24249908	Yes	
row_106	RPN2	ribophorin II [Source:HGNC Symbol;Acc:HGNC:10382]	4939	0.2408580482006073	0.24323642	Yes	
row_107	PNPO	pyridoxamine 5'-phosphate oxidase [Source:HGNC Symbol;Acc:HGNC:30260]	4943	0.24073192477226257	0.24519116	Yes	
row_108	HNRNPUL1	heterogeneous nuclear ribonucleoprotein U like 1 [Source:HGNC Symbol;Acc:HGNC:17011]	5103	0.23610198497772217	0.24151564	Yes	
row_109	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	5113	0.2354382574558258	0.24320999	Yes	
row_110	BICC1	BicC family RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19351]	5157	0.23371420800685883	0.24367112	Yes	
row_111	NOM1	nucleolar protein with MIF4G domain 1 [Source:HGNC Symbol;Acc:HGNC:13244]	5166	0.2333201766014099	0.24538317	Yes	
row_112	ALDH4A1	aldehyde dehydrogenase 4 family member A1 [Source:HGNC Symbol;Acc:HGNC:406]	5220	0.23173916339874268	0.245469	Yes	
row_113	POLR1G	RNA polymerase I subunit G [Source:HGNC Symbol;Acc:HGNC:24219]	5237	0.23095494508743286	0.2468741	Yes	
row_114	DANCR	differentiation antagonizing non-protein coding RNA [Source:HGNC Symbol;Acc:HGNC:28964]	5245	0.23032864928245544	0.24859636	Yes	
row_115	GSTO2	glutathione S-transferase omega 2 [Source:HGNC Symbol;Acc:HGNC:23064]	5255	0.22982913255691528	0.25024265	Yes	
row_116	CIC	capicua transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:14214]	5364	0.22763916850090027	0.24832234	Yes	
row_117	ZNF143	zinc finger protein 143 [Source:HGNC Symbol;Acc:HGNC:12928]	5369	0.2273726463317871	0.25012678	Yes	
row_118	PPP1R3F	protein phosphatase 1 regulatory subunit 3F [Source:HGNC Symbol;Acc:HGNC:14944]	5440	0.22397804260253906	0.2495369	Yes	
row_119	GIPC1	GIPC PDZ domain containing family member 1 [Source:HGNC Symbol;Acc:HGNC:1226]	5595	0.2190360426902771	0.24589436	Yes	
row_120	RAB33B-AS1	RAB33B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55153]	5612	0.21774855256080627	0.24718632	Yes	
row_121	TDP2	tyrosyl-DNA phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:17768]	5619	0.21713677048683167	0.2488314	Yes	
row_122	DCAKD	dephospho-CoA kinase domain containing [Source:HGNC Symbol;Acc:HGNC:26238]	5631	0.216729074716568	0.25029382	Yes	
row_123	GNG5	G protein subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:4408]	5646	0.21614712476730347	0.25164375	Yes	
row_124	ALAD	aminolevulinate dehydratase [Source:HGNC Symbol;Acc:HGNC:395]	5724	0.21391041576862335	0.25071675	No	
row_125	SNX8	sorting nexin 8 [Source:HGNC Symbol;Acc:HGNC:14972]	5858	0.207962304353714	0.24773192	No	
row_126	ATG101	autophagy related 101 [Source:HGNC Symbol;Acc:HGNC:25679]	5898	0.20589973032474518	0.24809812	No	
row_127	DHCR24-DT	DHCR24 divergent transcript [Source:HGNC Symbol;Acc:HGNC:53969]	6005	0.20374125242233276	0.24604474	No	
row_128	PKIA	cAMP-dependent protein kinase inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:9017]	6109	0.19966793060302734	0.24406399	No	
row_129	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	6121	0.19919204711914062	0.24537615	No	
row_130	MAPRE1	microtubule associated protein RP/EB family member 1 [Source:HGNC Symbol;Acc:HGNC:6890]	6123	0.1991133838891983	0.24704604	No	
row_131	MPP7-DT	MPP7 divergent transcript [Source:HGNC Symbol;Acc:HGNC:54139]	6124	0.19910478591918945	0.24875169	No	
row_132	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:15853]	6178	0.19711722433567047	0.24854092	No	
row_133	NOCT	nocturnin [Source:HGNC Symbol;Acc:HGNC:14254]	6202	0.19599388539791107	0.24939565	No	
row_134	TIGD6	tigger transposable element derived 6 [Source:HGNC Symbol;Acc:HGNC:18332]	6240	0.19433020055294037	0.24973443	No	
row_135	ATP8A1	ATPase phospholipid transporting 8A1 [Source:HGNC Symbol;Acc:HGNC:13531]	6246	0.19404327869415283	0.2512175	No	
row_136	FST	follistatin [Source:HGNC Symbol;Acc:HGNC:3971]	6688	0.1850406676530838	0.2369985	No	
row_137	STRN	striatin [Source:HGNC Symbol;Acc:HGNC:11424]	6772	0.1837625950574875	0.23559822	No	
row_138	ERP29	endoplasmic reticulum protein 29 [Source:HGNC Symbol;Acc:HGNC:13799]	6804	0.18251191079616547	0.23605077	No	
row_139	C14orf119	chromosome 14 open reading frame 119 [Source:HGNC Symbol;Acc:HGNC:20270]	6819	0.1818758249282837	0.2371071	No	
row_140	PPP1R13L	protein phosphatase 1 regulatory subunit 13 like [Source:HGNC Symbol;Acc:HGNC:18838]	7026	0.17696109414100647	0.23124059	No	
row_141	BRSK1	BR serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:18994]	7027	0.17695029079914093	0.23275644	No	
row_142	SPINDOC	spindlin interactor and repressor of chromatin binding [Source:HGNC Symbol;Acc:HGNC:25115]	7029	0.17682990431785583	0.23423542	No	
row_143	AP1G1	adaptor related protein complex 1 subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:555]	7052	0.1757635772228241	0.23495269	No	
