NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMEM242	transmembrane protein 242 [Source:HGNC Symbol;Acc:HGNC:17206]	1885	0.41785362362861633	-0.02351682	No	
row_1	LRRC37A5P	leucine rich repeat containing 37 member A5, pseudogene [Source:HGNC Symbol;Acc:HGNC:23369]	2418	0.37189555168151855	-0.004042386	No	
row_2	PSPN	persephin [Source:HGNC Symbol;Acc:HGNC:9579]	2501	0.3662738502025604	0.030724268	No	
row_3	PPP4R1L	protein phosphatase 4 regulatory subunit 1 like (pseudogene) [Source:HGNC Symbol;Acc:HGNC:15755]	2783	0.34553107619285583	0.056340087	No	
row_4	AURKAIP1	aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114]	2843	0.34085163474082947	0.0893041	No	
row_5	FBLIM1	filamin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:24686]	4107	0.2771633267402649	0.073258325	No	
row_6	MROH1	maestro heat like repeat family member 1 [Source:HGNC Symbol;Acc:HGNC:26958]	4775	0.24843139946460724	0.07527769	No	
row_7	LINC01775	long intergenic non-protein coding RNA 1775 [Source:HGNC Symbol;Acc:HGNC:52565]	4954	0.24047444760799408	0.09372459	No	
row_8	NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7 [Source:HGNC Symbol;Acc:HGNC:7714]	6249	0.19387157261371613	0.06802187	No	
row_9	FANCA	FA complementation group A [Source:HGNC Symbol;Acc:HGNC:3582]	6670	0.18572869896888733	0.072305426	No	
row_10	ZNF746	zinc finger protein 746 [Source:HGNC Symbol;Acc:HGNC:21948]	8141	0.14527732133865356	0.03539945	No	
row_11	UBXN4	UBX domain protein 4 [Source:HGNC Symbol;Acc:HGNC:14860]	10404	0.06569308042526245	-0.037620585	No	
row_12	SMG8	SMG8 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:25551]	10811	0.05206342786550522	-0.04658613	No	
row_13	MTCO3P12	MT-CO3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52042]	11756	0.023632250726222992	-0.07744856	No	
row_14	CARD8	caspase recruitment domain family member 8 [Source:HGNC Symbol;Acc:HGNC:17057]	12325	0.006885554641485214	-0.09677236	No	
row_15	SLC24A1	solute carrier family 24 member 1 [Source:HGNC Symbol;Acc:HGNC:10975]	13426	-0.023450447246432304	-0.13315515	No	
row_16	COX16	cytochrome c oxidase assembly factor COX16 [Source:HGNC Symbol;Acc:HGNC:20213]	13439	-0.02400270663201809	-0.13111052	No	
row_17	VPS51	VPS51 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:1172]	13599	-0.028631430119276047	-0.13377425	No	
row_18	SSBP1	single stranded DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11317]	14895	-0.06458723545074463	-0.17280464	No	
row_19	MRPS31P5	mitochondrial ribosomal protein S31 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:39253]	16094	-0.09794624894857407	-0.20498432	No	
row_20	DYNC2I1	dynein 2 intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:21862]	16388	-0.10560085624456406	-0.2044602	No	
row_21	SNX14	sorting nexin 14 [Source:HGNC Symbol;Acc:HGNC:14977]	17035	-0.12353217601776123	-0.21454178	No	
