NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RASL11A	RAS like family 11 member A [Source:HGNC Symbol;Acc:HGNC:23802]	1894	0.4171537458896637	0.022797236	No	
row_1	ESRRA	estrogen related receptor alpha [Source:HGNC Symbol;Acc:HGNC:3471]	7543	0.16463589668273926	-0.14091662	No	
row_2	ELOVL3	ELOVL fatty acid elongase 3 [Source:HGNC Symbol;Acc:HGNC:18047]	9805	0.08606861531734467	-0.2021263	No	
row_3	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	10159	0.07352961599826813	-0.19878298	No	
row_4	EPB41L5	erythrocyte membrane protein band 4.1 like 5 [Source:HGNC Symbol;Acc:HGNC:19819]	11631	0.027798958122730255	-0.24465875	No	
row_5	MTCO3P12	MT-CO3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52042]	11756	0.023632250726222992	-0.24395593	No	
row_6	LINC00511	long intergenic non-protein coding RNA 511 [Source:HGNC Symbol;Acc:HGNC:43564]	12619	-0.0010084117529913783	-0.27411938	No	
row_7	HNRNPU	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]	13728	-0.03228132054209709	-0.30623955	No	
row_8	GALM	galactose mutarotase [Source:HGNC Symbol;Acc:HGNC:24063]	14748	-0.06051008775830269	-0.32916328	No	
row_9	YES1	YES proto-oncogene 1, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12841]	16725	-0.11499503254890442	-0.37411904	No	
row_10	PDCD6IP	programmed cell death 6 interacting protein [Source:HGNC Symbol;Acc:HGNC:8766]	17409	-0.1339738965034485	-0.3694308	No	
row_11	LINC02086	long intergenic non-protein coding RNA 2086 [Source:HGNC Symbol;Acc:HGNC:52936]	21561	-0.2313060760498047	-0.4660733	Yes	
row_12	TTC39C	tetratricopeptide repeat domain 39C [Source:HGNC Symbol;Acc:HGNC:26595]	21771	-0.23653344810009003	-0.42266366	Yes	
row_13	TTC39C-AS1	TTC39C antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51321]	24302	-0.3177160918712616	-0.44362712	Yes	
row_14	MT-TT	mitochondrially encoded tRNA-Thr (ACN) [Source:HGNC Symbol;Acc:HGNC:7499]	25321	-0.3573930561542511	-0.40278512	Yes	
row_15	MYO1B	myosin IB [Source:HGNC Symbol;Acc:HGNC:7596]	26260	-0.4102141559123993	-0.34778476	Yes	
row_16	BTN3A1	butyrophilin subfamily 3 member A1 [Source:HGNC Symbol;Acc:HGNC:1138]	26313	-0.413919061422348	-0.2607633	Yes	
row_17	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	26512	-0.4283667504787445	-0.17578599	Yes	
row_18	MTND5P11	MT-ND5 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:42273]	27518	-0.529787003993988	-0.097478785	Yes	
row_19	MT-TE	mitochondrially encoded tRNA-Glu (GAA/G) [Source:HGNC Symbol;Acc:HGNC:7479]	27866	-0.5975881814956665	0.018573226	Yes	
