NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TBL1X	transducin beta like 1 X-linked [Source:HGNC Symbol;Acc:HGNC:11585]	546	0.655364990234375	-0.0022663933	No	
row_1	PDE6D	phosphodiesterase 6D [Source:HGNC Symbol;Acc:HGNC:8788]	776	0.5880366563796997	0.004940935	No	
row_2	PELI1	pellino E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:8827]	793	0.5832319855690002	0.019567199	No	
row_3	VASH2	vasohibin 2 [Source:HGNC Symbol;Acc:HGNC:25723]	1333	0.4842090904712677	0.013090191	No	
row_4	VDAC2	voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]	2310	0.3817867040634155	-0.011532669	No	
row_5	PLEKHA2	pleckstrin homology domain containing A2 [Source:HGNC Symbol;Acc:HGNC:14336]	2721	0.3504446744918823	-0.016925225	No	
row_6	PALS2	protein associated with LIN7 2, MAGUK p55 family member [Source:HGNC Symbol;Acc:HGNC:18167]	2851	0.33999407291412354	-0.012637476	No	
row_7	SEPSECS	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase [Source:HGNC Symbol;Acc:HGNC:30605]	3249	0.3185776472091675	-0.018399717	No	
row_8	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	3398	0.31235891580581665	-0.015504802	No	
row_9	GABRA5	gamma-aminobutyric acid type A receptor subunit alpha5 [Source:HGNC Symbol;Acc:HGNC:4079]	3483	0.30804476141929626	-0.010455497	No	
row_10	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	3652	0.29861485958099365	-0.008626973	No	
row_11	KCNE3	potassium voltage-gated channel subfamily E regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:6243]	3747	0.2940598130226135	-0.004296154	No	
row_12	PRMT2	protein arginine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:5186]	4136	0.2764943838119507	-0.010835883	No	
row_13	TLL1	tolloid like 1 [Source:HGNC Symbol;Acc:HGNC:11843]	4375	0.2651830315589905	-0.012357525	No	
row_14	SLC35G1	solute carrier family 35 member G1 [Source:HGNC Symbol;Acc:HGNC:26607]	4491	0.260337233543396	-0.009648949	No	
row_15	AGFG1	ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]	4516	0.2588579058647156	-0.0037558442	No	
row_16	IKBIP	IKBKB interacting protein [Source:HGNC Symbol;Acc:HGNC:26430]	5007	0.23902802169322968	-0.014884222	No	
row_17	TWF1	twinfilin actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9620]	5039	0.23752638697624207	-0.009794723	No	
row_18	KIAA2013	KIAA2013 [Source:HGNC Symbol;Acc:HGNC:28513]	5519	0.22142596542835236	-0.020992028	No	
row_19	POU4F2	POU class 4 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9219]	5572	0.2203904092311859	-0.017092697	No	
row_20	SLIT3	slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087]	5584	0.21940764784812927	-0.011766818	No	
row_21	USP13	ubiquitin specific peptidase 13 [Source:HGNC Symbol;Acc:HGNC:12611]	6259	0.1934959441423416	-0.030598255	No	
row_22	ZBTB44	zinc finger and BTB domain containing 44 [Source:HGNC Symbol;Acc:HGNC:25001]	7127	0.17228718101978302	-0.0568179	No	
row_23	SBF2	SET binding factor 2 [Source:HGNC Symbol;Acc:HGNC:2135]	7472	0.1680590957403183	-0.06462392	No	
row_24	ZDHHC21	zinc finger DHHC-type palmitoyltransferase 21 [Source:HGNC Symbol;Acc:HGNC:20750]	8020	0.15051795542240143	-0.08007679	No	
row_25	CDC123	cell division cycle 123 [Source:HGNC Symbol;Acc:HGNC:16827]	8127	0.14573174715042114	-0.080034874	No	
row_26	PTGR2	prostaglandin reductase 2 [Source:HGNC Symbol;Acc:HGNC:20149]	8192	0.1430353820323944	-0.07857563	No	
row_27	BCL2L13	BCL2 like 13 [Source:HGNC Symbol;Acc:HGNC:17164]	8477	0.1325782984495163	-0.08518082	No	
row_28	BRWD3	bromodomain and WD repeat domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17342]	8561	0.12945717573165894	-0.08474823	No	
row_29	PDE12	phosphodiesterase 12 [Source:HGNC Symbol;Acc:HGNC:25386]	8647	0.12605386972427368	-0.08447513	No	
row_30	NNT	nicotinamide nucleotide transhydrogenase [Source:HGNC Symbol;Acc:HGNC:7863]	9046	0.11106498539447784	-0.09567841	No	
row_31	MBD5	methyl-CpG binding domain protein 5 [Source:HGNC Symbol;Acc:HGNC:20444]	9052	0.11085422337055206	-0.09296779	No	
row_32	DUSP10	dual specificity phosphatase 10 [Source:HGNC Symbol;Acc:HGNC:3065]	9188	0.10721054673194885	-0.09495647	No	
row_33	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	9461	0.09769699722528458	-0.10204528	No	
row_34	SLC24A2	solute carrier family 24 member 2 [Source:HGNC Symbol;Acc:HGNC:10976]	9501	0.09604021161794662	-0.10092478	No	
row_35	HIPK2	homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14402]	9685	0.0898522362112999	-0.10506572	No	
row_36	SLC39A9	solute carrier family 39 member 9 [Source:HGNC Symbol;Acc:HGNC:20182]	9829	0.08539239317178726	-0.107906096	No	
row_37	TPTE	transmembrane phosphatase with tensin homology [Source:HGNC Symbol;Acc:HGNC:12023]	9861	0.08414720743894577	-0.10681206	No	
row_38	METTL8	methyltransferase 8, methylcytidine [Source:HGNC Symbol;Acc:HGNC:25856]	10019	0.07843858748674393	-0.11032944	No	
