NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FAM20C	FAM20C golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140]	33	1.1253185272216797	0.026821261	No	
row_1	ALPK1	alpha kinase 1 [Source:HGNC Symbol;Acc:HGNC:20917]	343	0.7375743389129639	0.03422307	No	
row_2	CPED1	cadherin like and PC-esterase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26159]	435	0.6948524117469788	0.048283163	No	
row_3	PPIC	peptidylprolyl isomerase C [Source:HGNC Symbol;Acc:HGNC:9256]	951	0.550115168094635	0.043726392	No	
row_4	HAL	histidine ammonia-lyase [Source:HGNC Symbol;Acc:HGNC:4806]	1028	0.5348866581916809	0.054338925	No	
row_5	CALB1	calbindin 1 [Source:HGNC Symbol;Acc:HGNC:1434]	1478	0.4624476730823517	0.049939122	No	
row_6	GIPC2	GIPC PDZ domain containing family member 2 [Source:HGNC Symbol;Acc:HGNC:18177]	1491	0.4611869156360626	0.06098521	No	
row_7	BEND7	BEN domain containing 7 [Source:HGNC Symbol;Acc:HGNC:23514]	1565	0.4526037871837616	0.06965737	No	
row_8	RIN2	Ras and Rab interactor 2 [Source:HGNC Symbol;Acc:HGNC:18750]	1595	0.44815635681152344	0.07977726	No	
row_9	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	1749	0.4327057898044586	0.08512113	No	
row_10	NQO1	NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]	2281	0.38392341136932373	0.07586401	No	
row_11	TXNDC17	thioredoxin domain containing 17 [Source:HGNC Symbol;Acc:HGNC:28218]	2334	0.37917402386665344	0.083453506	No	
row_12	SNX19	sorting nexin 19 [Source:HGNC Symbol;Acc:HGNC:21532]	2688	0.3529536724090576	0.0797303	No	
row_13	TRHDE	thyrotropin releasing hormone degrading enzyme [Source:HGNC Symbol;Acc:HGNC:30748]	2848	0.34031942486763	0.08256375	No	
row_14	TPST2	tyrosylprotein sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:12021]	3502	0.3070078492164612	0.06707262	No	
row_15	NHLRC1	NHL repeat containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21576]	4492	0.26015064120292664	0.038515896	No	
row_16	EIF4G1	eukaryotic translation initiation factor 4 gamma 1 [Source:HGNC Symbol;Acc:HGNC:3296]	4555	0.258018434047699	0.042737726	No	
row_17	GDAP2	ganglioside induced differentiation associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18010]	5517	0.22143732011318207	0.01420976	No	
row_18	ZDHHC2	zinc finger DHHC-type palmitoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:18469]	5883	0.20676518976688385	0.0064254077	No	
row_19	ARMCX4	armadillo repeat containing X-linked 4 [Source:HGNC Symbol;Acc:HGNC:28615]	6067	0.2016182690858841	0.0049589365	No	
row_20	CAPZA2	capping actin protein of muscle Z-line subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:1490]	6272	0.19279803335666656	0.0025293222	No	
row_21	USP38	ubiquitin specific peptidase 38 [Source:HGNC Symbol;Acc:HGNC:20067]	6359	0.19264978170394897	0.0042752307	No	
row_22	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	6390	0.1916346698999405	0.007979245	No	
row_23	NRK	Nik related kinase [Source:HGNC Symbol;Acc:HGNC:25391]	6869	0.179652601480484	-0.004481604	No	
row_24	RAP2C	RAP2C, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:21165]	7094	0.17379742860794067	-0.008092161	No	
row_25	SETD3	SET domain containing 3, actin histidine methyltransferase [Source:HGNC Symbol;Acc:HGNC:20493]	7553	0.16443800926208496	-0.020223102	No	
row_26	NTRK2	neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]	7597	0.1626163125038147	-0.017701281	No	
row_27	SLC10A2	solute carrier family 10 member 2 [Source:HGNC Symbol;Acc:HGNC:10906]	8095	0.14743758738040924	-0.03163634	No	
row_28	ATL2	atlastin GTPase 2 [Source:HGNC Symbol;Acc:HGNC:24047]	8207	0.14262017607688904	-0.03202024	No	
row_29	ZNF426	zinc finger protein 426 [Source:HGNC Symbol;Acc:HGNC:20725]	8503	0.1311855912208557	-0.03920529	No	
